Varia por bloque?       ,    2,Unidad  ,$/MWh  ,     2,    12,  2022  
Varia por serie?        ,    1                                        
# de agentes            ,    1                                        
Etap,Ser.,Bloq,COLOMBIA                                               
   1,   1,   1, 0.75505                                               
   1,   1,   2, 0.75505                                               
   1,   1,   3, 0.75505                                               
   1,   1,   4, 0.75505                                               
   1,   1,   5, 0.75505                                               
   1,   2,   1, 0.89351                                               
   1,   2,   2, 0.89351                                               
   1,   2,   3, 0.89351                                               
   1,   2,   4, 0.89351                                               
   1,   2,   5, 0.89351                                               
   1,   3,   1,  2.5959                                               
   1,   3,   2,  2.5959                                               
   1,   3,   3,  2.5959                                               
   1,   3,   4,  2.5959                                               
   1,   3,   5,  2.5959                                               
   1,   4,   1, 0.10000E-01                                           
   1,   4,   2, 0.10000E-01                                           
   1,   4,   3, 0.10000E-01                                           
   1,   4,   4, 0.10000E-01                                           
   1,   4,   5, 0.10000E-01                                           
   1,   5,   1,  3.0398                                               
   1,   5,   2,  3.0398                                               
   1,   5,   3,  3.0398                                               
   1,   5,   4,  3.0398                                               
   1,   5,   5,  3.0398                                               
   1,   6,   1,  1.7014                                               
   1,   6,   2,  1.7014                                               
   1,   6,   3,  1.7014                                               
   1,   6,   4,  1.7014                                               
   1,   6,   5,  1.7014                                               
   1,   7,   1, 0.69753                                               
   1,   7,   2, 0.69753                                               
   1,   7,   3, 0.69753                                               
   1,   7,   4, 0.69549                                               
   1,   7,   5, 0.69549                                               
   1,   8,   1,  3.6312                                               
   1,   8,   2,  3.6312                                               
   1,   8,   3,  3.6312                                               
   1,   8,   4,  3.6312                                               
   1,   8,   5,  3.6312                                               
   1,   9,   1,  4.9417                                               
   1,   9,   2,  4.9417                                               
   1,   9,   3,  4.9417                                               
   1,   9,   4,  4.9417                                               
   1,   9,   5,  4.9417                                               
   1,  10,   1,  1.1707                                               
   1,  10,   2,  1.1707                                               
   1,  10,   3,  1.1707                                               
   1,  10,   4,  1.1707                                               
   1,  10,   5,  1.1707                                               
   1,  11,   1,  6.7274                                               
   1,  11,   2,  6.7274                                               
   1,  11,   3,  6.7274                                               
   1,  11,   4,  6.7274                                               
   1,  11,   5,  6.7274                                               
   1,  12,   1,  1.5854                                               
   1,  12,   2,  1.5854                                               
   1,  12,   3,  1.5854                                               
   1,  12,   4,  1.5854                                               
   1,  12,   5,  1.5854                                               
   1,  13,   1,  5.0222                                               
   1,  13,   2,  5.0222                                               
   1,  13,   3,  5.0222                                               
   1,  13,   4,  5.0222                                               
   1,  13,   5,  5.0222                                               
   1,  14,   1,  1.6504                                               
   1,  14,   2,  1.6504                                               
   1,  14,   3,  1.6504                                               
   1,  14,   4,  1.6504                                               
   1,  14,   5,  1.6504                                               
