Varia por bloque?       ,    2,Unidad  ,$/MWh  ,     2,    12,  2022  
Varia por serie?        ,    1                                        
# de agentes            ,    2                                        
Etap,Ser.,Bloq,COLOMBIA    ,ECUADOR                                   
   1,   1,   1, 0.85938    ,  39.537                                  
   1,   1,   2, 0.85938    , 0.85939                                  
   1,   1,   3, 0.85938    , 0.85939                                  
   1,   1,   4, 0.85938    , 0.85939                                  
   1,   1,   5, 0.85938    ,  38.435                                  
   1,   2,   1, 0.96904    ,  5.4326                                  
   1,   2,   2, 0.96904    , 0.96905                                  
   1,   2,   3, 0.96904    , 0.96905                                  
   1,   2,   4, 0.96904    , 0.96905                                  
   1,   2,   5, 0.96904    ,  2.3541                                  
   1,   3,   1,  2.6067    ,  5.4261                                  
   1,   3,   2,  2.6067    ,  2.6067                                  
   1,   3,   3,  2.6067    ,  2.1276                                  
   1,   3,   4,  2.6067    ,  2.0735                                  
   1,   3,   5,  2.6067    ,  2.1155                                  
   1,   4,   1, 0.29171    ,  34.702                                  
   1,   4,   2, 0.29171    , 0.29172                                  
   1,   4,   3, 0.29171    , 0.29172                                  
   1,   4,   4, 0.29171    , 0.29172                                  
   1,   4,   5, 0.29171    ,  33.158                                  
   1,   5,   1,  3.4527    ,  26.557                                  
   1,   5,   2,  3.4527    ,  3.4527                                  
   1,   5,   3,  3.4527    ,  3.4527                                  
   1,   5,   4,  3.4527    ,  3.4527                                  
   1,   5,   5,  3.4527    ,  24.620                                  
   1,   6,   1,  1.7072    ,  6.4281                                  
   1,   6,   2,  1.7072    ,  1.7072                                  
   1,   6,   3,  1.7072    ,  1.7072                                  
   1,   6,   4,  1.7072    ,  1.7072                                  
   1,   6,   5,  1.7072    ,  3.4071                                  
   1,   7,   1, 0.76145    ,  46.261                                  
   1,   7,   2, 0.76145    , 0.76146                                  
   1,   7,   3, 0.76145    , 0.76146                                  
   1,   7,   4, 0.75818    , 0.75819                                  
   1,   7,   5, 0.75818    ,  45.388                                  
   1,   8,   1,  3.6881    ,  6.0938                                  
   1,   8,   2,  3.6881    ,  3.6881                                  
   1,   8,   3,  3.6881    ,  3.0744                                  
   1,   8,   4,  3.6881    ,  3.0295                                  
   1,   8,   5,  3.6881    ,  3.0470                                  
   1,   9,   1,  5.0937    ,  5.2289                                  
   1,   9,   2,  5.0937    ,  5.0938                                  
   1,   9,   3,  5.0937    ,  2.0981                                  
   1,   9,   4,  5.0937    ,  2.0582                                  
   1,   9,   5,  5.0937    ,  2.0847                                  
   1,  10,   1,  1.1867    ,  41.167                                  
   1,  10,   2,  1.1867    ,  1.1867                                  
   1,  10,   3,  1.1867    ,  1.1867                                  
   1,  10,   4,  1.1867    ,  1.1867                                  
   1,  10,   5,  1.1867    ,  40.094                                  
   1,  11,   1,  6.9088    ,  7.2370                                  
   1,  11,   2,  6.9088    ,  6.9089                                  
   1,  11,   3,  6.9088    ,  4.2540                                  
   1,  11,   4,  6.9088    ,  4.1628                                  
   1,  11,   5,  6.9088    ,  4.2453                                  
   1,  12,   1,  1.5881    ,  73.590                                  
   1,  12,   2,  1.5881    ,  1.5881                                  
   1,  12,   3,  1.5881    ,  1.5881                                  
   1,  12,   4,  1.5881    ,  1.5881                                  
   1,  12,   5,  1.5881    ,  71.821                                  
   1,  13,   1,  5.0222    ,  5.4469                                  
   1,  13,   2,  5.0222    ,  5.0222                                  
   1,  13,   3,  5.0222    ,  2.1431                                  
   1,  13,   4,  5.0222    ,  2.0981                                  
   1,  13,   5,  5.0222    ,  2.1228                                  
   1,  14,   1,  1.6557    ,  56.761                                  
   1,  14,   2,  1.6557    ,  1.6557                                  
   1,  14,   3,  1.6557    ,  1.6557                                  
   1,  14,   4,  1.6557    ,  1.6557                                  
   1,  14,   5,  1.6557    ,  55.784                                  
   1,  15,   1, 0.58637    ,  27.373                                  
   1,  15,   2, 0.58637    , 0.58638                                  
   1,  15,   3, 0.58637    , 0.58638                                  
   1,  15,   4, 0.58637    , 0.58638                                  
   1,  15,   5, 0.58637    ,  25.444                                  
   1,  16,   1, 0.27971    ,  21.092                                  
   1,  16,   2, 0.27971    , 0.27972                                  
   1,  16,   3, 0.27971    , 0.27972                                  
   1,  16,   4, 0.27971    , 0.27972                                  
   1,  16,   5, 0.27971    ,  18.834                                  
   1,  17,   1,  4.9141    ,  40.203                                  
   1,  17,   2,  4.9141    ,  4.9141                                  
   1,  17,   3,  4.9141    ,  4.9141                                  
   1,  17,   4,  4.9141    ,  4.9141                                  
   1,  17,   5,  4.9141    ,  38.829                                  
   1,  18,   1,  1.5219    ,  41.796                                  
   1,  18,   2,  1.5219    ,  1.5219                                  
   1,  18,   3,  1.5219    ,  1.5219                                  
   1,  18,   4,  1.5219    ,  1.5219                                  
   1,  18,   5,  1.5219    ,  40.530                                  
   1,  19,   1,  3.0626    ,  23.207                                  
   1,  19,   2,  3.0626    ,  3.0626                                  
   1,  19,   3,  3.0626    ,  3.0626                                  
   1,  19,   4,  3.0626    ,  3.0626                                  
   1,  19,   5,  3.0626    ,  21.110                                  
   1,  20,   1,  2.8533    ,  28.403                                  
   1,  20,   2,  2.8533    ,  2.8533                                  
   1,  20,   3,  2.8533    ,  2.8533                                  
   1,  20,   4,  2.8533    ,  2.8533                                  
   1,  20,   5,  2.8533    ,  26.496                                  
   1,  21,   1,  2.9506    ,  5.7508                                  
   1,  21,   2,  2.9506    ,  2.9506                                  
   1,  21,   3,  2.9506    ,  2.1329                                  
   1,  21,   4,  2.9506    ,  2.0744                                  
   1,  21,   5,  2.9506    ,  2.1147                                  
   1,  22,   1,  1.5881    ,  75.523                                  
   1,  22,   2,  1.5881    ,  1.5881                                  
   1,  22,   3,  1.5881    ,  1.5881                                  
   1,  22,   4,  1.5881    ,  1.5881                                  
   1,  22,   5,  1.5881    ,  74.284                                  
   1,  23,   1,  3.0380    ,  11.653                                  
   1,  23,   2,  3.0380    ,  3.0380                                  
   1,  23,   3,  3.0380    ,  3.0380                                  
   1,  23,   4,  3.0380    ,  3.0380                                  
   1,  23,   5,  3.0380    ,  5.4424                                  
   1,  24,   1,  3.7783    ,  35.428                                  
   1,  24,   2,  3.7783    ,  3.7783                                  
   1,  24,   3,  3.7783    ,  3.7783                                  
   1,  24,   4,  3.7783    ,  3.7783                                  
   1,  24,   5,  3.7783    ,  33.967                                  
   1,  25,   1,  2.4295    ,  36.202                                  
   1,  25,   2,  2.4295    ,  2.4295                                  
   1,  25,   3,  2.4295    ,  2.4295                                  
   1,  25,   4,  2.4295    ,  2.4295                                  
   1,  25,   5,  2.4295    ,  34.818                                  
   1,  26,   1,  11.404    ,  5.1664                                  
   1,  26,   2,  11.404    ,  5.6842                                  
   1,  26,   3,  11.404    ,  2.0882                                  
   1,  26,   4,  11.404    ,  2.0534                                  
   1,  26,   5,  11.404    ,  2.0696                                  
   1,  27,   1,  6.2203    ,  38.895                                  
   1,  27,   2,  6.2203    ,  6.2203                                  
   1,  27,   3,  6.2203    ,  6.2203                                  
   1,  27,   4,  6.2203    ,  6.2203                                  
   1,  27,   5,  6.2203    ,  37.618                                  
   1,  28,   1, 0.70361    ,  5.7615                                  
   1,  28,   2, 0.70361    , 0.70362                                  
   1,  28,   3, 0.70361    , 0.70362                                  
   1,  28,   4, 0.70361    , 0.70362                                  
   1,  28,   5, 0.70361    ,  2.7075                                  
   1,  29,   1, 0.82526    ,  37.468                                  
   1,  29,   2, 0.82526    , 0.82527                                  
   1,  29,   3, 0.82526    , 0.82527                                  
   1,  29,   4, 0.82526    , 0.82527                                  
   1,  29,   5, 0.82526    ,  36.082                                  
   1,  30,   1,  1.5930    ,  5.5651                                  
   1,  30,   2,  1.5930    ,  1.5930                                  
   1,  30,   3,  1.5930    ,  1.5930                                  
   1,  30,   4,  1.5930    ,  1.5930                                  
   1,  30,   5,  1.5930    ,  2.1040                                  
   1,  31,   1,  2.4412    ,  40.706                                  
   1,  31,   2,  2.4412    ,  2.4412                                  
   1,  31,   3,  2.4412    ,  2.4412                                  
   1,  31,   4,  2.4412    ,  2.4412                                  
   1,  31,   5,  2.4412    ,  39.563                                  
   1,  32,   1,  3.3892    ,  42.368                                  
   1,  32,   2,  3.3892    ,  3.3892                                  
   1,  32,   3,  3.3892    ,  3.3892                                  
   1,  32,   4,  3.3892    ,  3.3892                                  
   1,  32,   5,  3.3892    ,  41.397                                  
   1,  33,   1, 0.98532    ,  37.261                                  
   1,  33,   2, 0.98532    , 0.98533                                  
   1,  33,   3, 0.98532    , 0.98533                                  
   1,  33,   4, 0.98532    , 0.98533                                  
   1,  33,   5, 0.98532    ,  35.373                                  
   1,  34,   1,  1.9878    ,  9.6503                                  
   1,  34,   2,  1.9878    ,  1.9878                                  
   1,  34,   3,  1.9878    ,  1.9878                                  
   1,  34,   4,  1.9878    ,  1.9878                                  
   1,  34,   5,  1.9878    ,  6.7814                                  
   1,  35,   1, 0.59944    ,  21.969                                  
   1,  35,   2, 0.59944    , 0.59945                                  
   1,  35,   3, 0.59944    , 0.59945                                  
   1,  35,   4, 0.59829    , 0.59830                                  
   1,  35,   5, 0.59829    ,  19.819                                  
   1,  36,   1,  3.9518    ,  33.587                                  
   1,  36,   2,  3.9518    ,  3.9518                                  
   1,  36,   3,  3.9518    ,  3.9518                                  
   1,  36,   4,  3.9518    ,  3.9518                                  
   1,  36,   5,  3.9518    ,  31.959                                  
   1,  37,   1,  1.7228    ,  43.904                                  
   1,  37,   2,  1.7228    ,  1.7228                                  
   1,  37,   3,  1.7228    ,  1.7228                                  
   1,  37,   4,  1.7228    ,  1.7228                                  
   1,  37,   5,  1.7228    ,  42.983                                  
   1,  38,   1,  1.5412    ,  41.395                                  
   1,  38,   2,  1.5412    ,  1.5412                                  
   1,  38,   3,  1.5412    ,  1.5412                                  
   1,  38,   4,  1.5412    ,  1.5412                                  
   1,  38,   5,  1.5412    ,  40.284                                  
   1,  39,   1,  6.7104    ,  15.772                                  
   1,  39,   2,  6.7104    ,  6.7104                                  
   1,  39,   3,  6.7104    ,  6.7104                                  
   1,  39,   4,  6.7104    ,  6.7104                                  
   1,  39,   5,  6.7104    ,  13.235                                  
   1,  40,   1,  1.7227    ,  10.042                                  
   1,  40,   2,  1.7227    ,  1.7227                                  
   1,  40,   3,  1.7227    ,  1.7227                                  
   1,  40,   4,  1.7227    ,  1.7227                                  
   1,  40,   5,  1.7227    ,  7.2078                                  
   1,  41,   1, 0.93335    ,  30.554                                  
   1,  41,   2, 0.93335    , 0.93336                                  
   1,  41,   3, 0.93335    , 0.93336                                  
   1,  41,   4, 0.93335    , 0.93336                                  
   1,  41,   5, 0.93335    ,  28.900                                  
   1,  42,   1, 0.84516    ,  32.256                                  
   1,  42,   2, 0.84516    , 0.84517                                  
   1,  42,   3, 0.84516    , 0.84517                                  
   1,  42,   4, 0.84516    , 0.84517                                  
   1,  42,   5, 0.84516    ,  30.591                                  
   1,  43,   1,  3.8715    ,  50.131                                  
   1,  43,   2,  3.8715    ,  3.8716                                  
   1,  43,   3,  3.8715    ,  3.8716                                  
   1,  43,   4,  3.8715    ,  3.8716                                  
   1,  43,   5,  3.8715    ,  49.151                                  
   1,  44,   1,  9.5496    ,  41.538                                  
   1,  44,   2,  9.5496    ,  9.5496                                  
   1,  44,   3,  9.5496    ,  9.5496                                  
   1,  44,   4,  9.5496    ,  9.5496                                  
   1,  44,   5,  9.5496    ,  40.575                                  
   1,  45,   1,  8.3947    ,  85.202                                  
   1,  45,   2,  8.3947    ,  8.3947                                  
   1,  45,   3,  8.3947    ,  8.3947                                  
   1,  45,   4,  8.3947    ,  8.3947                                  
   1,  45,   5,  8.3947    ,  83.256                                  
   1,  46,   1, 0.85337    ,  40.958                                  
   1,  46,   2, 0.85337    , 0.85338                                  
   1,  46,   3, 0.85337    , 0.85338                                  
   1,  46,   4, 0.85337    , 0.85338                                  
   1,  46,   5, 0.85337    ,  39.824                                  
   1,  47,   1,  4.6967    ,  8.0277                                  
   1,  47,   2,  4.6967    ,  4.6967                                  
   1,  47,   3,  4.6967    ,  5.1098                                  
   1,  47,   4,  4.6967    ,  4.9872                                  
   1,  47,   5,  4.6967    ,  5.0577                                  
   1,  48,   1,  1.3673    ,  5.2053                                  
   1,  48,   2,  1.3673    ,  1.3674                                  
   1,  48,   3,  1.3673    ,  1.3674                                  
   1,  48,   4,  1.3673    ,  1.3674                                  
   1,  48,   5,  1.3673    ,  2.0787                                  
   1,  49,   1,  2.6111    ,  44.676                                  
   1,  49,   2,  2.6111    ,  2.6111                                  
   1,  49,   3,  2.6111    ,  2.6111                                  
   1,  49,   4,  2.6111    ,  2.6111                                  
   1,  49,   5,  2.6111    ,  43.746                                  
   1,  50,   1, 0.58085    ,  36.826                                  
   1,  50,   2, 0.58085    , 0.58086                                  
   1,  50,   3, 0.58084    , 0.58085                                  
   1,  50,   4, 0.58084    , 0.58085                                  
   1,  50,   5, 0.58084    ,  35.455                                  
   1,  51,   1,  4.5896    ,  39.537                                  
   1,  51,   2,  4.5896    ,  4.5896                                  
   1,  51,   3,  4.5896    ,  4.5896                                  
   1,  51,   4,  4.5896    ,  4.5896                                  
   1,  51,   5,  4.5896    ,  38.435                                  
   1,  52,   1,  1.6453    ,  5.4326                                  
   1,  52,   2,  1.6453    ,  1.6453                                  
   1,  52,   3,  1.6453    ,  1.6453                                  
   1,  52,   4,  1.6453    ,  1.6453                                  
   1,  52,   5,  1.6453    ,  2.3541                                  
   1,  53,   1,  3.5138    ,  5.4261                                  
   1,  53,   2,  3.5138    ,  3.5139                                  
   1,  53,   3,  3.5138    ,  2.1276                                  
   1,  53,   4,  3.5138    ,  2.0735                                  
   1,  53,   5,  3.5138    ,  2.1155                                  
   1,  54,   1, 0.23706    ,  34.702                                  
   1,  54,   2, 0.23706    , 0.23707                                  
   1,  54,   3, 0.23706    , 0.23707                                  
   1,  54,   4, 0.23706    , 0.23707                                  
   1,  54,   5, 0.23706    ,  33.158                                  
   1,  55,   1, 0.41346    ,  26.557                                  
   1,  55,   2, 0.41346    , 0.41347                                  
