LOAD_ZONE;TIMEPOINT;zone_demand_mw
HTC;1;512.7388398
HTC;2;512.7388398
HTC;3;522.7187175
HTC;4;522.7187175
HTC;5;557.8765068
HTC;6;557.8765068
HTC;7;567.2898558
HTC;8;567.2898558
HTC;9;603.5417348
HTC;10;603.5417348
HTC;11;613.347211
HTC;12;613.347211
HTC;13;652.1299701
HTC;14;652.1299701
HTC;15;662.7248379
HTC;16;662.7248379
HTC;17;704.6298099
HTC;18;704.6298099
HTC;19;716.0776195
HTC;20;716.0776195
HTC;21;761.3561588
HTC;22;761.3561588
HTC;23;773.7255763
HTC;24;773.7255763
CAUCA;1;156.3617816
CAUCA;2;156.3617816
CAUCA;3;158.8799387
CAUCA;4;158.8799387
CAUCA;5;167.310676
CAUCA;6;167.310676
CAUCA;7;169.6303414
CAUCA;8;169.6303414
CAUCA;9;177.4419028
CAUCA;10;177.4419028
CAUCA;11;179.8976224
CAUCA;12;179.8976224
CAUCA;13;191.726895
CAUCA;14;191.726895
CAUCA;15;194.3803126
CAUCA;16;194.3803126
CAUCA;17;207.1619029
CAUCA;18;207.1619029
CAUCA;19;210.0289344
CAUCA;20;210.0289344
CAUCA;21;223.8395089
CAUCA;22;223.8395089
CAUCA;23;226.9373514
CAUCA;24;226.9373514
NAR-PUT;1;161.8705853
NAR-PUT;2;161.8705853
NAR-PUT;3;164.5153407
NAR-PUT;4;164.5153407
NAR-PUT;5;171.6030775
NAR-PUT;6;171.6030775
NAR-PUT;7;174.098836
NAR-PUT;8;174.098836
NAR-PUT;9;181.2803966
NAR-PUT;10;181.2803966
NAR-PUT;11;184.0343653
NAR-PUT;12;184.0343653
NAR-PUT;13;195.8744074
NAR-PUT;14;195.8744074
NAR-PUT;15;198.8500848
NAR-PUT;16;198.8500848
NAR-PUT;17;211.6433116
NAR-PUT;18;211.6433116
NAR-PUT;19;214.8585464
NAR-PUT;20;214.8585464
NAR-PUT;21;228.6816942
NAR-PUT;22;228.6816942
NAR-PUT;23;232.1557721
NAR-PUT;24;232.1557721
VALLE;1;161.8705853
VALLE;2;161.8705853
VALLE;3;164.5153407
VALLE;4;164.5153407
VALLE;5;171.6030775
VALLE;6;171.6030775
VALLE;7;174.098836
VALLE;8;174.098836
VALLE;9;181.2803966
VALLE;10;181.2803966
VALLE;11;184.0343653
VALLE;12;184.0343653
VALLE;13;195.8744074
VALLE;14;195.8744074
VALLE;15;198.8500848
VALLE;16;198.8500848
VALLE;17;211.6433116
VALLE;18;211.6433116
VALLE;19;214.8585464
VALLE;20;214.8585464
VALLE;21;228.6816942
VALLE;22;228.6816942
VALLE;23;232.1557721
VALLE;24;232.1557721
CQR;1;402.2527856
CQR;2;402.2527856
CQR;3;405.5689053
CQR;4;405.5689053
CQR;5;404.6015066
CQR;6;404.6015066
CQR;7;406.9970401
CQR;8;406.9970401
CQR;9;402.9276723
CQR;10;402.9276723
CQR;11;405.2156979
CQR;12;405.2156979
CQR;13;435.3654366
CQR;14;435.3654366
CQR;15;437.8376601
CQR;16;437.8376601
CQR;17;470.414609
CQR;18;470.414609
CQR;19;473.0858593
CQR;20;473.0858593
CQR;21;508.2854212
CQR;22;508.2854212
CQR;23;511.171721
CQR;24;511.171721
ANT-CHO;1;1419.501448
ANT-CHO;2;1419.501448
ANT-CHO;3;1435.825987
ANT-CHO;4;1435.825987
ANT-CHO;5;1490.548229
ANT-CHO;6;1490.548229
ANT-CHO;7;1506.374216
ANT-CHO;8;1506.374216
ANT-CHO;9;1549.735638
ANT-CHO;10;1549.735638
ANT-CHO;11;1568.209755
ANT-CHO;12;1568.209755
ANT-CHO;13;1674.497383
ANT-CHO;14;1674.497383
ANT-CHO;15;1694.458762
ANT-CHO;16;1694.458762
ANT-CHO;17;1809.303094
ANT-CHO;18;1809.303094
ANT-CHO;19;1830.871468
ANT-CHO;20;1830.871468
ANT-CHO;21;1954.961363
ANT-CHO;22;1954.961363
ANT-CHO;23;1978.266102
ANT-CHO;24;1978.266102
BOLIVAR;1;620.0883659
BOLIVAR;2;620.0883659
BOLIVAR;3;635.7054941
BOLIVAR;4;635.7054941
BOLIVAR;5;675.5168431
BOLIVAR;6;675.5168431
BOLIVAR;7;689.8677659
BOLIVAR;8;689.8677659
BOLIVAR;9;733.0768919
BOLIVAR;10;733.0768919
BOLIVAR;11;747.4682379
BOLIVAR;12;747.4682379
BOLIVAR;13;792.0933781
BOLIVAR;14;792.0933781
BOLIVAR;15;807.6433021
BOLIVAR;16;807.6433021
BOLIVAR;17;855.8609971
BOLIVAR;18;855.8609971
BOLIVAR;19;872.6627705
BOLIVAR;20;872.6627705
BOLIVAR;21;924.7622397
BOLIVAR;22;924.7622397
BOLIVAR;23;942.9166429
BOLIVAR;24;942.9166429
ATLANTICO;1;913.6641436
ATLANTICO;2;913.6641436
ATLANTICO;3;936.7211264
ATLANTICO;4;936.7211264
ATLANTICO;5;1011.028401
ATLANTICO;6;1011.028401
ATLANTICO;7;1031.794969
ATLANTICO;8;1031.794969
ATLANTICO;9;1111.61325
ATLANTICO;10;1111.61325
ATLANTICO;11;1131.907376
ATLANTICO;12;1131.907376
ATLANTICO;13;1201.103873
ATLANTICO;14;1201.103873
ATLANTICO;15;1223.031781
ATLANTICO;16;1223.031781
ATLANTICO;17;1297.798955
ATLANTICO;18;1297.798955
ATLANTICO;19;1321.492173
ATLANTICO;20;1321.492173
ATLANTICO;21;1402.278492
ATLANTICO;22;1402.278492
ATLANTICO;23;1427.879137
ATLANTICO;24;1427.879137
COR-SUC;1;712.4213039
COR-SUC;2;712.4213039
COR-SUC;3;728.0823054
COR-SUC;4;728.0823054
COR-SUC;5;787.2123228
COR-SUC;6;787.2123228
COR-SUC;7;803.0233721
COR-SUC;8;803.0233721
COR-SUC;9;867.7483498
COR-SUC;10;867.7483498
COR-SUC;11;885.5592314
COR-SUC;12;885.5592314
COR-SUC;13;937.6065859
COR-SUC;14;937.6065859
COR-SUC;15;956.8513357
COR-SUC;16;956.8513357
COR-SUC;17;1013.088772
COR-SUC;18;1013.088772
COR-SUC;19;1033.882824
COR-SUC;20;1033.882824
COR-SUC;21;1094.647664
COR-SUC;22;1094.647664
COR-SUC;23;1117.115745
COR-SUC;24;1117.115745
GCM;1;978.4812738
GCM;2;978.4812738
GCM;3;1013.105919
GCM;4;1013.105919
GCM;5;1098.429671
GCM;6;1098.429671
GCM;7;1133.850704
GCM;8;1133.850704
GCM;9;1259.015166
GCM;10;1259.015166
GCM;11;1298.607131
GCM;12;1298.607131
GCM;13;1360.372407
GCM;14;1360.372407
GCM;15;1403.15173
GCM;16;1403.15173
GCM;17;1469.889431
GCM;18;1469.889431
GCM;19;1516.112711
GCM;20;1516.112711
GCM;21;1588.223143
GCM;22;1588.223143
GCM;23;1638.167636
GCM;24;1638.167636
NSANT;1;311.6074216
NSANT;2;311.6074216
NSANT;3;320.8630308
NSANT;4;320.8630308
NSANT;5;361.3206852
NSANT;6;361.3206852
NSANT;7;370.8923887
NSANT;8;370.8923887
NSANT;9;415.1288298
NSANT;10;415.1288298
NSANT;11;425.8399298
NSANT;12;425.8399298
NSANT;13;448.5488505
NSANT;14;448.5488505
NSANT;15;460.1222495
NSANT;16;460.1222495
NSANT;17;484.6593559
NSANT;18;484.6593559
NSANT;19;497.1644735
NSANT;20;497.1644735
NSANT;21;523.676944
NSANT;22;523.676944
NSANT;23;537.1887883
NSANT;24;537.1887883
BOY-CAS;1;418.2940502
BOY-CAS;2;418.2940502
