fuel,load_zone,fuel_cost,period
barranquilla_gas,HTC,5.912366753,2020
barranquilla_gas,HTC,8.368309657,2025
barranquilla_gas,HTC,9.572650992,2030
barranquilla_gas,HTC,10.67265099,2035
barranquilla_gas,HTC,11.77265099,2040
barranquilla_gas,HTC,12.87265099,2045
NONE,HTC,0.23,2020
NONE,HTC,0.23,2025
NONE,HTC,0.23,2030
NONE,HTC,0.23,2035
NONE,HTC,0.23,2040
NONE,HTC,0.23,2045
NONE,CAUCA,0.23,2020
NONE,CAUCA,0.23,2025
NONE,CAUCA,0.23,2030
NONE,CAUCA,0.23,2035
NONE,CAUCA,0.23,2040
NONE,CAUCA,0.23,2045
NONE,NAR-PUT,0.23,2020
NONE,NAR-PUT,0.23,2025
NONE,NAR-PUT,0.23,2030
NONE,NAR-PUT,0.23,2035
NONE,NAR-PUT,0.23,2040
NONE,NAR-PUT,0.23,2045
NONE,VALLE,0.23,2020
NONE,VALLE,0.23,2025
NONE,VALLE,0.23,2030
NONE,VALLE,0.23,2035
NONE,VALLE,0.23,2040
NONE,VALLE,0.23,2045
termovalle_gas,VALLE,8.110787537,2020
termovalle_gas,VALLE,8.288385316,2025
termovalle_gas,VALLE,9.42173854,2030
termovalle_gas,VALLE,10.02173854,2035
termovalle_gas,VALLE,10.62173854,2040
termovalle_gas,VALLE,11.22173854,2045
termovalle_cmp2,VALLE,18.92334947,2020
termovalle_cmp2,VALLE,18.47798234,2025
termovalle_cmp2,VALLE,19.49424772,2030
termovalle_cmp2,VALLE,20.09424772,2035
termovalle_cmp2,VALLE,20.69424772,2040
termovalle_cmp2,VALLE,21.29424772,2045
termodorada_gas,CQR,8.133626923,2020
termodorada_gas,CQR,10.87337025,2025
termodorada_gas,CQR,12.25737394,2030
termodorada_gas,CQR,13.55737394,2035
termodorada_gas,CQR,14.85737394,2040
termodorada_gas,CQR,16.15737394,2045
termodorada_fo2,CQR,21.85498336,2020
termodorada_fo2,CQR,22.15153139,2025
termodorada_fo2,CQR,25.36207691,2030
termodorada_fo2,CQR,26.16207691,2035
termodorada_fo2,CQR,26.96207691,2040
termodorada_fo2,CQR,27.76207691,2045
NONE,CQR,0.23,2020
NONE,CQR,0.23,2025
NONE,CQR,0.23,2030
NONE,CQR,0.23,2035
NONE,CQR,0.23,2040
NONE,CQR,0.23,2045
termosierra_gas,ANT-CHO,8.1336,2020
termosierra_gas,ANT-CHO,10.8733224,2025
termosierra_gas,ANT-CHO,12.25739683,2030
termosierra_gas,ANT-CHO,13.45739683,2035
termosierra_gas,ANT-CHO,14.65739683,2040
termosierra_gas,ANT-CHO,15.85739683,2045
termosierra_fo2,ANT-CHO,18.65984784,2020
termosierra_fo2,ANT-CHO,18.21434138,2025
termosierra_fo2,ANT-CHO,19.23146696,2030
termosierra_fo2,ANT-CHO,20.13146696,2035
