GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
AGUAFRESCA,1987,1243,982
ALEJANDRIA,1988,1244,981
ALTOANCHICAY,1989,1245,980
AMAIME,1990,1246,979
AMOYA,1991,1247,978
AUT_ARGOCGNA,1992,9.9,73
AUT_ARGOYUMB,1993,9.9,73
AUT_REFICAR,1994,9.9,73
AUT_UNIBOL,1995,1.1,73
AUT_YAGUARIT,1996,1.6,73
BAJOANCHICAY,1997,1253,972
BARRANQUILLA3,1998,1254,971
BARRANQUILLA3_FO6,1999,1255,970
BARRANQUILLA4,2000,1256,969
BARRANQUILLA4_FO6,2001,1257,968
BARROSO,2002,1258,967
BETANIA,2003,1259,966
BIOG_DJUANA,2004,1.7,61
BIOG-TEQUENDAMA,2005,2.25,61
C_LLERAS_R,2006,1262,963
CALDERAS,2007,1263,962
CALIMA,2008,1264,961
CANA,2010,1266,959
CANDELARIA1,2011,1267,958
CANDELARIA1_FO2,2012,1268,957
CANDELARIA2,2013,1269,956
CANDELARIA2_FO2,2014,1270,955
CARTAGENA1,2015,1271,954
CARTAGENA1_FO6,2016,1272,953
CARTAGENA2,2017,1273,952
CARTAGENA2_FO6,2018,1274,951
CARTAGENA3,1987,1275,950
CARTAGENA3_FO6,1988,1276,949
CARUQUIA,1989,1277,948
CC_FLORES4,1990,1278,947
CC_FLORES4_FO2,1991,1279,946
CHIVOR,1994,1281,944
CIMARRON,1996,1283,942
COG_COLTEJER,1997,9.4,37
COG_INCAUCA,1998,10,37
COG_MANUELIT,2001,3.5,37
COG_MAYAGUEZ,2002,19.9,37
COG_PROENCA,2003,19.9,37
COG_PROVIDEN,2004,14,37
COG_RISARALD,2005,15,37
CUCUANA,2007,1292,933
DARIO_VALENC,2008,1293,932
EL_QUIMBO,2013,1298,927
ELMORRO1,2014,1299,926
ELMORRO2,2015,1300,925
ELPOPAL,2016,1301,924
EMCALI,2017,1302,923
EMCALI_FO2,2018,1303,922
ESMERALDA,1987,1304,921
EXP_HID_1,1989,1306,919
FLORES1,1990,1307,918
FLORES1_FO2,1991,1308,917
GUADALUPE_3,1992,1309,916
GUADALUPE_4,1993,1310,915
GUAJIRA1,1994,1311,914
GUAJIRA1_CARBON,1995,1312,913
GUAJIRA2,1996,1313,912
GUAJIRA2_CARBON,1997,1314,911
GUANAQUITAS,1998,1315,910
GUATAPE,2000,1317,908
GUAVIO,2001,1318,907
INSULA,2002,1319,906
JAGUAS,2003,1320,905
jaguey,2004,1321,904
LA_GUACA,2005,1322,903
LA_TASAJERA,2006,1323,902
LAGUN-LIMON,2007,1324,901
MEN_ANTIOQUIA,2009,1326,899
MEN_CAUCANAR,2010,1327,898
MEN_CHARQUITO,2011,1328,897
MEN_CQR,2012,1329,896
MEN_EMGESA,2013,1330,895
MEN_EPM,2014,1331,894
MEN_EPM_HERR,2015,1332,893
MEN_EPM_JEPI,2016,1333,892
MEN_EPM_VUEL,2017,1334,891
MEN_EPSA,2018,1335,890
MEN_HUILA,1987,1336,889
MEN_Magallo,1988,1337,888
MEN_NARPUT,1989,1338,887
MEN_Naveta,1990,1339,886
MEN_NORDESTE,1991,1340,885
MEN_TEQUEN,1992,1341,884
MEN_TOLIMA,1993,1342,883
MERILECTRICA,1994,1343,882
MIEL_I,1995,1344,881
MIEL_II,1996,1345,880
MONTANITAS,1998,1347,878
MORRO_AZUL,1999,1348,877
PAIPA1,2006,1355,870
PAIPA2,2007,1356,869
PAIPA3,2008,1357,868
PAIPA4,2009,1358,867
PAJARITO,2010,1359,866
PARAISO,2011,1360,865
PESCADERO,2013,1361,864
PLAYAS,2014,1362,863
PORCE_II,2015,1363,862
PORCE_III,2016,1364,861
PRADO,2017,1365,860
PRADO4,2018,1366,859
PROELECTRIC1,1987,1367,858
PROELECTRIC1_FO2,1988,1368,857
PROELECTRIC2,1989,1369,856
PROELECTRIC2_FO2,1990,1370,855
PROVIDENCIA,1991,1371,854
Purificacion,1992,1372,853
pwcon3,1993,1373,852
RIOGRANDE_1,1998,1378,847
rubiales,1999,1379,846
SALTO_II,2002,1382,843
SALVAJINA,2003,1383,842
SAN_CARLOS,2004,1384,841
SAN_FRANCISCO,2005,1385,840
SNMIGUEL,2007,1387,838
SOGAMOSO,2008,1388,837
TASAJERO1,2009,1389,836
TASAJERO2,2010,1390,835
TC_GECELCA3,2011,1391,834
TC_GECELCA32,2012,1392,833
TEBSAB,2013,1393,832
TEBSAB_FO2,2014,1394,831
TERMO_YOPAL1,2016,1396,829
TERMO_YOPAL2,2017,1397,828
TERMOBOLIVAR,2018,1398,827
TermoCaribe1,1987,1399,826
TermoCaribe2,1988,1400,825
TERMOCENTRO,1989,1401,824
TERMOCENTRO_JA1,1990,1402,823
TERMODORADA1,1991,1403,822
TERMODORADA1_FO2,1992,1404,821
TERMONORTE,1993,1405,820
TERMOSIERRA,1994,1406,819
TERMOSIERRA_FO2,1995,1407,818
TermoSolo1,1996,1408,817
TermoSolo2,1997,1409,816
TERMOVALLE2,1998,1410,815
TERMOVALLE2_CPM2,1999,1411,814
TPIEDRAS,2002,1413,812
TRONERAS,2003,1414,811
TULUA_ALTO,2004,1415,810
TULUA_BAJO,2005,1416,809
TUNJITA,2007,1418,807
URRA,2008,1419,806
ZIPAEMG2,2009,1420,805
ZIPAEMG3,2010,1421,804
ZIPAEMG4,2011,1422,803
ZIPAEMG5,2012,1423,802
PV-HTC,2020,714,0
PV-CAUCA,2020,714,0
PV-NAR-PUT,2020,714,0
PV-VALLE,2020,714,0
PV-CQR,2020,714,0
PV-ANT-CHO,2020,714,0
PV-BOLIVAR,2020,714,0
PV-ATLANTICO,2020,714,0
PV-COR-SUC,2020,714,0
PV-GCM,2020,714,0
PV-NSANT,2020,714,0
PV-BOY-CAS,2020,714,0
PV-SANT-ARA,2020,714,0
PV-MET-GUAV,2020,714,0
PV-BOG-CUN,2020,714,0
PV-HTC,2025,714,0
PV-CAUCA,2025,714,0
PV-NAR-PUT,2025,714,0
PV-VALLE,2025,714,0
PV-CQR,2025,714,0
PV-ANT-CHO,2025,714,0
PV-BOLIVAR,2025,714,0
PV-ATLANTICO,2025,714,0
PV-COR-SUC,2025,714,0
PV-GCM,2025,714,0
PV-NSANT,2025,714,0
PV-BOY-CAS,2025,714,0
PV-SANT-ARA,2025,714,0
PV-MET-GUAV,2025,714,0
PV-BOG-CUN,2025,714,0
PV-HTC,2030,714,0
PV-CAUCA,2030,714,0
PV-NAR-PUT,2030,714,0
PV-VALLE,2030,714,0
PV-CQR,2030,714,0
PV-ANT-CHO,2030,714,0
PV-BOLIVAR,2030,714,0
PV-ATLANTICO,2030,714,0
PV-COR-SUC,2030,714,0
PV-GCM,2030,714,0
PV-NSANT,2030,714,0
PV-BOY-CAS,2030,714,0
PV-SANT-ARA,2030,714,0
PV-MET-GUAV,2030,714,0
PV-BOG-CUN,2030,714,0
PV-HTC,2035,714,0
PV-CAUCA,2035,714,0
PV-NAR-PUT,2035,714,0
PV-VALLE,2035,714,0
PV-CQR,2035,714,0
PV-ANT-CHO,2035,714,0
PV-BOLIVAR,2035,714,0
PV-ATLANTICO,2035,714,0
PV-COR-SUC,2035,714,0
PV-GCM,2035,714,0
PV-NSANT,2035,714,0
PV-BOY-CAS,2035,714,0
PV-SANT-ARA,2035,714,0
PV-MET-GUAV,2035,714,0
PV-BOG-CUN,2035,714,0
PV-HTC,2040,714,0
PV-CAUCA,2040,714,0
PV-NAR-PUT,2040,714,0
PV-VALLE,2040,714,0
PV-CQR,2040,714,0
PV-ANT-CHO,2040,714,0
PV-BOLIVAR,2040,714,0
PV-ATLANTICO,2040,714,0
PV-COR-SUC,2040,714,0
PV-GCM,2040,714,0
PV-NSANT,2040,714,0
PV-BOY-CAS,2040,714,0
PV-SANT-ARA,2040,714,0
PV-MET-GUAV,2040,714,0
PV-BOG-CUN,2040,714,0
PV-HTC,2045,714,0
PV-CAUCA,2045,714,0
PV-NAR-PUT,2045,714,0
PV-VALLE,2045,714,0
PV-CQR,2045,714,0
PV-ANT-CHO,2045,714,0
PV-BOLIVAR,2045,714,0
PV-ATLANTICO,2045,714,0
PV-COR-SUC,2045,714,0
PV-GCM,2045,714,0
PV-NSANT,2045,714,0
PV-BOY-CAS,2045,714,0
PV-SANT-ARA,2045,714,0
PV-MET-GUAV,2045,714,0
PV-BOG-CUN,2045,714,0
WN-HTC,2020,843,0
WN-CAUCA,2020,843,0
WN-NAR-PUT,2020,843,0
WN-VALLE,2020,843,0
WN-CQR,2020,843,0
WN-ANT-CHO,2020,843,0
WN-BOLIVAR,2020,843,0
WN-ATLANTICO,2020,843,0
WN-COR-SUC,2020,843,0
WN-GCM,2020,843,0
WN-NSANT,2020,843,0
WN-BOY-CAS,2020,843,0
WN-SANT-ARA,2020,843,0
WN-MET-GUAV,2020,843,0
WN-BOG-CUN,2020,843,0
WN-HTC,2025,843,0
WN-CAUCA,2025,843,0
WN-NAR-PUT,2025,843,0
WN-VALLE,2025,843,0
WN-CQR,2025,843,0
WN-ANT-CHO,2025,843,0
WN-BOLIVAR,2025,843,0
WN-ATLANTICO,2025,843,0
WN-COR-SUC,2025,843,0
WN-GCM,2025,843,0
WN-NSANT,2025,843,0
WN-BOY-CAS,2025,843,0
WN-SANT-ARA,2025,843,0
WN-MET-GUAV,2025,843,0
WN-BOG-CUN,2025,843,0
WN-HTC,2030,843,0
WN-CAUCA,2030,843,0
WN-NAR-PUT,2030,843,0
WN-VALLE,2030,843,0
WN-CQR,2030,843,0
WN-ANT-CHO,2030,843,0
WN-BOLIVAR,2030,843,0
WN-ATLANTICO,2030,843,0
WN-COR-SUC,2030,843,0
WN-GCM,2030,843,0
WN-NSANT,2030,843,0
WN-BOY-CAS,2030,843,0
WN-SANT-ARA,2030,843,0
WN-MET-GUAV,2030,843,0
WN-BOG-CUN,2030,843,0
WN-HTC,2035,843,0
WN-CAUCA,2035,843,0
WN-NAR-PUT,2035,843,0
WN-VALLE,2035,843,0
WN-CQR,2035,843,0
WN-ANT-CHO,2035,843,0
WN-BOLIVAR,2035,843,0
WN-ATLANTICO,2035,843,0
WN-COR-SUC,2035,843,0
WN-GCM,2035,843,0
WN-NSANT,2035,843,0
WN-BOY-CAS,2035,843,0
WN-SANT-ARA,2035,843,0
WN-MET-GUAV,2035,843,0
WN-BOG-CUN,2035,843,0
WN-HTC,2040,843,0
WN-CAUCA,2040,843,0
WN-NAR-PUT,2040,843,0
WN-VALLE,2040,843,0
WN-CQR,2040,843,0
WN-ANT-CHO,2040,843,0
WN-BOLIVAR,2040,843,0
WN-ATLANTICO,2040,843,0
WN-COR-SUC,2040,843,0
WN-GCM,2040,843,0
WN-NSANT,2040,843,0
WN-BOY-CAS,2040,843,0
WN-SANT-ARA,2040,843,0
WN-MET-GUAV,2040,843,0
WN-BOG-CUN,2040,843,0
WN-HTC,2045,843,0
WN-CAUCA,2045,843,0
WN-NAR-PUT,2045,843,0
WN-VALLE,2045,843,0
WN-CQR,2045,843,0
WN-ANT-CHO,2045,843,0
WN-BOLIVAR,2045,843,0
WN-ATLANTICO,2045,843,0
WN-COR-SUC,2045,843,0
WN-GCM,2045,843,0
WN-NSANT,2045,843,0
WN-BOY-CAS,2045,843,0
WN-SANT-ARA,2045,843,0
WN-MET-GUAV,2045,843,0
WN-BOG-CUN,2045,843,0
HD-HTC,2020,1780,0
HD-CAUCA,2020,1780,0
HD-NAR-PUT,2020,1780,0
HD-VALLE,2020,1780,0
HD-CQR,2020,1780,0
HD-ANT-CHO,2020,1780,0
