GENERATION_PROJECT,INVESTMENT_PERIOD,limit_cap_mw
WN-HTC,2020,200
WN-CAUCA,2020,200
WN-NAR-PUT,2020,200
WN-VALLE,2020,200
WN-CQR,2020,200
WN-ANT-CHO,2020,200
WN-BOLIVAR,2020,200
WN-ATLANTICO,2020,200
WN-COR-SUC,2020,200
WN-GCM,2020,200
WN-NSANT,2020,200
WN-BOY-CAS,2020,200
WN-SANT-ARA,2020,200
WN-MET-GUAV,2020,200
WN-BOG-CUN,2020,200
WN-HTC,2025,300
WN-CAUCA,2025,300
WN-NAR-PUT,2025,300
WN-VALLE,2025,300
WN-CQR,2025,300
WN-ANT-CHO,2025,300
WN-BOLIVAR,2025,300
WN-ATLANTICO,2025,300
WN-COR-SUC,2025,300
WN-GCM,2025,300
WN-NSANT,2025,300
WN-BOY-CAS,2025,300
WN-SANT-ARA,2025,300
WN-MET-GUAV,2025,300
WN-BOG-CUN,2025,300
WN-HTC,2030,400
WN-CAUCA,2030,400
WN-NAR-PUT,2030,400
WN-VALLE,2030,400
WN-CQR,2030,400
WN-ANT-CHO,2030,400
WN-BOLIVAR,2030,400
WN-ATLANTICO,2030,400
WN-COR-SUC,2030,400
WN-GCM,2030,400
WN-NSANT,2030,400
WN-BOY-CAS,2030,400
WN-SANT-ARA,2030,400
WN-MET-GUAV,2030,400
WN-BOG-CUN,2030,400
WN-HTC,2035,500
WN-CAUCA,2035,500
WN-NAR-PUT,2035,500
WN-VALLE,2035,500
WN-CQR,2035,500
WN-ANT-CHO,2035,500
WN-BOLIVAR,2035,500
WN-ATLANTICO,2035,500
WN-COR-SUC,2035,500
WN-GCM,2035,500
WN-NSANT,2035,500
WN-BOY-CAS,2035,500
WN-SANT-ARA,2035,500
WN-MET-GUAV,2035,500
WN-BOG-CUN,2035,500
WN-HTC,2040,560
WN-CAUCA,2040,560
WN-NAR-PUT,2040,560
WN-VALLE,2040,560
WN-CQR,2040,560
WN-ANT-CHO,2040,560
WN-BOLIVAR,2040,560
WN-ATLANTICO,2040,560
WN-COR-SUC,2040,560
WN-GCM,2040,560
WN-NSANT,2040,560
WN-BOY-CAS,2040,560
WN-SANT-ARA,2040,560
WN-MET-GUAV,2040,560
WN-BOG-CUN,2040,560
WN-HTC,2045,640
WN-CAUCA,2045,640
WN-NAR-PUT,2045,640
WN-VALLE,2045,640
WN-CQR,2045,640
WN-ANT-CHO,2045,640
WN-BOLIVAR,2045,640
WN-ATLANTICO,2045,640
WN-COR-SUC,2045,640
WN-GCM,2045,640
WN-NSANT,2045,640
WN-BOY-CAS,2045,640
WN-SANT-ARA,2045,640
WN-MET-GUAV,2045,640
WN-BOG-CUN,2045,640
PV-HTC,2020,180
PV-CAUCA,2020,180
PV-NAR-PUT,2020,180
PV-VALLE,2020,180
PV-CQR,2020,180
PV-ANT-CHO,2020,180
PV-BOLIVAR,2020,180
