GENERATION_PROJECT,SPINNING_RESERVE_TYPES
ALTOANCHICAY,spinning
AMOYA,spinning
BAJOANCHICAY,spinning
BETANIA,spinning
C_LLERAS_R,spinning
CALDERAS,spinning
CALIMA,spinning
CHIVOR,spinning
CUCUANA,spinning
DARIO_VALENC,spinning
EL_QUIMBO,spinning
ESMERALDA,spinning
EXP_HID_1,spinning
GUADALUPE_3,spinning
GUADALUPE_4,spinning
GUATAPE,spinning
GUAVIO,spinning
INSULA,spinning
JAGUAS,spinning
LA_GUACA,spinning
LA_TASAJERA,spinning
LAGUN-LIMON,spinning
MIEL_I,spinning
MIEL_II,spinning
PAJARITO,spinning
PARAISO,spinning
PESCADERO,spinning
PLAYAS,spinning
PORCE_II,spinning
PORCE_III,spinning
PRADO,spinning
PRADO4,spinning
RIOGRANDE_1,spinning
SALTO_II,spinning
SALVAJINA,spinning
SAN_CARLOS,spinning
SAN_FRANCISCO,spinning
SNMIGUEL,spinning
SOGAMOSO,spinning
TRONERAS,spinning
TUNJITA,spinning
URRA,spinning
BARRANQUILLA3,spinning
BARRANQUILLA4,spinning
CANDELARIA1,spinning
CANDELARIA2,spinning
CARTAGENA1,spinning
CARTAGENA2,spinning
CARTAGENA3,spinning
CC_FLORES4,spinning
CIMARRON,spinning
ELMORRO1,spinning
ELMORRO2,spinning
EMCALI,spinning
FLORES1,spinning
GUAJIRA1,spinning
GUAJIRA1_CARBON,spinning
GUAJIRA2,spinning
GUAJIRA2_CARBON,spinning
jaguey,spinning
MERILECTRICA,spinning
PAIPA1,spinning
PAIPA2,spinning
PAIPA3,spinning
PAIPA4,spinning
PROELECTRIC1,spinning
PROELECTRIC2,spinning
Purificacion,spinning
pwcon3,spinning
rubiales,spinning
TASAJERO1,spinning
TASAJERO2,spinning
TC_GECELCA3,spinning
TC_GECELCA32,spinning
TEBSAB,spinning
TEBSAB_FO2,spinning
TERMO_YOPAL1,spinning
TERMO_YOPAL2,spinning
TERMOBOLIVAR,spinning
TermoCaribe1,spinning
TermoCaribe2,spinning
TERMOCENTRO,spinning
TERMOCENTRO_JA1,spinning
TERMODORADA1,spinning
TERMONORTE,spinning
TERMOSIERRA,spinning
TermoSolo1,spinning
TermoSolo2,spinning
TERMOVALLE2,spinning
TERMOVALLE2_CPM2,spinning
ZIPAEMG2,spinning
ZIPAEMG3,spinning
ZIPAEMG4,spinning
ZIPAEMG5,spinning
HD-HTC,spinning
HD-CAUCA,spinning
HD-NAR-PUT,spinning
HD-VALLE,spinning
HD-CQR,spinning
HD-ANT-CHO,spinning
HD-BOLIVAR,spinning
HD-ATLANTICO,spinning
HD-COR-SUC,spinning
HD-GCM,spinning
HD-NSANT,spinning
HD-BOY-CAS,spinning
HD-SANT-ARA,spinning
HD-MET-GUAV,spinning
HD-BOG-CUN,spinning
