RESERVOIRS,res_min_vol,res_max_vol,initial_res_vol,final_res_vol
DAM_URRA,336.75,1570.37,951.64422,951.64422
DAM_GUATAPE,68.47,1071.69,772.68849,772.68849
DAM_JAGUAS,19.61,184.16,65.92928,65.92928
DAM_PLAYAS,19.28,69.57,48.97728,48.97728
DAM_SAN_CARLOS,10.74,58.49,23.86392,23.86392
DAM_TRONERAS,8.98,28.92,9.65928,9.65928
DAM_LA_TASAJERA,47.61,185.44,97.17056,97.17056
DAM_GUAVIO,18.67,794.06,348.59234,348.59234
DAM_EL_QUIMBO,377,2907,1468.035,1468.035
DAM_CHIVOR,20.68,569.64,255.19872,255.19872
DAM_PRADO,325.08,760.12,514.60124,514.60124
DAM_BETANIA,495.33,1299.99,943.79274,943.79274
DAM_ALTOANCHICAY,6.31,34.92,13.30452,13.30452
DAM_CALIMA,98.97,516.33,411.51501,411.51501
DAM_SALVAJINA,92.27,789.16,296.72416,296.72416
DAM_MIEL_I,50.65,495.63,262.18827,262.18827
DAM_PORCE_II,47.45,142.71,76.20714,76.20714
DAM_PORCE_III,29.31,155.9,67.037,67.037
DAM_SOGAMOSO,578.53,3300.44,1184.85796,1184.85796
DAM_PESCADERO,842,1817,652.303,652.303
