timepoint_id,timestamp,timeseries
1,20_Q1_0,2020_Q1
2,20_Q1_1,2020_Q1
3,20_Q1_2,2020_Q1
4,20_Q1_3,2020_Q1
5,20_Q1_4,2020_Q1
6,20_Q1_5,2020_Q1
7,20_Q1_6,2020_Q1
8,20_Q1_7,2020_Q1
9,20_Q1_8,2020_Q1
10,20_Q1_9,2020_Q1
11,20_Q1_10,2020_Q1
12,20_Q1_11,2020_Q1
13,20_Q1_12,2020_Q1
14,20_Q1_13,2020_Q1
15,20_Q1_14,2020_Q1
16,20_Q1_15,2020_Q1
17,20_Q1_16,2020_Q1
18,20_Q1_17,2020_Q1
19,20_Q1_18,2020_Q1
20,20_Q1_19,2020_Q1
21,20_Q1_20,2020_Q1
22,20_Q1_21,2020_Q1
23,20_Q1_22,2020_Q1
24,20_Q1_23,2020_Q1
25,20_Q2_0,2020_Q2
26,20_Q2_1,2020_Q2
27,20_Q2_2,2020_Q2
28,20_Q2_3,2020_Q2
29,20_Q2_4,2020_Q2
30,20_Q2_5,2020_Q2
31,20_Q2_6,2020_Q2
32,20_Q2_7,2020_Q2
33,20_Q2_8,2020_Q2
34,20_Q2_9,2020_Q2
35,20_Q2_10,2020_Q2
36,20_Q2_11,2020_Q2
37,20_Q2_12,2020_Q2
38,20_Q2_13,2020_Q2
39,20_Q2_14,2020_Q2
40,20_Q2_15,2020_Q2
41,20_Q2_16,2020_Q2
42,20_Q2_17,2020_Q2
43,20_Q2_18,2020_Q2
44,20_Q2_19,2020_Q2
45,20_Q2_20,2020_Q2
46,20_Q2_21,2020_Q2
47,20_Q2_22,2020_Q2
48,20_Q2_23,2020_Q2
49,20_Q3_0,2020_Q3
50,20_Q3_1,2020_Q3
51,20_Q3_2,2020_Q3
52,20_Q3_3,2020_Q3
53,20_Q3_4,2020_Q3
54,20_Q3_5,2020_Q3
55,20_Q3_6,2020_Q3
56,20_Q3_7,2020_Q3
57,20_Q3_8,2020_Q3
58,20_Q3_9,2020_Q3
59,20_Q3_10,2020_Q3
60,20_Q3_11,2020_Q3
61,20_Q3_12,2020_Q3
62,20_Q3_13,2020_Q3
63,20_Q3_14,2020_Q3
64,20_Q3_15,2020_Q3
65,20_Q3_16,2020_Q3
66,20_Q3_17,2020_Q3
67,20_Q3_18,2020_Q3
68,20_Q3_19,2020_Q3
69,20_Q3_20,2020_Q3
70,20_Q3_21,2020_Q3
71,20_Q3_22,2020_Q3
72,20_Q3_23,2020_Q3
73,20_Q4_0,2020_Q4
74,20_Q4_1,2020_Q4
75,20_Q4_2,2020_Q4
76,20_Q4_3,2020_Q4
77,20_Q4_4,2020_Q4
78,20_Q4_5,2020_Q4
79,20_Q4_6,2020_Q4
80,20_Q4_7,2020_Q4
81,20_Q4_8,2020_Q4
82,20_Q4_9,2020_Q4
83,20_Q4_10,2020_Q4
84,20_Q4_11,2020_Q4
85,20_Q4_12,2020_Q4
86,20_Q4_13,2020_Q4
87,20_Q4_14,2020_Q4
88,20_Q4_15,2020_Q4
89,20_Q4_16,2020_Q4
90,20_Q4_17,2020_Q4
91,20_Q4_18,2020_Q4
92,20_Q4_19,2020_Q4
93,20_Q4_20,2020_Q4
94,20_Q4_21,2020_Q4
95,20_Q4_22,2020_Q4
96,20_Q4_23,2020_Q4
97,25_Q1_0,2025_Q1
98,25_Q1_1,2025_Q1
99,25_Q1_2,2025_Q1
100,25_Q1_3,2025_Q1
101,25_Q1_4,2025_Q1
102,25_Q1_5,2025_Q1
103,25_Q1_6,2025_Q1
104,25_Q1_7,2025_Q1
105,25_Q1_8,2025_Q1
106,25_Q1_9,2025_Q1
107,25_Q1_10,2025_Q1
108,25_Q1_11,2025_Q1
109,25_Q1_12,2025_Q1
110,25_Q1_13,2025_Q1
111,25_Q1_14,2025_Q1
112,25_Q1_15,2025_Q1
113,25_Q1_16,2025_Q1
114,25_Q1_17,2025_Q1
115,25_Q1_18,2025_Q1
116,25_Q1_19,2025_Q1
117,25_Q1_20,2025_Q1
118,25_Q1_21,2025_Q1
119,25_Q1_22,2025_Q1
120,25_Q1_23,2025_Q1
121,25_Q2_0,2025_Q2
122,25_Q2_1,2025_Q2
123,25_Q2_2,2025_Q2
124,25_Q2_3,2025_Q2
125,25_Q2_4,2025_Q2
126,25_Q2_5,2025_Q2
127,25_Q2_6,2025_Q2
128,25_Q2_7,2025_Q2
129,25_Q2_8,2025_Q2
130,25_Q2_9,2025_Q2
131,25_Q2_10,2025_Q2
132,25_Q2_11,2025_Q2
133,25_Q2_12,2025_Q2
134,25_Q2_13,2025_Q2
135,25_Q2_14,2025_Q2
136,25_Q2_15,2025_Q2
137,25_Q2_16,2025_Q2
138,25_Q2_17,2025_Q2
139,25_Q2_18,2025_Q2
140,25_Q2_19,2025_Q2
141,25_Q2_20,2025_Q2
142,25_Q2_21,2025_Q2
143,25_Q2_22,2025_Q2
144,25_Q2_23,2025_Q2
145,25_Q3_0,2025_Q3
146,25_Q3_1,2025_Q3
147,25_Q3_2,2025_Q3
148,25_Q3_3,2025_Q3
149,25_Q3_4,2025_Q3
150,25_Q3_5,2025_Q3
151,25_Q3_6,2025_Q3
152,25_Q3_7,2025_Q3
153,25_Q3_8,2025_Q3
154,25_Q3_9,2025_Q3
155,25_Q3_10,2025_Q3
156,25_Q3_11,2025_Q3
157,25_Q3_12,2025_Q3
158,25_Q3_13,2025_Q3
159,25_Q3_14,2025_Q3
160,25_Q3_15,2025_Q3
161,25_Q3_16,2025_Q3
162,25_Q3_17,2025_Q3
163,25_Q3_18,2025_Q3
164,25_Q3_19,2025_Q3
165,25_Q3_20,2025_Q3
166,25_Q3_21,2025_Q3
167,25_Q3_22,2025_Q3
168,25_Q3_23,2025_Q3
169,25_Q4_0,2025_Q4
170,25_Q4_1,2025_Q4
171,25_Q4_2,2025_Q4
172,25_Q4_3,2025_Q4
173,25_Q4_4,2025_Q4
174,25_Q4_5,2025_Q4
175,25_Q4_6,2025_Q4
176,25_Q4_7,2025_Q4
177,25_Q4_8,2025_Q4
178,25_Q4_9,2025_Q4
179,25_Q4_10,2025_Q4
180,25_Q4_11,2025_Q4
181,25_Q4_12,2025_Q4
182,25_Q4_13,2025_Q4
183,25_Q4_14,2025_Q4
184,25_Q4_15,2025_Q4
185,25_Q4_16,2025_Q4
186,25_Q4_17,2025_Q4
187,25_Q4_18,2025_Q4
188,25_Q4_19,2025_Q4
189,25_Q4_20,2025_Q4
190,25_Q4_21,2025_Q4
191,25_Q4_22,2025_Q4
192,25_Q4_23,2025_Q4
193,30_Q1_0,2030_Q1
194,30_Q1_1,2030_Q1
195,30_Q1_2,2030_Q1
196,30_Q1_3,2030_Q1
197,30_Q1_4,2030_Q1
198,30_Q1_5,2030_Q1
199,30_Q1_6,2030_Q1
200,30_Q1_7,2030_Q1
201,30_Q1_8,2030_Q1
202,30_Q1_9,2030_Q1
203,30_Q1_10,2030_Q1
204,30_Q1_11,2030_Q1
205,30_Q1_12,2030_Q1
206,30_Q1_13,2030_Q1
207,30_Q1_14,2030_Q1
208,30_Q1_15,2030_Q1
209,30_Q1_16,2030_Q1
210,30_Q1_17,2030_Q1
211,30_Q1_18,2030_Q1
212,30_Q1_19,2030_Q1
213,30_Q1_20,2030_Q1
214,30_Q1_21,2030_Q1
215,30_Q1_22,2030_Q1
216,30_Q1_23,2030_Q1
217,30_Q2_0,2030_Q2
218,30_Q2_1,2030_Q2
219,30_Q2_2,2030_Q2
220,30_Q2_3,2030_Q2
221,30_Q2_4,2030_Q2
222,30_Q2_5,2030_Q2
223,30_Q2_6,2030_Q2
224,30_Q2_7,2030_Q2
225,30_Q2_8,2030_Q2
226,30_Q2_9,2030_Q2
227,30_Q2_10,2030_Q2
228,30_Q2_11,2030_Q2
229,30_Q2_12,2030_Q2
230,30_Q2_13,2030_Q2
231,30_Q2_14,2030_Q2
232,30_Q2_15,2030_Q2
233,30_Q2_16,2030_Q2
234,30_Q2_17,2030_Q2
235,30_Q2_18,2030_Q2
236,30_Q2_19,2030_Q2
237,30_Q2_20,2030_Q2
238,30_Q2_21,2030_Q2
239,30_Q2_22,2030_Q2
240,30_Q2_23,2030_Q2
241,30_Q3_0,2030_Q3
242,30_Q3_1,2030_Q3
243,30_Q3_2,2030_Q3
244,30_Q3_3,2030_Q3
245,30_Q3_4,2030_Q3
246,30_Q3_5,2030_Q3
247,30_Q3_6,2030_Q3
248,30_Q3_7,2030_Q3
249,30_Q3_8,2030_Q3
250,30_Q3_9,2030_Q3
251,30_Q3_10,2030_Q3
252,30_Q3_11,2030_Q3
253,30_Q3_12,2030_Q3
254,30_Q3_13,2030_Q3
255,30_Q3_14,2030_Q3
256,30_Q3_15,2030_Q3
257,30_Q3_16,2030_Q3
258,30_Q3_17,2030_Q3
259,30_Q3_18,2030_Q3
260,30_Q3_19,2030_Q3
261,30_Q3_20,2030_Q3
262,30_Q3_21,2030_Q3
263,30_Q3_22,2030_Q3
264,30_Q3_23,2030_Q3
265,30_Q4_0,2030_Q4
266,30_Q4_1,2030_Q4
267,30_Q4_2,2030_Q4
268,30_Q4_3,2030_Q4
269,30_Q4_4,2030_Q4
270,30_Q4_5,2030_Q4
271,30_Q4_6,2030_Q4
272,30_Q4_7,2030_Q4
273,30_Q4_8,2030_Q4
274,30_Q4_9,2030_Q4
275,30_Q4_10,2030_Q4
276,30_Q4_11,2030_Q4
277,30_Q4_12,2030_Q4
278,30_Q4_13,2030_Q4
279,30_Q4_14,2030_Q4
280,30_Q4_15,2030_Q4
281,30_Q4_16,2030_Q4
282,30_Q4_17,2030_Q4
283,30_Q4_18,2030_Q4
284,30_Q4_19,2030_Q4
285,30_Q4_20,2030_Q4
286,30_Q4_21,2030_Q4
287,30_Q4_22,2030_Q4
288,30_Q4_23,2030_Q4
289,35_Q1_0,2035_Q1
290,35_Q1_1,2035_Q1
291,35_Q1_2,2035_Q1
292,35_Q1_3,2035_Q1
293,35_Q1_4,2035_Q1
294,35_Q1_5,2035_Q1
295,35_Q1_6,2035_Q1
296,35_Q1_7,2035_Q1
297,35_Q1_8,2035_Q1
298,35_Q1_9,2035_Q1
299,35_Q1_10,2035_Q1
300,35_Q1_11,2035_Q1
301,35_Q1_12,2035_Q1
302,35_Q1_13,2035_Q1
303,35_Q1_14,2035_Q1
304,35_Q1_15,2035_Q1
305,35_Q1_16,2035_Q1
306,35_Q1_17,2035_Q1
307,35_Q1_18,2035_Q1
308,35_Q1_19,2035_Q1
309,35_Q1_20,2035_Q1
310,35_Q1_21,2035_Q1
311,35_Q1_22,2035_Q1
312,35_Q1_23,2035_Q1
313,35_Q2_0,2035_Q2
314,35_Q2_1,2035_Q2
315,35_Q2_2,2035_Q2
316,35_Q2_3,2035_Q2
317,35_Q2_4,2035_Q2
318,35_Q2_5,2035_Q2
319,35_Q2_6,2035_Q2
320,35_Q2_7,2035_Q2
321,35_Q2_8,2035_Q2
322,35_Q2_9,2035_Q2
323,35_Q2_10,2035_Q2
324,35_Q2_11,2035_Q2
325,35_Q2_12,2035_Q2
326,35_Q2_13,2035_Q2
327,35_Q2_14,2035_Q2
328,35_Q2_15,2035_Q2
329,35_Q2_16,2035_Q2
330,35_Q2_17,2035_Q2
331,35_Q2_18,2035_Q2
332,35_Q2_19,2035_Q2
333,35_Q2_20,2035_Q2
334,35_Q2_21,2035_Q2
335,35_Q2_22,2035_Q2
336,35_Q2_23,2035_Q2
337,35_Q3_0,2035_Q3
338,35_Q3_1,2035_Q3
339,35_Q3_2,2035_Q3
340,35_Q3_3,2035_Q3
341,35_Q3_4,2035_Q3
342,35_Q3_5,2035_Q3
343,35_Q3_6,2035_Q3
344,35_Q3_7,2035_Q3
345,35_Q3_8,2035_Q3
346,35_Q3_9,2035_Q3
347,35_Q3_10,2035_Q3
348,35_Q3_11,2035_Q3
349,35_Q3_12,2035_Q3
350,35_Q3_13,2035_Q3
351,35_Q3_14,2035_Q3
352,35_Q3_15,2035_Q3
353,35_Q3_16,2035_Q3
354,35_Q3_17,2035_Q3
355,35_Q3_18,2035_Q3
356,35_Q3_19,2035_Q3
357,35_Q3_20,2035_Q3
358,35_Q3_21,2035_Q3
359,35_Q3_22,2035_Q3
360,35_Q3_23,2035_Q3
361,35_Q4_0,2035_Q4
362,35_Q4_1,2035_Q4
363,35_Q4_2,2035_Q4
364,35_Q4_3,2035_Q4
365,35_Q4_4,2035_Q4
366,35_Q4_5,2035_Q4
367,35_Q4_6,2035_Q4
368,35_Q4_7,2035_Q4
369,35_Q4_8,2035_Q4
370,35_Q4_9,2035_Q4
371,35_Q4_10,2035_Q4
372,35_Q4_11,2035_Q4
373,35_Q4_12,2035_Q4
374,35_Q4_13,2035_Q4
375,35_Q4_14,2035_Q4
376,35_Q4_15,2035_Q4
377,35_Q4_16,2035_Q4
378,35_Q4_17,2035_Q4
379,35_Q4_18,2035_Q4
380,35_Q4_19,2035_Q4
381,35_Q4_20,2035_Q4
382,35_Q4_21,2035_Q4
383,35_Q4_22,2035_Q4
384,35_Q4_23,2035_Q4
385,40_Q1_0,2040_Q1
386,40_Q1_1,2040_Q1
387,40_Q1_2,2040_Q1
388,40_Q1_3,2040_Q1
389,40_Q1_4,2040_Q1
390,40_Q1_5,2040_Q1
391,40_Q1_6,2040_Q1
392,40_Q1_7,2040_Q1
393,40_Q1_8,2040_Q1
394,40_Q1_9,2040_Q1
395,40_Q1_10,2040_Q1
396,40_Q1_11,2040_Q1
397,40_Q1_12,2040_Q1
398,40_Q1_13,2040_Q1
399,40_Q1_14,2040_Q1
400,40_Q1_15,2040_Q1
401,40_Q1_16,2040_Q1
402,40_Q1_17,2040_Q1
403,40_Q1_18,2040_Q1
404,40_Q1_19,2040_Q1
405,40_Q1_20,2040_Q1
