PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,1,8477.36218879
system-planning,2,8124.138765213499
system-planning,3,7871.836318367497
system-planning,4,8376.441211104999
system-planning,5,8748.082713589998
system-planning,6,9080.163193494996
system-planning,7,9385.650994739999
system-planning,8,10354.971762224997
system-planning,9,11151.768117279998
system-planning,10,11337.58886904
system-planning,11,11702.746200139996
system-planning,12,11530.221787594997
system-planning,13,11271.107175725001
system-planning,14,11397.258398319998
system-planning,15,11404.070565115
system-planning,16,11220.646685905002
system-planning,17,11404.070565115
system-planning,18,12167.790068744998
system-planning,19,13163.375520745
system-planning,20,12791.734017915
system-planning,21,11649.560843509998
system-planning,22,10514.19983751
system-planning,23,9252.687606500001
system-planning,24,8621.93149065
system-planning,25,8587.809873310001
system-planning,26,8229.9844610155
system-planning,27,7974.394882333
system-planning,28,8485.57404071
system-planning,29,8862.057491579999
system-planning,30,9198.464496195
system-planning,31,9507.932359120001
system-planning,32,10489.881965799997
system-planning,33,11297.059415474998
system-planning,34,11485.301140795
system-planning,35,11855.215940934999
system-planning,36,11680.443785424999
system-planning,37,11417.953286685002
system-planning,38,11545.7480764
system-planning,39,11552.648995824999
system-planning,40,11366.835371994997
system-planning,41,11552.648995824999
system-planning,42,12326.318653539998
system-planning,43,13334.875134709999
system-planning,44,12958.391682344998
system-planning,45,11801.337656635
system-planning,46,10651.184548854999
system-planning,47,9373.236651475
system-planning,48,8734.26270221
system-planning,49,8582.863067809998
system-planning,50,8225.243772626
system-planning,51,7969.8014192089995
system-planning,52,8480.68612602
system-planning,53,8856.952711959999
system-planning,54,9193.165937434998
system-planning,55,9502.455538515002
system-planning,56,10483.83951574
system-planning,57,11290.552010984999
system-planning,58,11478.685303954997
system-planning,59,11848.387022549998
system-planning,60,11673.715540915
system-planning,61,11411.376243945
system-planning,62,11539.097419859998
system-planning,63,11545.994363965001
system-planning,64,11360.287773509997
system-planning,65,11545.994363965001
system-planning,66,12319.218368389998
system-planning,67,13327.193892674997
system-planning,68,12950.927307079997
system-planning,69,11794.539773989998
system-planning,70,10645.049184200001
system-planning,71,9367.83741838
system-planning,72,8729.231535239998
system-planning,73,8456.55217956
system-planning,74,8104.195839078499
system-planning,75,7852.512738555499
system-planning,76,8355.878939475
system-planning,77,8726.608146384999
system-planning,78,9057.873444074998
system-planning,79,9362.61134113
system-planning,80,10329.552647064998
system-planning,81,11124.393046239999
system-planning,82,11309.757649925003
system-planning,83,11674.018600874997
system-planning,84,11501.917696875
system-planning,85,11243.439151845
system-planning,86,11369.280703244996
system-planning,87,11376.076146854995
system-planning,88,11193.102532434998
system-planning,89,11376.076146854995
system-planning,90,12137.920891965
system-planning,91,13131.062406284998
system-planning,92,12760.33319972
system-planning,93,11620.963803744999
system-planning,94,10488.389850804999
system-planning,95,9229.974348534999
system-planning,96,8600.76659671
system-planning,97,9136.539732160001
system-planning,98,8755.850577304998
system-planning,99,8483.92975139
system-planning,100,9027.771402184999
system-planning,101,9428.310777765
system-planning,102,9786.21296874
system-planning,103,10115.454704004998
system-planning,104,11160.147321915
system-planning,105,12018.900481155002
system-planning,106,12219.170169174999
system-planning,107,12612.721179905
system-planning,108,12426.781718819997
system-planning,109,12147.519030475
system-planning,110,12283.47944349
system-planning,111,12290.821306265
system-planning,112,12093.134865775002
system-planning,113,12290.821306265
system-planning,114,13113.925644714996
system-planning,115,14186.925222479998
system-planning,116,13786.385846094998
system-planning,117,12555.400270555001
system-planning,118,11331.756555144999
system-planning,119,9972.152428675003
system-planning,120,9292.350365209997
system-planning,121,9247.709200840001
system-planning,122,8862.387984329998
system-planning,123,8587.158543325
system-planning,124,9137.617425104998
system-planning,125,9543.030389939999
system-planning,126,9905.28737987
system-planning,127,10238.53518717
system-planning,128,11295.939173334998
system-planning,129,12165.141269719998
system-planning,130,12367.84775277
system-planning,131,12766.187322675001
