BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
AGUAFRESCA,2020,5.408486721
AGUAFRESCA,2025,5.408486721
AGUAFRESCA,2030,5.408486721
AGUAFRESCA,2035,5.408486721
AGUAFRESCA,2040,5.408486721
AGUAFRESCA,2045,5.408486721
ALEJANDRIA,2020,11.1285735
ALEJANDRIA,2025,11.1285735
ALEJANDRIA,2030,11.1285735
ALEJANDRIA,2035,11.1285735
ALEJANDRIA,2040,11.1285735
ALEJANDRIA,2045,11.1285735
AMAIME,2020,14.222316933
AMAIME,2025,14.222316933
AMAIME,2030,14.222316933
AMAIME,2035,14.222316933
AMAIME,2040,14.222316933
AMAIME,2045,14.222316933
BARROSO,2020,14.76390751
BARROSO,2025,14.76390751
BARROSO,2030,14.76390751
BARROSO,2035,14.76390751
BARROSO,2040,14.76390751
BARROSO,2045,14.76390751
CANA,2020,18.265698638
CANA,2025,18.265698638
CANA,2030,18.265698638
CANA,2035,18.265698638
CANA,2040,18.265698638
CANA,2045,18.265698638
CARUQUIA,2020,7.0480965499999995
CARUQUIA,2025,7.0480965499999995
CARUQUIA,2030,7.0480965499999995
CARUQUIA,2035,7.0480965499999995
CARUQUIA,2040,7.0480965499999995
CARUQUIA,2045,7.0480965499999995
ELPOPAL,2020,14.76390751
ELPOPAL,2025,14.76390751
ELPOPAL,2030,14.76390751
ELPOPAL,2035,14.76390751
ELPOPAL,2040,14.76390751
ELPOPAL,2045,14.76390751
GUANAQUITAS,2020,7.0480965499999995
GUANAQUITAS,2025,7.0480965499999995
GUANAQUITAS,2030,7.0480965499999995
GUANAQUITAS,2035,7.0480965499999995
GUANAQUITAS,2040,7.0480965499999995
GUANAQUITAS,2045,7.0480965499999995
MEN_ANTIOQUIA,2020,23.577737722
MEN_ANTIOQUIA,2025,23.577737722
MEN_ANTIOQUIA,2030,23.577737722
MEN_ANTIOQUIA,2035,23.577737722
MEN_ANTIOQUIA,2040,23.577737722
MEN_ANTIOQUIA,2045,23.577737722
MEN_CAUCANAR,2020,27.96981473
MEN_CAUCANAR,2025,27.96981473
MEN_CAUCANAR,2030,27.96981473
MEN_CAUCANAR,2035,27.96981473
MEN_CAUCANAR,2040,27.96981473
MEN_CAUCANAR,2045,27.96981473
MEN_CHARQUITO,2020,14.392955059999998
MEN_CHARQUITO,2025,14.392955059999998
MEN_CHARQUITO,2030,14.392955059999998
MEN_CHARQUITO,2035,14.392955059999998
MEN_CHARQUITO,2040,14.392955059999998
MEN_CHARQUITO,2045,14.392955059999998
MEN_CQR,2020,13.984907365
MEN_CQR,2025,13.984907365
MEN_CQR,2030,13.984907365
MEN_CQR,2035,13.984907365
MEN_CQR,2040,13.984907365
MEN_CQR,2045,13.984907365
MEN_EMGESA,2020,41.390874370999995
MEN_EMGESA,2025,41.390874370999995
MEN_EMGESA,2030,41.390874370999995
MEN_EMGESA,2035,41.390874370999995
MEN_EMGESA,2040,41.390874370999995
MEN_EMGESA,2045,41.390874370999995
MEN_EPM,2020,58.269210846
MEN_EPM,2025,58.269210846
MEN_EPM,2030,58.269210846
MEN_EPM,2035,58.269210846
MEN_EPM,2040,58.269210846
MEN_EPM,2045,58.269210846
MEN_EPM_HERR,2020,14.838097999999999
MEN_EPM_HERR,2025,14.838097999999999
MEN_EPM_HERR,2030,14.838097999999999
MEN_EPM_HERR,2035,14.838097999999999
MEN_EPM_HERR,2040,14.838097999999999
MEN_EPM_HERR,2045,14.838097999999999
MEN_EPM_JEPI,2020,11.5970478
MEN_EPM_JEPI,2025,11.5970478
MEN_EPM_JEPI,2030,11.5970478
MEN_EPM_JEPI,2035,11.5970478
MEN_EPM_JEPI,2040,11.5970478
MEN_EPM_JEPI,2045,11.5970478
MEN_EPM_VUEL,2020,8.60609684
MEN_EPM_VUEL,2025,8.60609684
MEN_EPM_VUEL,2030,8.60609684
MEN_EPM_VUEL,2035,8.60609684
MEN_EPM_VUEL,2040,8.60609684
MEN_EPM_VUEL,2045,8.60609684
MEN_EPSA,2020,17.338317513
MEN_EPSA,2025,17.338317513
MEN_EPSA,2030,17.338317513
MEN_EPSA,2035,17.338317513
MEN_EPSA,2040,17.338317513
MEN_EPSA,2045,17.338317513
MEN_HUILA,2020,8.264820586
MEN_HUILA,2025,8.264820586
MEN_HUILA,2030,8.264820586
MEN_HUILA,2035,8.264820586
MEN_HUILA,2040,8.264820586
MEN_HUILA,2045,8.264820586
MEN_Magallo,2020,4.22885793
MEN_Magallo,2025,4.22885793
MEN_Magallo,2030,4.22885793
MEN_Magallo,2035,4.22885793
MEN_Magallo,2040,4.22885793
MEN_Magallo,2045,4.22885793
MEN_NARPUT,2020,17.65733662
MEN_NARPUT,2025,17.65733662
MEN_NARPUT,2030,17.65733662
MEN_NARPUT,2035,17.65733662
MEN_NARPUT,2040,17.65733662
MEN_NARPUT,2045,17.65733662
MEN_NORDESTE,2020,14.096193099999999
MEN_NORDESTE,2025,14.096193099999999
MEN_NORDESTE,2030,14.096193099999999
MEN_NORDESTE,2035,14.096193099999999
MEN_NORDESTE,2040,14.096193099999999
MEN_NORDESTE,2045,14.096193099999999
MEN_Naveta,2020,3.56114352
MEN_Naveta,2025,3.56114352
MEN_Naveta,2030,3.56114352
MEN_Naveta,2035,3.56114352
MEN_Naveta,2040,3.56114352
MEN_Naveta,2045,3.56114352
MEN_TEQUEN,2020,14.392955059999998
MEN_TEQUEN,2025,14.392955059999998
MEN_TEQUEN,2030,14.392955059999998
MEN_TEQUEN,2035,14.392955059999998
MEN_TEQUEN,2040,14.392955059999998
MEN_TEQUEN,2045,14.392955059999998
MEN_TOLIMA,2020,9.05123978
MEN_TOLIMA,2025,9.05123978
MEN_TOLIMA,2030,9.05123978
MEN_TOLIMA,2035,9.05123978
MEN_TOLIMA,2040,9.05123978
MEN_TOLIMA,2045,9.05123978
MONTANITAS,2020,14.76390751
MONTANITAS,2025,14.76390751
MONTANITAS,2030,14.76390751
MONTANITAS,2035,14.76390751
MONTANITAS,2040,14.76390751
MONTANITAS,2045,14.76390751
MORRO_AZUL,2020,14.76390751
MORRO_AZUL,2025,14.76390751
MORRO_AZUL,2030,14.76390751
MORRO_AZUL,2035,14.76390751
MORRO_AZUL,2040,14.76390751
MORRO_AZUL,2045,14.76390751
PROVIDENCIA,2020,3.6353340100000002
PROVIDENCIA,2025,3.6353340100000002
PROVIDENCIA,2030,3.6353340100000002
PROVIDENCIA,2035,3.6353340100000002
PROVIDENCIA,2040,3.6353340100000002
PROVIDENCIA,2045,3.6353340100000002
TULUA_ALTO,2020,14.76390751
TULUA_ALTO,2025,14.76390751
TULUA_ALTO,2030,14.76390751
TULUA_ALTO,2035,14.76390751
TULUA_ALTO,2040,14.76390751
TULUA_ALTO,2045,14.76390751
TULUA_BAJO,2020,14.76390751
TULUA_BAJO,2025,14.76390751
TULUA_BAJO,2030,14.76390751
TULUA_BAJO,2035,14.76390751
TULUA_BAJO,2040,14.76390751
TULUA_BAJO,2045,14.76390751
