PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,73706588.98741123,21727882.540060457
2025,TotalGenFixedCosts,annual,58344912.3445935,21951316.856053606
2030,TotalGenFixedCosts,annual,46071152.452079356,22122446.747502536
2035,TotalGenFixedCosts,annual,36366194.64055177,22286836.984053403
2040,TotalGenFixedCosts,annual,28622692.29530688,22387600.82334217
2045,TotalGenFixedCosts,annual,22551132.043949507,22511887.833815828
2020,GenVariableOMCostsInTP,timepoint,1151189315.0161228,339357804.5283722
2020,FuelCostsPerTP,timepoint,926115578.524792,273008570.6739686
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,GenVariableOMCostsInTP,timepoint,824197633.5215715,310090849.02872545
2025,FuelCostsPerTP,timepoint,475104856.2250293,178750414.04208782
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,GenVariableOMCostsInTP,timepoint,511217980.047753,245476658.12648445
2030,FuelCostsPerTP,timepoint,276497676.9939572,132768659.11850882
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,445403093.44541675,272963015.0728494
2035,FuelCostsPerTP,timepoint,255314367.10176694,156468108.23969984
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,GenVariableOMCostsInTP,timepoint,268447724.65520877,209969783.3980732
2040,FuelCostsPerTP,timepoint,161357815.17394713,126208056.1315073
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,GenVariableOMCostsInTP,timepoint,274923259.17875975,274444828.8217905
2045,FuelCostsPerTP,timepoint,189011373.3219652,188682449.6103818
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
