timestamp,AGUAFRESCA,ALEJANDRIA,ALTOANCHICAY,AMAIME,AMOYA,AUT_ARGOCGNA,AUT_ARGOYUMB,AUT_REFICAR,AUT_UNIBOL,AUT_YAGUARIT,BAJOANCHICAY,BARRANQUILLA3,BARRANQUILLA3_FO6,BARRANQUILLA4,BARRANQUILLA4_FO6,BARROSO,BETANIA,BIOG-TEQUENDAMA,BIOG_DJUANA,CALDERAS,CALIMA,CANA,CANDELARIA1,CANDELARIA1_FO2,CANDELARIA2,CANDELARIA2_FO2,CARTAGENA1,CARTAGENA1_FO6,CARTAGENA2,CARTAGENA2_FO6,CARTAGENA3,CARTAGENA3_FO6,CARUQUIA,CC_FLORES4,CC_FLORES4_FO2,CHIVOR,CIMARRON,COG_COLTEJER,COG_INCAUCA,COG_MANUELIT,COG_MAYAGUEZ,COG_PROENCA,COG_PROVIDEN,COG_RISARALD,CUCUANA,C_LLERAS_R,DARIO_VALENC,ELMORRO1,ELMORRO2,ELPOPAL,EL_QUIMBO,EMCALI,EMCALI_FO2,ESMERALDA,EXP_HID_1,FLORES1,FLORES1_FO2,GUADALUPE_3,GUADALUPE_4,GUAJIRA1,GUAJIRA1_CARBON,GUAJIRA2,GUAJIRA2_CARBON,GUANAQUITAS,GUATAPE,GUAVIO,HD-ANT-CHO,HD-ATLANTICO,HD-BOG-CUN,HD-BOLIVAR,HD-BOY-CAS,HD-CAUCA,HD-COR-SUC,HD-CQR,HD-GCM,HD-HTC,HD-MET-GUAV,HD-NAR-PUT,HD-NSANT,HD-SANT-ARA,HD-VALLE,INSULA,JAGUAS,LAGUN-LIMON,LA_GUACA,LA_TASAJERA,MEN_ANTIOQUIA,MEN_CAUCANAR,MEN_CHARQUITO,MEN_CQR,MEN_EMGESA,MEN_EPM,MEN_EPM_HERR,MEN_EPM_JEPI,MEN_EPM_VUEL,MEN_EPSA,MEN_HUILA,MEN_Magallo,MEN_NARPUT,MEN_NORDESTE,MEN_Naveta,MEN_TEQUEN,MEN_TOLIMA,MERILECTRICA,MIEL_I,MIEL_II,MONTANITAS,MORRO_AZUL,PAIPA1,PAIPA2,PAIPA3,PAIPA4,PAJARITO,PARAISO,PESCADERO,PLAYAS,PORCE_II,PORCE_III,PRADO,PRADO4,PROELECTRIC1,PROELECTRIC1_FO2,PROELECTRIC2,PROELECTRIC2_FO2,PROVIDENCIA,PV-ANT-CHO,PV-ATLANTICO,PV-BOG-CUN,PV-BOLIVAR,PV-BOY-CAS,PV-CAUCA,PV-COR-SUC,PV-CQR,PV-GCM,PV-HTC,PV-MET-GUAV,PV-NAR-PUT,PV-NSANT,PV-SANT-ARA,PV-VALLE,Purificacion,RIOGRANDE_1,SALTO_II,SALVAJINA,SAN_CARLOS,SAN_FRANCISCO,SNMIGUEL,SOGAMOSO,TASAJERO1,TASAJERO2,TC_GECELCA3,TC_GECELCA32,TEBSAB,TEBSAB_FO2,TERMOBOLIVAR,TERMOCENTRO,TERMOCENTRO_JA1,TERMODORADA1,TERMODORADA1_FO2,TERMONORTE,TERMOSIERRA,TERMOSIERRA_FO2,TERMOVALLE2,TERMOVALLE2_CPM2,TERMO_YOPAL1,TERMO_YOPAL2,TPIEDRAS,TRONERAS,TULUA_ALTO,TULUA_BAJO,TUNJITA,TermoCaribe1,TermoCaribe2,TermoSolo1,TermoSolo2,URRA,WN-ANT-CHO,WN-ATLANTICO,WN-BOG-CUN,WN-BOLIVAR,WN-BOY-CAS,WN-CAUCA,WN-COR-SUC,WN-CQR,WN-GCM,WN-HTC,WN-MET-GUAV,WN-NAR-PUT,WN-NSANT,WN-SANT-ARA,WN-VALLE,ZIPAEMG2,ZIPAEMG3,ZIPAEMG4,ZIPAEMG5,jaguey,pwcon3,rubiales
20_Q1_0,5.40849,11.1286,293.408,14.2223,19,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,527.364,1.4625,1.105,5,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,256.455,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,70.2,142.02,0,0,14.7639,97.4,0,0,29.346,84,0,0,65,182.446,0,123.609,0,128.644,7.0481,134,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,54.38,14.72,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,388.634,75.7011,14.7639,14.7639,0,0,0,0,1,66,91.4127,153.587,97,168,44.5648,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,8,68,298,102.778,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,39.552,14.7639,14.7639,10.3333,0,0,0,0,81,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_1,5.40849,11.1286,88.5558,14.2223,19,6.435,6.435,6.435,0.715,1.04,18,0,0,0,0,14.7639,279.829,1.4625,1.105,5,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,256.455,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,36,0,0,14.7639,97.4,0,0,18.578,84,0,0,65,48,0,123.609,0,128.644,7.0481,134,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,54.38,4,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,388.634,28,14.7639,14.7639,0,0,0,0,1,66,91.4127,153.587,97,678.51,11,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,229.728,298,103.937,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,19.136,14.7639,14.7639,10.3333,0,0,0,0,81,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_2,5.40849,11.1286,293.407,14.2223,19,6.435,6.435,6.435,0.715,1.04,18,0,0,0,0,14.7639,279.829,1.4625,1.105,14.394,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,36,0,0,14.7639,97.4,0,0,7,84,0,0,65,48,0,123.609,0,128.644,7.0481,134,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,54.38,4,320.857,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,66,91.4127,162.218,97,249.065,11,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,8,245.784,298,103.937,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,39.552,14.7639,14.7639,10.3333,0,0,0,0,81,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_3,5.40849,11.1286,85,14.2223,19,6.435,6.435,6.435,0.715,1.04,18,0,0,0,0,14.7639,279.829,1.4625,1.105,19.4343,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,240,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,30.2,36,0,0,14.7639,95,0,0,7,84,0,0,65,48,0,123.609,0,128.644,7.0481,134,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,4,320.857,113.807,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,272.412,148.949,50,97,678.51,44.5648,1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,8,245.784,298,103.937,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,10.3333,0,0,0,0,81,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_4,5.40849,11.1286,85,14.2223,50.872,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,130,1.4625,1.105,19.4343,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,30.2,142.02,0,0,14.7639,95,0,0,29.346,84,0,0,65,48,0,123.609,0,128.644,7.0481,553.672,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,4,320.857,208.167,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,66,72,92.6914,403.501,334.558,44.5648,1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,298,32,39.6,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,10.3333,0,0,0,0,81,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_5,5.40849,11.1286,85,14.2223,19,6.435,6.435,6.435,0.715,1.04,19.7094,0,0,0,0,14.7639,130,1.4625,1.105,19.4343,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,36,0,0,14.7639,95,0,0,29.346,84,0,0,65,48,0,123.609,0,128.644,7.0481,134,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,4,78,208.167,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,114.824,14.7639,14.7639,0,0,0,0,1.51714,66,148.949,92.6914,403.501,334.558,11,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,68,1013.27,32,39.6,696.15,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,13,0,0,0,0,81,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_6,5.40849,11.1286,293.408,14.2223,50.872,6.435,6.435,6.435,0.715,1.04,18,0,0,0,0,14.7639,139.25,1.4625,1.105,5,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,240,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,36,0,0,14.7639,95,0,0,7,241.867,0,0,65,48,0,123.609,0,128.644,7.0481,186.826,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,41,4,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,66,72,50,403.501,168,11,1.9,0,0,0,0,3.63533,16.4994,16.4994,0,16.4994,16.4994,16.4994,16.4994,16.4994,16.4994,16.4994,9.16636,16.4994,16.4994,16.4994,16.4994,0,11.78,29.75,68,1237.89,103.937,39.6,696.15,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,13,0,0,0,0,81,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_7,5.40849,11.1286,85,14.2223,50.872,6.435,6.435,6.435,0.715,1.04,19.7094,0,0,0,0,14.7639,527.364,1.4625,1.105,5,32,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,97.7776,0,0,14.7639,95,0,0,7,241.867,0,0,265.275,48,0,123.609,0,128.644,7.0481,186.826,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,4,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,66,72,50,403.501,334.558,11,3.1,0,0,0,0,3.63533,69.7731,69.7731,0,69.7731,69.7731,69.7731,69.7731,69.7731,69.7731,69.7731,38.7628,69.7731,69.7731,69.7731,69.7731,0,5,8,68,1237.89,103.937,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,5,0,0,0,0,81,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_8,5.40849,11.1286,85,14.2223,19,6.435,6.435,6.435,0.715,1.04,19.7094,0,0,0,0,14.7639,527.364,1.4625,1.105,5,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,14,19,36,0,0,14.7639,95,0,0,7,286.393,0,0,265.275,155.107,0,123.609,0,128.644,7.0481,134,654.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,4,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,28,14.7639,14.7639,0,0,0,0,1.51714,66,72,50,97,334.558,11,3.1,0,0,0,0,3.63533,112.822,112.822,0,112.822,112.822,112.822,112.822,112.822,112.822,112.822,62.6789,112.822,112.822,112.822,112.822,0,5,8,68,1237.89,32,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,5,0,0,0,0,88.3277,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,24.718,49.3038,48.7104,54.0162,0,130.155,0
20_Q1_9,5.40849,11.1286,85,14.2223,19,6.435,6.435,6.435,0.715,1.04,18,0,0,0,0,14.7639,527.364,1.4625,1.105,5,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,308.49,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,19,36,0,0,14.7639,95,0,0,7,299.004,0,0,65,155.107,0,123.609,0,128.644,7.0481,186.826,614.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,4,78,73,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,95,114.824,14.7639,14.7639,0,0,0,0,3.038,66,72,50,97,168,11,1,0,0,0,0,3.63533,137.891,137.891,0,137.891,137.891,137.891,137.891,137.891,137.891,137.891,76.6063,137.891,137.891,137.891,137.891,0,5,8,68,1237.89,32,11,197,152.568,143.171,0,204.65,4.83763,0,7.94042,0,0,0,0,0,0,0,0,0,0,0,2.4375,10,14.7639,14.7639,5,0,0,0,0,103.884,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,24.718,49.3038,48.7104,54.0162,0,130.155,0
