GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
AGUAFRESCA,2020,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
AGUAFRESCA,2025,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
AGUAFRESCA,2030,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
AGUAFRESCA,2035,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
AGUAFRESCA,2040,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
AGUAFRESCA,2045,Menores,ANT-CHO,RunofRiver,7.29,637.144,7158.78
ALEJANDRIA,2020,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALEJANDRIA,2025,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALEJANDRIA,2030,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALEJANDRIA,2035,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALEJANDRIA,2040,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALEJANDRIA,2045,Menores,ANT-CHO,RunofRiver,15,1312.05,14715
ALTOANCHICAY,2020,Hidro,VALLE,Water,355,31076.8,347900
ALTOANCHICAY,2025,Hidro,VALLE,Water,355,31076.8,347900
ALTOANCHICAY,2030,Hidro,VALLE,Water,355,31076.8,347900
ALTOANCHICAY,2035,Hidro,VALLE,Water,355,31076.8,347900
ALTOANCHICAY,2040,Hidro,VALLE,Water,355,31076.8,347900
ALTOANCHICAY,2045,Hidro,VALLE,Water,355,31076.8,347900
AMAIME,2020,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMAIME,2025,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMAIME,2030,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMAIME,2035,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMAIME,2040,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMAIME,2045,Menores,VALLE,RunofRiver,19.17,1679.5,18767.4
AMOYA,2020,Hidro,HTC,Water,80,7014.48,78240
AMOYA,2025,Hidro,HTC,Water,80,7014.48,78240
AMOYA,2030,Hidro,HTC,Water,80,7014.48,78240
AMOYA,2035,Hidro,HTC,Water,80,7014.48,78240
AMOYA,2040,Hidro,HTC,Water,80,7014.48,78240
AMOYA,2045,Hidro,HTC,Water,80,7014.48,78240
AUT_ARGOCGNA,2020,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOCGNA,2025,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOCGNA,2030,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOCGNA,2035,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOCGNA,2040,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOCGNA,2045,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2020,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2025,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2030,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2035,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2040,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_ARGOYUMB,2045,Auto-Cog,VALLE,NONE,9.9,6.89143,722.7
AUT_REFICAR,2020,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_REFICAR,2025,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_REFICAR,2030,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_REFICAR,2035,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_REFICAR,2040,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_REFICAR,2045,Auto-Cog,BOLIVAR,NONE,9.9,6.89143,722.7
AUT_UNIBOL,2020,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_UNIBOL,2025,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_UNIBOL,2030,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_UNIBOL,2035,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_UNIBOL,2040,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_UNIBOL,2045,Auto-Cog,ATLANTICO,NONE,1.1,0.0850794,80.3
AUT_YAGUARIT,2020,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
AUT_YAGUARIT,2025,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
AUT_YAGUARIT,2030,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
AUT_YAGUARIT,2035,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
AUT_YAGUARIT,2040,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
AUT_YAGUARIT,2045,Auto-Cog,MET-GUAV,NONE,1.6,0.180003,116.8
BAJOANCHICAY,2020,Hidro,VALLE,Water,74,6519.62,71928
BAJOANCHICAY,2025,Hidro,VALLE,Water,74,6519.62,71928
BAJOANCHICAY,2030,Hidro,VALLE,Water,74,6519.62,71928
BAJOANCHICAY,2035,Hidro,VALLE,Water,74,6519.62,71928
BAJOANCHICAY,2040,Hidro,VALLE,Water,74,6519.62,71928
BAJOANCHICAY,2045,Hidro,VALLE,Water,74,6519.62,71928
BARRANQUILLA3,2020,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3,2025,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3,2030,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3,2035,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3,2040,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3,2045,Thermal,ATLANTICO,barranquilla_gas,64,5643.09,62144
BARRANQUILLA3_FO6,2020,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA3_FO6,2025,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA3_FO6,2030,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA3_FO6,2035,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA3_FO6,2040,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA3_FO6,2045,Thermal,ATLANTICO,barranquilla_fo6,55,4853.39,53350
BARRANQUILLA4,2020,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4,2025,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4,2030,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4,2035,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4,2040,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4,2045,Thermal,ATLANTICO,barranquilla_gas,63,5563.77,61047
BARRANQUILLA4_FO6,2020,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARRANQUILLA4_FO6,2025,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARRANQUILLA4_FO6,2030,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARRANQUILLA4_FO6,2035,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARRANQUILLA4_FO6,2040,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARRANQUILLA4_FO6,2045,Thermal,ATLANTICO,barranquilla_fo6,55,4861.13,53240
BARROSO,2020,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BARROSO,2025,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BARROSO,2030,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BARROSO,2035,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BARROSO,2040,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BARROSO,2045,Menores,ANT-CHO,RunofRiver,19.9,1760.24,19243.3
BETANIA,2020,Hidro,HTC,Water,540,47803.4,521640
BETANIA,2025,Hidro,HTC,Water,540,47803.4,521640
BETANIA,2030,Hidro,HTC,Water,540,47803.4,521640
BETANIA,2035,Hidro,HTC,Water,540,47803.4,521640
BETANIA,2040,Hidro,HTC,Water,540,47803.4,521640
BETANIA,2045,Hidro,HTC,Water,540,47803.4,521640
BIOG-TEQUENDAMA,2020,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG-TEQUENDAMA,2025,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG-TEQUENDAMA,2030,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG-TEQUENDAMA,2035,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG-TEQUENDAMA,2040,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG-TEQUENDAMA,2045,Auto-Cog,GCM,NONE,2.25,0.355962,137.25
BIOG_DJUANA,2020,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
BIOG_DJUANA,2025,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
BIOG_DJUANA,2030,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
BIOG_DJUANA,2035,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
BIOG_DJUANA,2040,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
BIOG_DJUANA,2045,Auto-Cog,BOG-CUN,NONE,1.7,0.203206,103.7
CALDERAS,2020,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALDERAS,2025,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALDERAS,2030,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALDERAS,2035,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALDERAS,2040,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALDERAS,2045,Hidro,ANT-CHO,Water,19.9,1767.24,19143.8
CALIMA,2020,Hidro,VALLE,Water,132,11731.7,126852
CALIMA,2025,Hidro,VALLE,Water,132,11731.7,126852
CALIMA,2030,Hidro,VALLE,Water,132,11731.7,126852
CALIMA,2035,Hidro,VALLE,Water,132,11731.7,126852
CALIMA,2040,Hidro,VALLE,Water,132,11731.7,126852
CALIMA,2045,Hidro,VALLE,Water,132,11731.7,126852
CANA,2020,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANA,2025,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANA,2030,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANA,2035,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANA,2040,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANA,2045,Menores,VALLE,RunofRiver,24.62,2191.6,23610.6
CANDELARIA1,2020,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1,2025,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1,2030,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1,2035,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1,2040,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1,2045,Thermal,BOLIVAR,cartagena_gas,157,13986.7,150406
CANDELARIA1_FO2,2020,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA1_FO2,2025,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA1_FO2,2030,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA1_FO2,2035,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA1_FO2,2040,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA1_FO2,2045,Thermal,BOLIVAR,candelaria_fo2,154,13730.3,147378
CANDELARIA2,2020,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2,2025,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2,2030,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2,2035,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2,2040,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2,2045,Thermal,BOLIVAR,cartagena_gas,157,14008.8,150092
CANDELARIA2_FO2,2020,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CANDELARIA2_FO2,2025,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CANDELARIA2_FO2,2030,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CANDELARIA2_FO2,2035,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CANDELARIA2_FO2,2040,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CANDELARIA2_FO2,2045,Thermal,BOLIVAR,candelaria_fo2,155,13841.2,148025
CARTAGENA1,2020,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1,2025,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1,2030,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1,2035,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1,2040,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1,2045,Thermal,BOLIVAR,cartagena_gas,61,5451.48,58194
CARTAGENA1_FO6,2020,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA1_FO6,2025,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA1_FO6,2030,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA1_FO6,2035,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA1_FO6,2040,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA1_FO6,2045,Thermal,BOLIVAR,cartagena_fo6,60.9,5446.83,58037.7
CARTAGENA2,2020,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2,2025,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2,2030,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2,2035,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2,2040,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2,2045,Thermal,BOLIVAR,cartagena_gas,60,5370.55,57120
CARTAGENA2_FO6,2020,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA2_FO6,2025,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA2_FO6,2030,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA2_FO6,2035,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA2_FO6,2040,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA2_FO6,2045,Thermal,BOLIVAR,cartagena_fo6,60,5374.77,57060
CARTAGENA3,2020,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3,2025,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3,2030,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3,2035,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3,2040,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3,2045,Thermal,BOLIVAR,cartagena_gas,66,5916.89,62700
CARTAGENA3_FO6,2020,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARTAGENA3_FO6,2025,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARTAGENA3_FO6,2030,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARTAGENA3_FO6,2035,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARTAGENA3_FO6,2040,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARTAGENA3_FO6,2045,Thermal,BOLIVAR,cartagena_fo6,65.89,5911.66,62529.6
CARUQUIA,2020,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CARUQUIA,2025,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CARUQUIA,2030,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CARUQUIA,2035,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CARUQUIA,2040,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CARUQUIA,2045,Menores,ANT-CHO,RunofRiver,9.5,853.009,9006
CC_FLORES4,2020,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4,2025,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4,2030,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4,2035,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4,2040,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4,2045,Thermal,ATLANTICO,flores_gas,450,40437.3,426150
CC_FLORES4_FO2,2020,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CC_FLORES4_FO2,2025,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CC_FLORES4_FO2,2030,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CC_FLORES4_FO2,2035,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CC_FLORES4_FO2,2040,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CC_FLORES4_FO2,2045,Thermal,ATLANTICO,flores_fo2,450,40469,425700
CHIVOR,2020,Hidro,BOG-CUN,Water,1000,90071.7,944000
CHIVOR,2025,Hidro,BOG-CUN,Water,1000,90071.7,944000
CHIVOR,2030,Hidro,BOG-CUN,Water,1000,90071.7,944000
CHIVOR,2035,Hidro,BOG-CUN,Water,1000,90071.7,944000
CHIVOR,2040,Hidro,BOG-CUN,Water,1000,90071.7,944000
CHIVOR,2045,Hidro,BOG-CUN,Water,1000,90071.7,944000
CIMARRON,2020,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
CIMARRON,2025,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
CIMARRON,2030,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
CIMARRON,2035,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
CIMARRON,2040,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
CIMARRON,2045,Thermal,BOY-CAS,barranquilla_gas,19.9,1795.23,18745.8
COG_COLTEJER,2020,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_COLTEJER,2025,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_COLTEJER,2030,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_COLTEJER,2035,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_COLTEJER,2040,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_COLTEJER,2045,Auto-Cog,ANT-CHO,NONE,9.4,6.21291,347.8
COG_INCAUCA,2020,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_INCAUCA,2025,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_INCAUCA,2030,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_INCAUCA,2035,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_INCAUCA,2040,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_INCAUCA,2045,Auto-Cog,CAUCA,NONE,10,7.03136,370
COG_MANUELIT,2020,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MANUELIT,2025,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MANUELIT,2030,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MANUELIT,2035,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MANUELIT,2040,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MANUELIT,2045,Auto-Cog,VALLE,NONE,3.5,0.861341,129.5
COG_MAYAGUEZ,2020,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_MAYAGUEZ,2025,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_MAYAGUEZ,2030,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_MAYAGUEZ,2035,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_MAYAGUEZ,2040,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_MAYAGUEZ,2045,Auto-Cog,VALLE,NONE,19.9,27.8449,736.3
COG_PROENCA,2020,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROENCA,2025,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROENCA,2030,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROENCA,2035,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROENCA,2040,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROENCA,2045,Auto-Cog,CAUCA,NONE,19.9,27.8449,736.3
COG_PROVIDEN,2020,Auto-Cog,VALLE,NONE,14,13.7815,518
