PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,AvailableReserveCapacity
system-planning,1,19257.949999999997
system-planning,2,19257.949999999997
system-planning,3,19257.949999999997
system-planning,4,19257.949999999997
system-planning,5,19257.949999999997
system-planning,6,19257.949999999997
system-planning,7,19257.949999999997
system-planning,8,19257.949999999997
system-planning,9,19257.949999999997
system-planning,10,19257.949999999997
system-planning,11,19257.949999999997
system-planning,12,19257.949999999997
system-planning,13,19257.949999999997
system-planning,14,19257.949999999997
system-planning,15,19257.949999999997
system-planning,16,19257.949999999997
system-planning,17,19257.949999999997
system-planning,18,19257.949999999997
system-planning,19,19257.949999999997
system-planning,20,19257.949999999997
system-planning,21,19257.949999999997
system-planning,22,19257.949999999997
system-planning,23,19257.949999999997
system-planning,24,19257.949999999997
system-planning,25,19257.949999999997
system-planning,26,19257.949999999997
system-planning,27,19257.949999999997
system-planning,28,19257.949999999997
system-planning,29,19257.949999999997
system-planning,30,19257.949999999997
system-planning,31,19257.949999999997
system-planning,32,19257.949999999997
system-planning,33,19257.949999999997
system-planning,34,19257.949999999997
system-planning,35,19257.949999999997
system-planning,36,19257.949999999997
system-planning,37,19257.949999999997
system-planning,38,19257.949999999997
system-planning,39,19257.949999999997
system-planning,40,19257.949999999997
system-planning,41,19257.949999999997
system-planning,42,19257.949999999997
system-planning,43,19257.949999999997
system-planning,44,19257.949999999997
system-planning,45,19257.949999999997
system-planning,46,19257.949999999997
system-planning,47,19257.949999999997
system-planning,48,19257.949999999997
system-planning,49,19257.949999999997
system-planning,50,19257.949999999997
system-planning,51,19257.949999999997
system-planning,52,19257.949999999997
system-planning,53,19257.949999999997
system-planning,54,19257.949999999997
system-planning,55,19257.949999999997
system-planning,56,19257.949999999997
system-planning,57,19257.949999999997
system-planning,58,19257.949999999997
system-planning,59,19257.949999999997
system-planning,60,19257.949999999997
system-planning,61,19257.949999999997
system-planning,62,19257.949999999997
system-planning,63,19257.949999999997
system-planning,64,19257.949999999997
system-planning,65,19257.949999999997
system-planning,66,19257.949999999997
system-planning,67,19257.949999999997
system-planning,68,19257.949999999997
system-planning,69,19257.949999999997
system-planning,70,19257.949999999997
system-planning,71,19257.949999999997
system-planning,72,19257.949999999997
system-planning,73,19257.949999999997
system-planning,74,19257.949999999997
system-planning,75,19257.949999999997
system-planning,76,19257.949999999997
system-planning,77,19257.949999999997
system-planning,78,19257.949999999997
system-planning,79,19257.949999999997
system-planning,80,19257.949999999997
system-planning,81,19257.949999999997
system-planning,82,19257.949999999997
system-planning,83,19257.949999999997
system-planning,84,19257.949999999997
system-planning,85,19257.949999999997
system-planning,86,19257.949999999997
system-planning,87,19257.949999999997
system-planning,88,19257.949999999997
system-planning,89,19257.949999999997
system-planning,90,19257.949999999997
system-planning,91,19257.949999999997
system-planning,92,19257.949999999997
system-planning,93,19257.949999999997
system-planning,94,19257.949999999997
system-planning,95,19257.949999999997
system-planning,96,19257.949999999997
system-planning,97,19607.949999999997
system-planning,98,19607.949999999997
system-planning,99,19607.949999999997
system-planning,100,19607.949999999997
system-planning,101,19607.949999999997
system-planning,102,19607.949999999997
system-planning,103,19607.949999999997
system-planning,104,19607.949999999997
system-planning,105,19607.949999999997
system-planning,106,19607.949999999997
system-planning,107,19607.949999999997
system-planning,108,19607.949999999997
system-planning,109,19607.949999999997
system-planning,110,19607.949999999997
system-planning,111,19607.949999999997
system-planning,112,19607.949999999997
system-planning,113,19607.949999999997
system-planning,114,19607.949999999997
system-planning,115,19607.949999999997
system-planning,116,19607.949999999997
system-planning,117,19607.949999999997
system-planning,118,19607.949999999997
system-planning,119,19607.949999999997
system-planning,120,19607.949999999997
system-planning,121,19607.949999999997
system-planning,122,19607.949999999997
system-planning,123,19607.949999999997
system-planning,124,19607.949999999997
system-planning,125,19607.949999999997
system-planning,126,19607.949999999997
system-planning,127,19607.949999999997
system-planning,128,19607.949999999997
system-planning,129,19607.949999999997
system-planning,130,19607.949999999997
system-planning,131,19607.949999999997
system-planning,132,19607.949999999997
system-planning,133,19607.949999999997
system-planning,134,19607.949999999997
system-planning,135,19607.949999999997
system-planning,136,19607.949999999997
system-planning,137,19607.949999999997
system-planning,138,19607.949999999997
system-planning,139,19607.949999999997
system-planning,140,19607.949999999997
system-planning,141,19607.949999999997
system-planning,142,19607.949999999997
system-planning,143,19607.949999999997
system-planning,144,19607.949999999997
system-planning,145,19607.949999999997
system-planning,146,19607.949999999997
system-planning,147,19607.949999999997
system-planning,148,19607.949999999997
system-planning,149,19607.949999999997
system-planning,150,19607.949999999997
system-planning,151,19607.949999999997
system-planning,152,19607.949999999997
system-planning,153,19607.949999999997
system-planning,154,19607.949999999997
system-planning,155,19607.949999999997
system-planning,156,19607.949999999997
system-planning,157,19607.949999999997
system-planning,158,19607.949999999997
system-planning,159,19607.949999999997
system-planning,160,19607.949999999997
system-planning,161,19607.949999999997
system-planning,162,19607.949999999997
system-planning,163,19607.949999999997
system-planning,164,19607.949999999997
system-planning,165,19607.949999999997
system-planning,166,19607.949999999997
system-planning,167,19607.949999999997
system-planning,168,19607.949999999997
system-planning,169,19607.949999999997
system-planning,170,19607.949999999997
system-planning,171,19607.949999999997
system-planning,172,19607.949999999997
system-planning,173,19607.949999999997
system-planning,174,19607.949999999997
system-planning,175,19607.949999999997
system-planning,176,19607.949999999997
system-planning,177,19607.949999999997
system-planning,178,19607.949999999997
system-planning,179,19607.949999999997
system-planning,180,19607.949999999997
system-planning,181,19607.949999999997
system-planning,182,19607.949999999997
system-planning,183,19607.949999999997
system-planning,184,19607.949999999997
system-planning,185,19607.949999999997
system-planning,186,19607.949999999997
system-planning,187,19607.949999999997
system-planning,188,19607.949999999997
system-planning,189,19607.949999999997
system-planning,190,19607.949999999997
system-planning,191,19607.949999999997
system-planning,192,19607.949999999997
system-planning,193,19677.949999999997
system-planning,194,19677.949999999997
system-planning,195,19677.949999999997
system-planning,196,19677.949999999997
system-planning,197,19677.949999999997
system-planning,198,19677.949999999997
system-planning,199,19677.949999999997
system-planning,200,19677.949999999997
system-planning,201,19677.949999999997
system-planning,202,19677.949999999997
system-planning,203,19677.949999999997
system-planning,204,19677.949999999997
system-planning,205,19677.949999999997
system-planning,206,19677.949999999997
system-planning,207,19677.949999999997
system-planning,208,19677.949999999997
system-planning,209,19677.949999999997
system-planning,210,19677.949999999997
system-planning,211,19677.949999999997
system-planning,212,19677.949999999997
