PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,1,8298.589609125
system-planning,2,7952.815041344999
system-planning,3,7705.833207763499
system-planning,4,8199.796875087499
system-planning,5,8563.601116244998
system-planning,6,8888.678605944999
system-planning,7,9187.724209885
system-planning,8,10136.603715755
system-planning,9,10916.597044759998
system-planning,10,11098.499165079998
system-planning,11,11455.955973474998
system-planning,12,11287.069795689999
system-planning,13,11033.419452634998
system-planning,14,11156.910369419997
system-planning,15,11163.578878675
system-planning,16,10984.023085874996
system-planning,17,11163.578878675
system-planning,18,11911.192889445
system-planning,19,12885.783203490002
system-planning,20,12521.978961815
system-planning,21,11403.892203450001
system-planning,22,10292.473951465
system-planning,23,9057.564783844999
system-planning,24,8440.11019946
system-planning,25,8415.186819054998
system-planning,26,8064.554034690999
system-planning,27,7814.102046611999
system-planning,28,8315.006023805
system-planning,29,8683.921802845001
system-planning,30,9013.566710514999
system-planning,31,9316.813977569998
system-planning,32,10279.02547369
system-planning,33,11069.977898584999
system-planning,34,11254.435789024998
system-planning,35,11616.914952054998
system-planning,36,11445.655881635
system-planning,37,11188.441689270001
system-planning,38,11313.667683734999
system-planning,39,11320.429887399998
system-planning,40,11138.3512913
system-planning,41,11320.429887399998
system-planning,42,12078.548056475
system-planning,43,13066.831603485001
system-planning,44,12697.915824904998
system-planning,45,11564.119672665
system-planning,46,10437.085723975
system-planning,47,9184.825779555
system-planning,48,8558.695808609998
system-planning,49,8408.25482939
system-planning,50,8057.910878623499
system-planning,51,7807.665199141499
system-planning,52,8308.156558485
system-planning,53,8676.768443815
system-planning,54,9006.141807045
system-planning,55,9309.139275239999
system-planning,56,10270.558151569998
system-planning,57,11060.859032234997
system-planning,58,11245.164975360001
system-planning,59,11607.345546524999
system-planning,60,11436.227550974998
system-planning,61,11179.225238519999
system-planning,62,11304.348078444998
system-planning,63,11311.1047122
system-planning,64,11129.176102894999
system-planning,65,11311.1047122
system-planning,66,12068.598383319999
system-planning,67,13056.06783452
system-planning,68,12687.455948499997
system-planning,69,11554.59375726
system-planning,70,10428.48819989
system-planning,71,9177.259802825
system-planning,72,8551.645604349998
system-planning,73,8273.12794132
system-planning,74,7928.4142773705
system-planning,75,7682.190231148499
system-planning,76,8174.6383223505
system-planning,77,8537.326342434999
system-planning,78,8861.406431154997
system-planning,79,9159.534506099999
system-planning,80,10105.502668175
system-planning,81,10883.10282763
system-planning,82,11064.446837770001
system-planning,83,11420.806898294999
system-planning,84,11252.438896134996
system-planning,85,10999.566801550001
system-planning,86,11122.67882473
system-planning,87,11129.326874104998
system-planning,88,10950.321991565
system-planning,89,11129.326874104998
system-planning,90,11874.647061524998
system-planning,91,12846.247144994997
system-planning,92,12483.559125059997
system-planning,93,11368.902869595
system-planning,94,10260.894663849998
system-planning,95,9029.77443389
system-planning,96,8414.214319485
system-planning,97,9021.92898991
system-planning,98,8646.015282274999
system-planning,99,8377.505489874999
system-planning,100,8914.525073525
system-planning,101,9310.039995719999
system-planning,102,9663.45258313
system-planning,103,9988.564239445
system-planning,104,11020.152006364999
system-planning,105,11868.132777964998
system-planning,106,12065.890238889997
system-planning,107,12454.504460045
system-planning,108,12270.897464724998
system-planning,109,11995.137909254998
system-planning,110,12129.392804535
system-planning,111,12136.642569560001
system-planning,112,11941.435950314999
system-planning,113,12136.642569560001
system-planning,114,12949.421708104997
system-planning,115,14008.961344665
system-planning,116,13613.446421664998
system-planning,117,12397.902596129998
system-planning,118,11189.608535275001
system-planning,119,9847.059577875001
system-planning,120,9175.785100669998
system-planning,121,9134.015999774998
system-planning,122,8753.431998850001
system-planning,123,8481.5862853
system-planning,124,9025.277714009999
system-planning,125,9425.70645085
system-planning,126,9783.509779659998
system-planning,127,10112.660571085
system-planning,128,11157.064619724999
system-planning,129,12015.580571455
system-planning,130,12215.794938494999
system-planning,131,12609.237241104998
system-planning,132,12423.349142125002
system-planning,133,12144.16359233
system-planning,134,12280.08645083
system-planning,135,12287.426283739997
system-planning,136,12089.794451345
system-planning,137,12287.426283739997
system-planning,138,13110.303262360001
system-planning,139,14183.006450394998
system-planning,140,13782.577712404996
system-planning,141,12551.932165299997
system-planning,142,11328.626450875
system-planning,143,9969.397879444998
system-planning,144,9289.78359327
system-planning,145,9123.561897865
system-planning,146,8743.413485085
system-planning,147,8471.878904840001
system-planning,148,9014.948065214998
system-planning,149,9414.918502675
system-planning,150,9772.312317289998
system-planning,151,10101.086385964998
system-planning,152,11144.295091484999
system-planning,153,12001.828448945002
system-planning,154,12201.813667215
system-planning,155,12594.805664439999
system-planning,156,12409.13031845
system-planning,157,12130.264306045001
system-planning,158,12266.031595764998
system-planning,159,12273.36302896
system-planning,160,12075.957388914996
system-planning,161,12273.36302896
system-planning,162,13095.298204499997
system-planning,163,14166.77365748
system-planning,164,13766.803221055
system-planning,165,12537.566176125
system-planning,166,11315.660564275
system-planning,167,9957.987663279999
system-planning,168,9279.151211689998
system-planning,169,8982.970919805
system-planning,170,8608.680464770001
system-planning,171,8341.330139859998
system-planning,172,8876.030789334998
system-planning,173,9269.83781801
system-planning,174,9621.724315399999
system-planning,175,9945.432090125
system-planning,176,10972.565302949999
system-planning,177,11816.884365414999
system-planning,178,12013.787879349999
system-planning,179,12400.724004749998
system-planning,180,12217.909852320001
system-planning,181,11943.341068605
system-planning,182,12077.01623037
system-planning,183,12084.23468975
system-planning,184,11889.871003944998
system-planning,185,12084.23468975
system-planning,186,12893.504123399998
system-planning,187,13948.46850451
system-planning,188,13554.661477214999
system-planning,189,12344.36655551
system-planning,190,11141.290093529999
system-planning,191,9804.538468174998
system-planning,192,9136.162656015
system-planning,193,9676.842252319999
system-planning,194,9273.64049219
system-planning,195,8985.63923456
system-planning,196,9561.641750049997
system-planning,197,9985.86760134
system-planning,198,10364.934857145
system-planning,199,10713.64678034
system-planning,200,11820.118811485
system-planning,201,12729.655582714997
system-planning,202,12941.76850859
system-planning,203,13358.592729765
system-planning,204,13161.657469159998
system-planning,205,12865.880177639996
system-planning,206,13009.880805994999
system-planning,207,13017.656840689999
system-planning,208,12808.279926504998
system-planning,209,13017.656840689999
system-planning,210,13889.436646205
system-planning,211,15025.889609175
system-planning,212,14601.663755354999
system-planning,213,13297.882064084997
system-planning,214,12001.876405669998
system-planning,215,10561.870117635002
system-planning,216,9841.866973559998
system-planning,217,9797.395392559998
system-planning,218,9389.170584574998
system-planning,219,9097.581436079998
system-planning,220,9680.759733185
system-planning,221,10110.270548509998
system-planning,222,10494.06018674
system-planning,223,10847.116327509999
system-planning,224,11967.372677599998
system-planning,225,12888.240367895
system-planning,226,13102.995774809999
system-planning,227,13525.012750490001
system-planning,228,13325.624090464999
system-planning,229,13026.162033805
system-planning,230,13171.956609949997
system-planning,231,13179.829515814996
system-planning,232,12967.844203370001
system-planning,233,13179.829515814996
system-planning,234,14062.469869004997
system-planning,235,15213.080649529995
system-planning,236,14783.569833054999
system-planning,237,13463.545757639999
system-planning,238,12151.394588434998
system-planning,239,10693.44884573
system-planning,240,9964.47597524
system-planning,241,9778.450662399999
system-planning,242,9371.015217864999
system-planning,243,9079.989901489998
system-planning,244,9662.040535734997
system-planning,245,10090.72082796
system-planning,246,10473.768349569998
system-planning,247,10826.141804109997
system-planning,248,11944.231970615
system-planning,249,12863.319025519999
system-planning,250,13077.659172149999
system-planning,251,13498.860114269999
system-planning,252,13299.857002095
system-planning,253,13000.974001369997
system-planning,254,13146.4866595
system-planning,255,13154.344343734996
system-planning,256,12942.768937865
system-planning,257,13154.344343734996
system-planning,258,14035.277979279997
system-planning,259,15183.663882059996
system-planning,260,14754.983587765
system-planning,261,13437.511976334998
system-planning,262,12127.898048564999
system-planning,263,10672.771461974999
system-planning,264,9945.20817006
system-planning,265,9635.609664605
system-planning,266,9234.125927885
system-planning,267,8947.351831575
system-planning,268,9520.900024999997
system-planning,269,9943.318270984999
system-planning,270,10320.77033753
system-planning,271,10667.99641323
system-planning,272,11769.753818585
system-planning,273,12675.4150943
system-planning,274,12886.624217005003
system-planning,275,13301.672366105
system-planning,276,13105.576239914999
system-planning,277,12811.059243515
system-planning,278,12954.446290175
system-planning,279,12962.189192794998
system-planning,280,12753.704422044999
system-planning,281,12962.189192794998
system-planning,282,13830.254384115002
system-planning,283,14961.86497067
system-planning,284,14539.446725604997
system-planning,285,13241.220387749996
system-planning,286,11950.736950789997
system-planning,287,10516.866464985
system-planning,288,9799.931221679997
system-planning,289,10338.341150499999
system-planning,290,9907.576936029998
system-planning,291,9599.888211079997
system-planning,292,10215.26566075
system-planning,293,10668.491152659999
system-planning,294,11073.471051185
system-planning,295,11446.020559629998
system-planning,296,12628.129871664998
system-planning,297,13599.841632094998
system-planning,298,13826.454377705
system-planning,299,14271.772270549998
system-planning,300,14061.374718715
system-planning,301,13745.378399514997
system-planning,302,13899.222762565
system-planning,303,13907.530356815001
system-planning,304,13683.840654179998
system-planning,305,13907.530356815001
system-planning,306,14838.904126604997
system-planning,307,16053.04383503
system-planning,308,15599.818343809999
system-planning,309,14206.911487169999
system-planning,310,12822.312225354997
system-planning,311,11283.868600604996
system-planning,312,10514.646790185001
system-planning,313,10371.892955834997
system-planning,314,9939.73074904
system-planning,315,9631.043459195002
system-planning,316,10248.418039229999
system-planning,317,10703.114417595
system-planning,318,11109.408628924999
system-planning,319,11483.167200795
system-planning,320,12669.112901904999
system-planning,321,13643.978231434998
system-planning,322,13871.326422055
system-planning,323,14318.08953669
system-planning,324,14107.009168444998
system-planning,325,13789.98732053
system-planning,326,13944.330965854999
system-planning,327,13952.665523464999
system-planning,328,13728.249862744999
system-planning,329,13952.665523464999
system-planning,330,14887.061951644999
system-planning,331,16105.141999254998
system-planning,332,15650.445621004998
system-planning,333,14253.018256504998
system-planning,334,12863.925451339996
system-planning,335,11320.488999010002
system-planning,336,10548.770773189997
system-planning,337,10344.86098787
system-planning,338,9913.82511304
system-planning,339,9605.942345025001
system-planning,340,10221.707879904998
system-planning,341,10675.219195804999
system-planning,342,11080.454495299999
system-planning,343,11453.23894932
system-planning,344,12636.093755064998
system-planning,345,13608.418322204998
system-planning,346,13835.173979579999
system-planning,347,14280.77271059
system-planning,348,14070.242474055
system-planning,349,13754.046871929999
system-planning,350,13907.988254959999
system-planning,351,13916.301089874998
system-planning,352,13692.470318235
system-planning,353,13916.301089874998
system-planning,354,14848.262226649998
system-planning,355,16063.167626694998
system-planning,356,15609.656311255
system-planning,357,14215.871022285
