PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,73706588.98741123,21727882.540060457
2025,TotalGenFixedCosts,annual,58344912.34459352,21951316.85605361
2030,TotalGenFixedCosts,annual,46071152.45207936,22122446.74750254
2035,TotalGenFixedCosts,annual,36366194.64055177,22286836.984053403
2040,TotalGenFixedCosts,annual,28622692.29530686,22387600.823342156
2045,TotalGenFixedCosts,annual,22551132.043949496,22511887.833815817
2020,GenVariableOMCostsInTP,timepoint,1241390837.392875,365948209.946149
2020,FuelCostsPerTP,timepoint,1103660602.1916568,325346868.68508357
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,GenVariableOMCostsInTP,timepoint,937896721.377278,352868267.0326136
2025,FuelCostsPerTP,timepoint,781308573.0406418,293954543.07774776
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,GenVariableOMCostsInTP,timepoint,597020834.3145131,286677474.109425
2030,FuelCostsPerTP,timepoint,582795705.2319458,279846851.39095116
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,544580377.5923716,333743308.0386572
2035,FuelCostsPerTP,timepoint,530005435.50031173,324811129.0832176
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,GenVariableOMCostsInTP,timepoint,381373453.4722967,298296070.574646
2040,FuelCostsPerTP,timepoint,454618160.57004577,355585344.69355506
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,GenVariableOMCostsInTP,timepoint,397678517.18934155,396986464.15786564
2045,FuelCostsPerTP,timepoint,505735166.2707427,504855069.5599239
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
