load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
SANT-ARA,20_Q1_0,294.125,0,85.9898,380.115
SANT-ARA,20_Q1_1,291.232,0,73.0453,364.277
SANT-ARA,20_Q1_2,789.199,0,-436.235,352.964
SANT-ARA,20_Q1_3,786.755,0,-411.165,375.59
SANT-ARA,20_Q1_4,285.957,0,106.297,392.254
SANT-ARA,20_Q1_5,284.739,0,122.405,407.144
SANT-ARA,20_Q1_6,303.209,0,117.633,420.842
SANT-ARA,20_Q1_7,595.25,0,-130.945,464.305
SANT-ARA,20_Q1_8,901.561,0,-401.528,500.032
SANT-ARA,20_Q1_9,928.375,0,-420.011,508.364
SANT-ARA,20_Q1_10,446.062,0,78.6761,524.738
SANT-ARA,20_Q1_11,451.208,0,65.7936,517.002
SANT-ARA,20_Q1_12,450.178,0,55.2058,505.384
SANT-ARA,20_Q1_13,442.348,0,68.6921,511.04
SANT-ARA,20_Q1_14,425.986,0,85.3594,511.345
SANT-ARA,20_Q1_15,829.813,0,-326.692,503.121
SANT-ARA,20_Q1_16,790.251,0,-278.906,511.345
SANT-ARA,20_Q1_17,738.522,0,-192.933,545.59
SANT-ARA,20_Q1_18,792.992,0,-202.761,590.231
SANT-ARA,20_Q1_19,794.078,0,-220.512,573.567
SANT-ARA,20_Q1_20,294.054,0,228.299,522.353
SANT-ARA,20_Q1_21,294.343,0,177.102,471.445
SANT-ARA,20_Q1_22,292.532,0,122.348,414.88
SANT-ARA,20_Q1_23,289.455,0,97.1429,386.598
SANT-ARA,20_Q2_0,287.492,0,97.964,385.456
SANT-ARA,20_Q2_1,288.104,0,81.2917,369.395
SANT-ARA,20_Q2_2,286.836,0,71.0875,357.923
SANT-ARA,20_Q2_3,286.606,0,94.2612,380.867
SANT-ARA,20_Q2_4,700.586,0,-302.82,397.765
SANT-ARA,20_Q2_5,700.042,0,-287.177,412.865
SANT-ARA,20_Q2_6,802.157,0,-375.402,426.755
SANT-ARA,20_Q2_7,360.795,0,110.034,470.829
SANT-ARA,20_Q2_8,409.192,0,97.8656,507.058
SANT-ARA,20_Q2_9,437.31,0,78.1971,515.507
SANT-ARA,20_Q2_10,447.4,0,84.7101,532.11
SANT-ARA,20_Q2_11,450.293,0,73.9729,524.266
SANT-ARA,20_Q2_12,446.962,0,65.5225,512.484
SANT-ARA,20_Q2_13,437.705,0,80.5149,518.22
SANT-ARA,20_Q2_14,421.778,0,96.7523,518.53
SANT-ARA,20_Q2_15,392.761,0,117.429,510.19
SANT-ARA,20_Q2_16,848.248,0,-329.718,518.53
SANT-ARA,20_Q2_17,798.448,0,-245.193,553.255
SANT-ARA,20_Q2_18,729.208,0,-130.685,598.524
SANT-ARA,20_Q2_19,729.875,0,-148.249,581.625
SANT-ARA,20_Q2_20,727.649,0,-197.957,529.692
SANT-ARA,20_Q2_21,725.69,0,-247.622,478.069
SANT-ARA,20_Q2_22,724.466,0,-303.757,420.709
SANT-ARA,20_Q2_23,276.432,0,115.598,392.029
SANT-ARA,20_Q3_0,776.974,0,-391.836,385.138
SANT-ARA,20_Q3_1,774.648,0,-405.557,369.091
SANT-ARA,20_Q3_2,719.157,0,-361.529,357.628
SANT-ARA,20_Q3_3,720.341,0,-339.788,380.553
SANT-ARA,20_Q3_4,384.697,0,12.7409,397.438
SANT-ARA,20_Q3_5,383.039,0,29.4855,412.524
SANT-ARA,20_Q3_6,400.45,0,25.9533,426.403
SANT-ARA,20_Q3_7,454.175,0,16.2661,470.441
SANT-ARA,20_Q3_8,397.729,0,108.911,506.64
SANT-ARA,20_Q3_9,423.246,0,91.836,515.082
SANT-ARA,20_Q3_10,437.254,0,94.4177,531.672
SANT-ARA,20_Q3_11,480.889,0,42.9446,523.834
SANT-ARA,20_Q3_12,442.12,0,69.9419,512.062
SANT-ARA,20_Q3_13,432.989,0,84.8048,517.793
SANT-ARA,20_Q3_14,529.564,0,-11.4615,518.103
SANT-ARA,20_Q3_15,390.371,0,119.399,509.77
SANT-ARA,20_Q3_16,350.81,0,167.293,518.103
SANT-ARA,20_Q3_17,302.747,0,250.053,552.8
SANT-ARA,20_Q3_18,292.884,0,305.146,598.03
SANT-ARA,20_Q3_19,784.006,0,-202.859,581.146
SANT-ARA,20_Q3_20,784.697,0,-255.442,529.256
SANT-ARA,20_Q3_21,782.645,0,-304.97,477.675
SANT-ARA,20_Q3_22,566.706,0,-146.343,420.362
SANT-ARA,20_Q3_23,776.497,0,-384.79,391.706
SANT-ARA,20_Q4_0,225.119,0,153.83,378.949
SANT-ARA,20_Q4_1,225.682,0,137.478,363.159
SANT-ARA,20_Q4_2,224.437,0,127.444,351.881
SANT-ARA,20_Q4_3,220.754,0,153.684,374.438
SANT-ARA,20_Q4_4,220.752,0,170.298,391.05
SANT-ARA,20_Q4_5,219.824,0,186.071,405.895
SANT-ARA,20_Q4_6,234.343,0,185.208,419.551
SANT-ARA,20_Q4_7,286.355,0,176.525,462.88
SANT-ARA,20_Q4_8,329.187,0,169.312,498.498
SANT-ARA,20_Q4_9,356.451,0,150.354,506.805
SANT-ARA,20_Q4_10,369.868,0,153.26,523.128
SANT-ARA,20_Q4_11,373.202,0,142.214,515.416
SANT-ARA,20_Q4_12,370.777,0,133.056,503.833
SANT-ARA,20_Q4_13,912.187,0,-402.715,509.472
SANT-ARA,20_Q4_14,895.82,0,-386.044,509.777
SANT-ARA,20_Q4_15,870.501,0,-368.924,501.577
SANT-ARA,20_Q4_16,834.41,0,-324.634,509.777
SANT-ARA,20_Q4_17,794.238,0,-250.323,543.916
SANT-ARA,20_Q4_18,428.249,0,160.17,588.42
SANT-ARA,20_Q4_19,425.966,0,145.841,571.807
SANT-ARA,20_Q4_20,421.878,0,98.872,520.75
SANT-ARA,20_Q4_21,226.551,0,243.448,469.998
SANT-ARA,20_Q4_22,220.717,0,192.89,413.607
SANT-ARA,20_Q4_23,215.332,0,170.08,385.411
SANT-ARA,25_Q1_0,289.309,0,123.938,413.248
SANT-ARA,25_Q1_1,289.717,0,106.312,396.029
SANT-ARA,25_Q1_2,290.253,0,93.4766,383.73
SANT-ARA,25_Q1_3,285.701,0,122.627,408.328
SANT-ARA,25_Q1_4,286.28,0,140.164,426.444
SANT-ARA,25_Q1_5,287.65,0,154.982,442.632
SANT-ARA,25_Q1_6,309.534,0,147.99,457.524
SANT-ARA,25_Q1_7,407.783,0,96.9924,504.776
SANT-ARA,25_Q1_8,593.21,0,-49.5926,543.617
SANT-ARA,25_Q1_9,633.365,0,-80.6899,552.676
SANT-ARA,25_Q1_10,648.916,0,-78.4396,570.476
SANT-ARA,25_Q1_11,658.254,0,-96.1884,562.066
SANT-ARA,25_Q1_12,1028.98,0,-479.543,549.435
SANT-ARA,25_Q1_13,1020.42,0,-464.84,555.584
SANT-ARA,25_Q1_14,1000.81,0,-444.898,555.916
SANT-ARA,25_Q1_15,965.297,0,-418.322,546.975
SANT-ARA,25_Q1_16,910.908,0,-354.992,555.916
SANT-ARA,25_Q1_17,840.943,0,-247.797,593.146
SANT-ARA,25_Q1_18,824.059,0,-182.382,641.678
SANT-ARA,25_Q1_19,823.085,0,-199.524,623.561
SANT-ARA,25_Q1_20,319.037,0,248.847,567.883
SANT-ARA,25_Q1_21,314.943,0,197.595,512.538
SANT-ARA,25_Q1_22,313.505,0,137.538,451.043
SANT-ARA,25_Q1_23,311.224,0,109.071,420.295
SANT-ARA,25_Q2_0,467.253,0,-48.8718,418.382
SANT-ARA,25_Q2_1,801.956,0,-401.007,400.949
SANT-ARA,25_Q2_2,673.917,0,-285.419,388.497
SANT-ARA,25_Q2_3,293.471,0,119.93,413.401
SANT-ARA,25_Q2_4,288.192,0,143.55,431.743
SANT-ARA,25_Q2_5,292.24,0,155.892,448.132
SANT-ARA,25_Q2_6,324.042,0,139.167,463.208
SANT-ARA,25_Q2_7,909.366,0,-398.319,511.047
SANT-ARA,25_Q2_8,981.151,0,-430.78,550.371
SANT-ARA,25_Q2_9,1019.59,0,-460.044,559.542
SANT-ARA,25_Q2_10,601.915,0,-24.3517,577.564
SANT-ARA,25_Q2_11,608.789,0,-39.74,569.049
SANT-ARA,25_Q2_12,608.302,0,-52.0413,556.261
SANT-ARA,25_Q2_13,532.842,0,29.6449,562.487
SANT-ARA,25_Q2_14,510.168,0,52.6548,562.823
SANT-ARA,25_Q2_15,472.258,0,81.5122,553.771
SANT-ARA,25_Q2_16,419.653,0,143.17,562.823
SANT-ARA,25_Q2_17,346.142,0,254.373,600.515
SANT-ARA,25_Q2_18,329.1,0,320.55,649.65
SANT-ARA,25_Q2_19,825.374,0,-194.066,631.308
SANT-ARA,25_Q2_20,820.702,0,-245.763,574.939
SANT-ARA,25_Q2_21,814.987,0,-296.082,518.905
SANT-ARA,25_Q2_22,471.707,0,-15.0606,456.646
SANT-ARA,25_Q2_23,471.55,0,-46.0334,425.517
SANT-ARA,25_Q3_0,478.359,0,-60.4558,417.903
SANT-ARA,25_Q3_1,476.358,0,-75.8679,400.49
SANT-ARA,25_Q3_2,360.203,0,27.8492,388.053
SANT-ARA,25_Q3_3,303.293,0,109.635,412.928
SANT-ARA,25_Q3_4,400.032,0,31.2159,431.248
SANT-ARA,25_Q3_5,304.481,0,143.138,447.619
SANT-ARA,25_Q3_6,329.788,0,132.89,462.678
SANT-ARA,25_Q3_7,904.659,0,-394.197,510.462
SANT-ARA,25_Q3_8,592.954,0,-43.2127,549.741
SANT-ARA,25_Q3_9,512.406,0,46.4953,558.902
SANT-ARA,25_Q3_10,795.586,0,-218.684,576.902
SANT-ARA,25_Q3_11,538.878,0,29.5199,568.398
SANT-ARA,25_Q3_12,534.953,0,20.6708,555.624
SANT-ARA,25_Q3_13,522.915,0,38.9279,561.843
SANT-ARA,25_Q3_14,1000.99,0,-438.808,562.179
SANT-ARA,25_Q3_15,673.329,0,-120.192,553.137
SANT-ARA,25_Q3_16,916.183,0,-354.004,562.179
SANT-ARA,25_Q3_17,845.361,0,-245.533,599.827
SANT-ARA,25_Q3_18,829.028,0,-180.122,648.906
SANT-ARA,25_Q3_19,827.035,0,-196.45,630.586
SANT-ARA,25_Q3_20,496.045,0,78.2354,574.281
SANT-ARA,25_Q3_21,489.172,0,29.1396,518.311
SANT-ARA,25_Q3_22,481.048,0,-24.9242,456.124
SANT-ARA,25_Q3_23,478.143,0,-53.1132,425.03
SANT-ARA,25_Q4_0,361.719,0,49.7442,411.463
SANT-ARA,25_Q4_1,245.233,0,149.086,394.319
SANT-ARA,25_Q4_2,243.851,0,138.222,382.073
SANT-ARA,25_Q4_3,243.695,0,162.869,406.565
SANT-ARA,25_Q4_4,244.167,0,180.436,424.603
SANT-ARA,25_Q4_5,246.998,0,193.723,440.721
SANT-ARA,25_Q4_6,267.892,0,187.656,455.548
SANT-ARA,25_Q4_7,343.543,0,159.053,502.596
SANT-ARA,25_Q4_8,682.151,0,-140.881,541.27
SANT-ARA,25_Q4_9,720.893,0,-170.604,550.289
SANT-ARA,25_Q4_10,738.047,0,-170.034,568.013
SANT-ARA,25_Q4_11,476.913,0,82.7254,559.639
SANT-ARA,25_Q4_12,479.791,0,67.2713,547.062
SANT-ARA,25_Q4_13,466.917,0,86.2682,553.185
SANT-ARA,25_Q4_14,445.642,0,107.874,553.516
SANT-ARA,25_Q4_15,403.623,0,140.99,544.613
SANT-ARA,25_Q4_16,347.156,0,206.36,553.516
SANT-ARA,25_Q4_17,284.069,0,306.516,590.584
SANT-ARA,25_Q4_18,821.36,0,-182.453,638.907
SANT-ARA,25_Q4_19,817.726,0,-196.857,620.868
SANT-ARA,25_Q4_20,815.117,0,-249.686,565.431
SANT-ARA,25_Q4_21,811.58,0,-301.255,510.324
SANT-ARA,25_Q4_22,364.208,0,84.8865,449.095
SANT-ARA,25_Q4_23,361.456,0,57.0238,418.48
SANT-ARA,30_Q1_0,377.155,0,66.0911,443.246
SANT-ARA,30_Q1_1,371.367,0,53.41,424.777
SANT-ARA,30_Q1_2,369.001,0,42.584,411.585
SANT-ARA,30_Q1_3,401.741,0,36.2285,437.969
SANT-ARA,30_Q1_4,859.968,0,-402.567,457.401
SANT-ARA,30_Q1_5,857.532,0,-382.768,474.764
SANT-ARA,30_Q1_6,393.488,0,97.2483,490.736
SANT-ARA,30_Q1_7,495.726,0,45.6918,541.418
SANT-ARA,30_Q1_8,581.19,0,1.88955,583.079
SANT-ARA,30_Q1_9,632.033,0,-39.2376,592.795
SANT-ARA,30_Q1_10,664.502,0,-52.6142,611.888
SANT-ARA,30_Q1_11,674.31,0,-71.443,602.867
SANT-ARA,30_Q1_12,672.521,0,-83.2019,589.319
SANT-ARA,30_Q1_13,657.704,0,-61.789,595.915
SANT-ARA,30_Q1_14,626.747,0,-30.4763,596.271
SANT-ARA,30_Q1_15,1071.9,0,-485.215,586.681
SANT-ARA,30_Q1_16,997.366,0,-401.095,596.271
SANT-ARA,30_Q1_17,899.284,0,-263.081,636.203
SANT-ARA,30_Q1_18,875.738,0,-187.48,688.258
SANT-ARA,30_Q1_19,877.911,0,-209.084,668.826
SANT-ARA,30_Q1_20,876.162,0,-267.056,609.107
SANT-ARA,30_Q1_21,876.739,0,-326.995,549.743
SANT-ARA,30_Q1_22,373.968,0,109.816,483.784
SANT-ARA,30_Q1_23,367.813,0,82.9917,450.805
SANT-ARA,30_Q2_0,863.038,0,-414.27,448.768
SANT-ARA,30_Q2_1,864.261,0,-434.192,430.069
SANT-ARA,30_Q2_2,542.665,0,-125.952,416.713
SANT-ARA,30_Q2_3,542.205,0,-98.7798,443.425
SANT-ARA,30_Q2_4,539.947,0,-76.8478,463.099
SANT-ARA,30_Q2_5,358.769,0,121.909,480.678
SANT-ARA,30_Q2_6,392.883,0,103.967,496.85
SANT-ARA,30_Q2_7,502.143,0,46.0197,548.163
SANT-ARA,30_Q2_8,594.13,0,-3.78647,590.343
SANT-ARA,30_Q2_9,647.655,0,-47.4753,600.18
SANT-ARA,30_Q2_10,1165.87,0,-546.361,619.51
SANT-ARA,30_Q2_11,1171.38,0,-561.004,610.377
SANT-ARA,30_Q2_12,665.87,0,-69.2098,596.661
SANT-ARA,30_Q2_13,648.304,0,-44.965,603.339
SANT-ARA,30_Q2_14,618.28,0,-14.5804,603.699
SANT-ARA,30_Q2_15,563.389,0,30.6,593.989
SANT-ARA,30_Q2_16,480.582,0,123.117,603.699
SANT-ARA,30_Q2_17,885.581,0,-241.452,644.129
SANT-ARA,30_Q2_18,857.685,0,-160.853,696.832
SANT-ARA,30_Q2_19,565.354,0,111.804,677.158
SANT-ARA,30_Q2_20,355.416,0,261.279,616.695
SANT-ARA,30_Q2_21,681.42,0,-124.828,556.592
SANT-ARA,30_Q2_22,349.05,0,140.761,489.811
SANT-ARA,30_Q2_23,820.823,0,-364.402,456.421
SANT-ARA,30_Q3_0,352.854,0,95.0458,447.9
SANT-ARA,30_Q3_1,348.202,0,81.0358,429.237
SANT-ARA,30_Q3_2,349.189,0,66.7185,415.907
SANT-ARA,30_Q3_3,844.707,0,-402.139,442.568
SANT-ARA,30_Q3_4,843.684,0,-381.481,462.203
SANT-ARA,30_Q3_5,487.896,0,-8.14694,479.749
SANT-ARA,30_Q3_6,873.424,0,-377.534,495.889
SANT-ARA,30_Q3_7,975.015,0,-427.912,547.103
SANT-ARA,30_Q3_8,1059.59,0,-470.389,589.202
SANT-ARA,30_Q3_9,1107.93,0,-508.914,599.019
SANT-ARA,30_Q3_10,641.337,0,-23.0243,618.313
SANT-ARA,30_Q3_11,651.533,0,-42.3353,609.197
SANT-ARA,30_Q3_12,650.868,0,-55.3606,595.507
SANT-ARA,30_Q3_13,633.578,0,-31.4062,602.172
SANT-ARA,30_Q3_14,602.788,0,-0.255588,602.532
SANT-ARA,30_Q3_15,553.143,0,39.6976,592.841
SANT-ARA,30_Q3_16,478.418,0,124.114,602.532
SANT-ARA,30_Q3_17,387.453,0,255.43,642.883
SANT-ARA,30_Q3_18,861.823,0,-166.338,695.485
SANT-ARA,30_Q3_19,857.765,0,-181.916,675.849
SANT-ARA,30_Q3_20,859.149,0,-243.646,615.502
SANT-ARA,30_Q3_21,443.016,0,112.5,555.516
SANT-ARA,30_Q3_22,353.515,0,135.349,488.864
SANT-ARA,30_Q3_23,351.899,0,103.639,455.538
SANT-ARA,30_Q4_0,291.142,0,150.215,441.357
SANT-ARA,30_Q4_1,292.268,0,130.7,422.967
SANT-ARA,30_Q4_2,289.778,0,120.054,409.832
SANT-ARA,30_Q4_3,753.013,0,-316.91,436.103
SANT-ARA,30_Q4_4,833.559,0,-378.107,455.452
SANT-ARA,30_Q4_5,506.356,0,-33.6153,472.741
SANT-ARA,30_Q4_6,308.005,0,180.641,488.645
SANT-ARA,30_Q4_7,406.421,0,132.69,539.111
SANT-ARA,30_Q4_8,487.66,0,92.9346,580.595
SANT-ARA,30_Q4_9,628.439,0,-38.1702,590.269
SANT-ARA,30_Q4_10,739.226,0,-129.946,609.28
SANT-ARA,30_Q4_11,745.487,0,-145.188,600.298
SANT-ARA,30_Q4_12,566.539,0,20.2689,586.808
SANT-ARA,30_Q4_13,548.125,0,45.2508,593.376
SANT-ARA,30_Q4_14,517.402,0,76.3286,593.73
SANT-ARA,30_Q4_15,469.94,0,114.24,584.181
SANT-ARA,30_Q4_16,402.149,0,191.581,593.73
SANT-ARA,30_Q4_17,877.427,0,-243.935,633.492
SANT-ARA,30_Q4_18,859.941,0,-174.616,685.325
SANT-ARA,30_Q4_19,855.375,0,-189.399,665.976
SANT-ARA,30_Q4_20,296.049,0,310.462,606.511
SANT-ARA,30_Q4_21,294.005,0,253.396,547.401
SANT-ARA,30_Q4_22,282.338,0,199.385,481.723
SANT-ARA,30_Q4_23,271.567,0,177.317,448.884
SANT-ARA,35_Q1_0,622.666,0,-149.121,473.546
SANT-ARA,35_Q1_1,623.346,0,-169.532,453.815
SANT-ARA,35_Q1_2,624.24,0,-184.519,439.721
SANT-ARA,35_Q1_3,616.652,0,-148.744,467.908
SANT-ARA,35_Q1_4,617.618,0,-128.95,488.668
SANT-ARA,35_Q1_5,569.926,0,-62.7084,507.218
SANT-ARA,35_Q1_6,653.319,0,-129.036,524.283
SANT-ARA,35_Q1_7,995.734,0,-417.305,578.429
