PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,73706588.98741123,21727882.540060457
2025,TotalGenFixedCosts,annual,58344912.34459352,21951316.85605361
2030,TotalGenFixedCosts,annual,46003911.34345209,22090158.9108482
2035,TotalGenFixedCosts,annual,36366194.64055177,22286836.984053403
2040,TotalGenFixedCosts,annual,28609358.520526543,22377171.642740615
2045,TotalGenFixedCosts,annual,22551132.043949496,22511887.833815817
2020,GenVariableOMCostsInTP,timepoint,51200622.68581417,15093374.02501874
2020,FuelCostsPerTP,timepoint,21267383.081868753,6269387.959551854
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,GenVariableOMCostsInTP,timepoint,44469314.093207516,16730850.468435463
2025,FuelCostsPerTP,timepoint,18643199.20668014,7014198.094588195
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,GenVariableOMCostsInTP,timepoint,0.0,0.0
2030,FuelCostsPerTP,timepoint,0.0,0.0
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,26812315.58751645,16431790.913796488
2035,FuelCostsPerTP,timepoint,12689874.722455982,7776925.028390744
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,GenVariableOMCostsInTP,timepoint,72851.98028791895,56982.0978770521
2040,FuelCostsPerTP,timepoint,327090.4684006242,255837.94718269282
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,GenVariableOMCostsInTP,timepoint,53771320.86190673,53677746.26835827
2045,FuelCostsPerTP,timepoint,33515018.000650212,33456694.081190724
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
