timestamp,AGUAFRESCA,ALEJANDRIA,ALTOANCHICAY,AMAIME,AMOYA,AUT_ARGOCGNA,AUT_ARGOYUMB,AUT_REFICAR,AUT_UNIBOL,AUT_YAGUARIT,BAJOANCHICAY,BARRANQUILLA3,BARRANQUILLA3_FO6,BARRANQUILLA4,BARRANQUILLA4_FO6,BARROSO,BETANIA,BIOG-TEQUENDAMA,BIOG_DJUANA,CALDERAS,CALIMA,CANA,CANDELARIA1,CANDELARIA1_FO2,CANDELARIA2,CANDELARIA2_FO2,CARTAGENA1,CARTAGENA1_FO6,CARTAGENA2,CARTAGENA2_FO6,CARTAGENA3,CARTAGENA3_FO6,CARUQUIA,CC_FLORES4,CC_FLORES4_FO2,CHIVOR,CIMARRON,COG_COLTEJER,COG_INCAUCA,COG_MANUELIT,COG_MAYAGUEZ,COG_PROENCA,COG_PROVIDEN,COG_RISARALD,CUCUANA,C_LLERAS_R,DARIO_VALENC,ELMORRO1,ELMORRO2,ELPOPAL,EL_QUIMBO,EMCALI,EMCALI_FO2,ESMERALDA,EXP_HID_1,FLORES1,FLORES1_FO2,GUADALUPE_3,GUADALUPE_4,GUAJIRA1,GUAJIRA1_CARBON,GUAJIRA2,GUAJIRA2_CARBON,GUANAQUITAS,GUATAPE,GUAVIO,HD-ANT-CHO,HD-ATLANTICO,HD-BOG-CUN,HD-BOLIVAR,HD-BOY-CAS,HD-CAUCA,HD-COR-SUC,HD-CQR,HD-GCM,HD-HTC,HD-MET-GUAV,HD-NAR-PUT,HD-NSANT,HD-SANT-ARA,HD-VALLE,INSULA,JAGUAS,LAGUN-LIMON,LA_GUACA,LA_TASAJERA,MEN_ANTIOQUIA,MEN_CAUCANAR,MEN_CHARQUITO,MEN_CQR,MEN_EMGESA,MEN_EPM,MEN_EPM_HERR,MEN_EPM_JEPI,MEN_EPM_VUEL,MEN_EPSA,MEN_HUILA,MEN_Magallo,MEN_NARPUT,MEN_NORDESTE,MEN_Naveta,MEN_TEQUEN,MEN_TOLIMA,MERILECTRICA,MIEL_I,MIEL_II,MONTANITAS,MORRO_AZUL,PAIPA1,PAIPA2,PAIPA3,PAIPA4,PAJARITO,PARAISO,PESCADERO,PLAYAS,PORCE_II,PORCE_III,PRADO,PRADO4,PROELECTRIC1,PROELECTRIC1_FO2,PROELECTRIC2,PROELECTRIC2_FO2,PROVIDENCIA,PV-ANT-CHO,PV-ATLANTICO,PV-BOG-CUN,PV-BOLIVAR,PV-BOY-CAS,PV-CAUCA,PV-COR-SUC,PV-CQR,PV-GCM,PV-HTC,PV-MET-GUAV,PV-NAR-PUT,PV-NSANT,PV-SANT-ARA,PV-VALLE,Purificacion,RIOGRANDE_1,SALTO_II,SALVAJINA,SAN_CARLOS,SAN_FRANCISCO,SNMIGUEL,SOGAMOSO,TASAJERO1,TASAJERO2,TC_GECELCA3,TC_GECELCA32,TEBSAB,TEBSAB_FO2,TERMOBOLIVAR,TERMOCENTRO,TERMOCENTRO_JA1,TERMODORADA1,TERMODORADA1_FO2,TERMONORTE,TERMOSIERRA,TERMOSIERRA_FO2,TERMOVALLE2,TERMOVALLE2_CPM2,TERMO_YOPAL1,TERMO_YOPAL2,TPIEDRAS,TRONERAS,TULUA_ALTO,TULUA_BAJO,TUNJITA,TermoCaribe1,TermoCaribe2,TermoSolo1,TermoSolo2,URRA,WN-ANT-CHO,WN-ATLANTICO,WN-BOG-CUN,WN-BOLIVAR,WN-BOY-CAS,WN-CAUCA,WN-COR-SUC,WN-CQR,WN-GCM,WN-HTC,WN-MET-GUAV,WN-NAR-PUT,WN-NSANT,WN-SANT-ARA,WN-VALLE,ZIPAEMG2,ZIPAEMG3,ZIPAEMG4,ZIPAEMG5,jaguey,pwcon3,rubiales
20_Q1_0,5.40849,11.1286,293.408,14.2223,22,6.435,6.435,6.435,0.715,1.04,45.2163,0,0,0,0,14.7639,527.364,1.4625,1.105,5,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,16,21,53.705,0,0,14.7639,163.398,0,0,29.346,299.004,0,0,74,182.446,0,0,0,0,7.0481,154,362.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,17.28,89,305.143,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,109,32,14.7639,14.7639,0,0,0,0,3.038,76,255,57,362.453,192,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,341,103.937,35.7,225,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,13,0,0,0,0,93,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,83.0292,0,0,0,0,0,0,0
20_Q1_1,5.40849,11.1286,274.614,14.2223,76.67,6.435,6.435,6.435,0.715,1.04,20,0,0,0,0,14.7639,148,1.4625,1.105,5,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,16,21,53.705,0,0,14.7639,109,0,0,8,97,0,0,74,182.446,0,0,0,0,7.0481,154,675.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,17.28,320.857,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,109,32,14.7639,14.7639,0,0,0,0,3.038,186.431,255,57,362.453,192,13,1.9,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,10,245.784,341,103.937,12,225,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,13,0,0,0,0,93,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,80.1355,0,0,0,0,0,0,0
20_Q1_2,5.40849,11.1286,274.614,14.2223,76.67,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,148,1.4625,1.105,19.4343,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,70.2,53.705,0,0,14.7639,109,0,0,29.346,97,0,0,74,61.977,0,0,0,0,7.0481,154,833.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,47,17.28,320.857,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,200.34,32,14.7639,14.7639,0,0,0,0,2.126,76,82,151.878,362.453,192,44.5648,1.9,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,78,341,37,12,225,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,9,0,0,0,0,93,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,78.9526,0,0,0,0,0,0,0
20_Q1_3,5.40849,11.1286,98,14.2223,76.67,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,148,1.4625,1.105,19.0909,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,70.2,142.02,0,0,14.7639,109,0,0,29.346,97,0,0,74,56,0,0,0,0,7.0481,154,833.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,17.28,89,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,200.34,114.824,14.7639,14.7639,0,0,0,0,3.038,76,82,151.878,362.453,192,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,224.16,341,37,12,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,9,0,0,0,0,93,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,76.5092,0,0,0,0,0,0,0
20_Q1_4,5.40849,11.1286,98,14.2223,76.67,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,148,1.4625,1.105,19.4343,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,70.2,142.02,0,0,14.7639,336.6,0,0,8,97,0,0,265.275,56,0,0,0,0,7.0481,154,833.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,151.16,5,89,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,213.371,114.824,14.7639,14.7639,0,0,0,0,3.038,76,82,151.878,111,397.852,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,10,245.784,341,37,12,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,13,0,0,0,0,93,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,74.8608,0,0,0,0,0,0,0
20_Q1_5,5.40849,11.1286,98,14.2223,22,6.435,6.435,6.435,0.715,1.04,20,0,0,0,0,14.7639,368.874,1.4625,1.105,19.4343,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,420.968,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,70.2,41,0,0,14.7639,122.677,0,0,29.346,97,0,0,74,61.977,0,0,0,0,7.0481,154,833.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,168.98,17.28,320.857,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,213.371,114.824,14.7639,14.7639,0,0,0,0,3.038,76,82,204.909,111,450.318,44.5648,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,341,103.937,39.6,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,18.032,14.7639,14.7639,13,0,0,0,0,93,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,73.6428,0,0,0,0,0,0,0
20_Q1_6,5.40849,11.1286,293.408,14.2223,22,6.435,6.435,6.435,0.715,1.04,20,0,0,0,0,14.7639,368.874,1.4625,1.105,5,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,275,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,33,21,41,0,0,14.7639,336.6,0,0,8,97,0,0,74,61.977,0,0,0,0,7.0481,243.303,833.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,5,320.857,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,213.371,32,14.7639,14.7639,0,0,0,0,3.038,272.412,82,57,111,450.318,44.5648,3.1,0,0,0,0,3.63533,16.4994,16.4994,0,16.4994,16.4994,16.4994,16.4994,16.4994,16.4994,16.4994,9.16636,16.4994,16.4994,16.4994,16.4994,0,5,29.75,78,341,103.937,39.6,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,39.552,14.7639,14.7639,13,0,0,0,0,93,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,75.6131,0,0,0,0,0,0,0
20_Q1_7,5.40849,11.1286,293.408,14.2223,22,6.435,6.435,6.435,0.715,1.04,72.668,0,0,0,0,14.7639,357.935,1.4625,1.105,5,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,990.7,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,33,21,41,0,0,14.7639,109,0,0,8,97,0,0,74,61.977,0,0,0,0,7.0481,243.303,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,47,5,89,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,213.371,32,14.7639,14.7639,0,0,0,0,3.038,272.412,255,57,226.443,450.318,44.5648,3.1,0,0,0,0,3.63533,69.7731,69.7731,0,69.7731,69.7731,69.7731,69.7731,69.7731,69.7731,69.7731,38.7628,69.7731,69.7731,69.7731,69.7731,0,11.78,10,78,341,103.937,39.6,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,39.552,14.7639,14.7639,13,0,0,0,0,93,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,76.4182,0,0,0,0,0,0,0
20_Q1_8,5.40849,11.1286,293.408,14.2223,79.064,6.435,6.435,6.435,0.715,1.04,20,0,0,0,0,14.7639,368.874,1.4625,1.105,5,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,559.95,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,51,21,41,0,0,14.7639,109,0,0,8,99.4876,0,0,265.275,182.446,0,0,0,0,7.0481,243.303,676.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,47,5,89,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,109,32,14.7639,14.7639,0,0,0,0,3.038,272.412,82,204.909,226.443,450.318,44.5648,3.1,0,0,0,0,3.63533,112.822,112.822,0,112.822,112.822,112.822,112.822,112.822,112.822,112.822,62.6789,112.822,112.822,112.822,112.822,0,11.78,10,78,341,103.937,12,696.15,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,11,14.7639,14.7639,13,0,0,0,0,93,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,78.4927,0,0,0,0,0,0,0
20_Q1_9,5.40849,11.1286,293.408,14.2223,22,6.435,6.435,6.435,0.715,1.04,20,0,0,0,0,14.7639,368.874,1.4625,1.105,5,36,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,725.202,0,6.11,6.5,2.275,12.935,12.935,9.1,9.75,16,21,41,0,0,14.7639,109,0,0,8,99.4876,0,0,172.9,56,0,0,0,0,7.0481,243.303,1197.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.575,47,5,89,84,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,109,32,14.7639,14.7639,0,0,0,0,3.038,272.412,177,204.909,226.443,192,44.5648,3.1,0,0,0,0,3.63533,137.891,137.891,0,137.891,137.891,137.891,137.891,137.891,137.891,137.891,76.6063,137.891,137.891,137.891,137.891,0,9.575,10,78,341,103.937,12,345.209,62.5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4375,39.552,14.7639,14.7639,5,0,0,0,0,93,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,80.2375,0,0,0,0,0,0,0
