gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Auto-Cog,ANT-CHO,NONE,2020,40.16469599999993,0.0,0.0
Auto-Cog,ANT-CHO,NONE,2025,26.77646399999997,0.0,0.0
Auto-Cog,ANT-CHO,NONE,2030,0.0,0.0,0.0
Auto-Cog,ANT-CHO,NONE,2035,13.388232,0.0,0.0
Auto-Cog,ANT-CHO,NONE,2040,1.115686,0.0,0.0
Auto-Cog,ANT-CHO,NONE,2045,20.08234799999999,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2020,4.700123999999997,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2025,3.133415999999998,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2030,0.0,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2035,1.5667079999999998,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2040,0.130559,0.0,0.0
Auto-Cog,ATLANTICO,NONE,2045,1.7625464999999996,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2020,7.263827999999991,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2025,4.8425519999999995,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2030,0.0,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2035,2.421276000000001,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2040,0.20177299999999998,0.0,0.0
Auto-Cog,BOG-CUN,NONE,2045,2.7239355000000014,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2020,84.6022319999999,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2025,56.40148800000005,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2030,0.0,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2035,28.200743999999975,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2040,3.86331784109256,0.0,0.0
Auto-Cog,BOLIVAR,NONE,2045,61.94796447609037,0.0,0.0
Auto-Cog,CAUCA,NONE,2020,127.75791600000007,0.0,0.0
Auto-Cog,CAUCA,NONE,2025,85.17194399999998,0.0,0.0
Auto-Cog,CAUCA,NONE,2030,0.0,0.0,0.0
Auto-Cog,CAUCA,NONE,2035,43.44065890188698,0.0,0.0
Auto-Cog,CAUCA,NONE,2040,4.729796499999999,0.0,0.0
Auto-Cog,CAUCA,NONE,2045,81.56970249999996,0.0,0.0
Auto-Cog,CQR,NONE,2020,64.09259999999996,0.0,0.0
Auto-Cog,CQR,NONE,2025,42.72839999999997,0.0,0.0
Auto-Cog,CQR,NONE,2030,0.0,0.0,0.0
Auto-Cog,CQR,NONE,2035,21.36419999999999,0.0,0.0
Auto-Cog,CQR,NONE,2040,2.6705249999999996,0.0,0.0
Auto-Cog,CQR,NONE,2045,40.057874999999974,0.0,0.0
Auto-Cog,GCM,NONE,2020,9.613889999999992,0.0,0.0
Auto-Cog,GCM,NONE,2025,6.409260000000002,0.0,0.0
Auto-Cog,GCM,NONE,2030,0.0,0.0,0.0
Auto-Cog,GCM,NONE,2035,3.204630000000001,0.0,0.0
Auto-Cog,GCM,NONE,2040,0.2670525,0.0,0.0
Auto-Cog,GCM,NONE,2045,3.8722612500000015,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2020,6.836544000000006,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2025,4.557696000000003,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2030,0.0,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2035,2.2788479999999995,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2040,0.189904,0.0,0.0
Auto-Cog,MET-GUAV,NONE,2045,2.563704,0.0,0.0
Auto-Cog,VALLE,NONE,2020,202.10533199999986,0.0,0.0
Auto-Cog,VALLE,NONE,2025,134.73688799999994,0.0,0.0
Auto-Cog,VALLE,NONE,2030,0.0,0.0,0.0
Auto-Cog,VALLE,NONE,2035,68.22313090188696,0.0,0.0
Auto-Cog,VALLE,NONE,2040,7.957325011211856,0.0,0.0
Auto-Cog,VALLE,NONE,2045,132.35090342519584,0.0,0.0
Eolica,ANT-CHO,Wind,2020,653.4483411942887,0.0,0.0
Eolica,ANT-CHO,Wind,2025,884.6065247236186,0.0,0.0
Eolica,ANT-CHO,Wind,2030,1306.8966823885771,0.0,0.0
Eolica,ANT-CHO,Wind,2035,1474.3442078726978,0.0,0.0
Eolica,ANT-CHO,Wind,2040,1829.6553553440103,0.0,0.0
Eolica,ANT-CHO,Wind,2045,1887.1605860770567,0.0,0.0
Eolica,ATLANTICO,Wind,2020,653.4483411942886,0.0,0.0
Eolica,ATLANTICO,Wind,2025,884.6065247236187,0.0,0.0
Eolica,ATLANTICO,Wind,2030,1306.8966823885778,0.0,0.0
Eolica,ATLANTICO,Wind,2035,1474.3442078726978,0.0,0.0
Eolica,ATLANTICO,Wind,2040,1829.65535534401,0.0,0.0
Eolica,ATLANTICO,Wind,2045,1887.1605860770571,0.0,0.0
Eolica,BOG-CUN,Wind,2020,653.4483411942887,0.0,0.0
Eolica,BOG-CUN,Wind,2025,884.6065247236187,0.0,0.0
Eolica,BOG-CUN,Wind,2030,1306.896682388578,0.0,0.0
Eolica,BOG-CUN,Wind,2035,1474.3442078726982,0.0,0.0
Eolica,BOG-CUN,Wind,2040,1829.6553553440108,0.0,0.0
Eolica,BOG-CUN,Wind,2045,1887.160586077056,0.0,0.0
Eolica,BOLIVAR,Wind,2020,653.4483411942884,0.0,0.0
Eolica,BOLIVAR,Wind,2025,884.6065247236186,0.0,0.0
Eolica,BOLIVAR,Wind,2030,1306.8966823885776,0.0,0.0
Eolica,BOLIVAR,Wind,2035,1474.3442078726978,0.0,0.0
Eolica,BOLIVAR,Wind,2040,1829.6553553440106,0.0,0.0
Eolica,BOLIVAR,Wind,2045,1887.1605860770562,0.0,0.0
Eolica,BOY-CAS,Wind,2020,653.4483411942886,0.0,0.0
Eolica,BOY-CAS,Wind,2025,884.6065247236186,0.0,0.0
Eolica,BOY-CAS,Wind,2030,1306.8966823885776,0.0,0.0
Eolica,BOY-CAS,Wind,2035,1474.344207872698,0.0,0.0
Eolica,BOY-CAS,Wind,2040,1829.6553553440112,0.0,0.0
Eolica,BOY-CAS,Wind,2045,1887.1605860770565,0.0,0.0
Eolica,CAUCA,Wind,2020,653.4483411942888,0.0,0.0
Eolica,CAUCA,Wind,2025,884.6065247236189,0.0,0.0
Eolica,CAUCA,Wind,2030,1306.8966823885773,0.0,0.0
Eolica,CAUCA,Wind,2035,1474.3442078726987,0.0,0.0
Eolica,CAUCA,Wind,2040,1829.655355344011,0.0,0.0
Eolica,CAUCA,Wind,2045,1887.160586077057,0.0,0.0
Eolica,COR-SUC,Wind,2020,653.4483411942888,0.0,0.0
Eolica,COR-SUC,Wind,2025,884.6065247236182,0.0,0.0
Eolica,COR-SUC,Wind,2030,1306.8966823885771,0.0,0.0
Eolica,COR-SUC,Wind,2035,1474.3442078726976,0.0,0.0
Eolica,COR-SUC,Wind,2040,1829.6553553440106,0.0,0.0
Eolica,COR-SUC,Wind,2045,1887.160586077056,0.0,0.0
Eolica,CQR,Wind,2020,653.4483411942886,0.0,0.0
Eolica,CQR,Wind,2025,884.6065247236183,0.0,0.0
Eolica,CQR,Wind,2030,1306.896682388578,0.0,0.0
Eolica,CQR,Wind,2035,1474.3442078726987,0.0,0.0
Eolica,CQR,Wind,2040,1829.6553553440108,0.0,0.0
Eolica,CQR,Wind,2045,1887.160586077056,0.0,0.0
Eolica,GCM,Wind,2020,755.0941457517293,0.0,0.0
Eolica,GCM,Wind,2025,986.2523292810597,0.0,0.0
Eolica,GCM,Wind,2030,1408.5424869460164,0.0,0.0
Eolica,GCM,Wind,2035,1575.990012430136,0.0,0.0
Eolica,GCM,Wind,2040,1931.301159901448,0.0,0.0
Eolica,GCM,Wind,2045,1988.8063906344937,0.0,0.0
Eolica,HTC,Wind,2020,653.4483411942886,0.0,0.0
Eolica,HTC,Wind,2025,884.6065247236188,0.0,0.0
Eolica,HTC,Wind,2030,1306.8966823885776,0.0,0.0
Eolica,HTC,Wind,2035,1474.344207872698,0.0,0.0
Eolica,HTC,Wind,2040,1829.655355344011,0.0,0.0
Eolica,HTC,Wind,2045,1887.1605860770567,0.0,0.0
Eolica,MET-GUAV,Wind,2020,653.4483411942886,0.0,0.0
Eolica,MET-GUAV,Wind,2025,884.6065247236183,0.0,0.0
Eolica,MET-GUAV,Wind,2030,1306.8966823885778,0.0,0.0
Eolica,MET-GUAV,Wind,2035,1474.344207872698,0.0,0.0
Eolica,MET-GUAV,Wind,2040,1829.6553553440108,0.0,0.0
Eolica,MET-GUAV,Wind,2045,1887.1605860770567,0.0,0.0
Eolica,NAR-PUT,Wind,2020,653.4483411942888,0.0,0.0
Eolica,NAR-PUT,Wind,2025,884.6065247236183,0.0,0.0
Eolica,NAR-PUT,Wind,2030,1306.8966823885776,0.0,0.0
Eolica,NAR-PUT,Wind,2035,1474.344207872698,0.0,0.0
Eolica,NAR-PUT,Wind,2040,1829.655355344011,0.0,0.0
Eolica,NAR-PUT,Wind,2045,1887.160586077057,0.0,0.0
Eolica,NSANT,Wind,2020,653.4483411942886,0.0,0.0
Eolica,NSANT,Wind,2025,884.6065247236188,0.0,0.0
Eolica,NSANT,Wind,2030,1306.8966823885773,0.0,0.0
Eolica,NSANT,Wind,2035,1474.3442078726978,0.0,0.0
Eolica,NSANT,Wind,2040,1829.6553553440106,0.0,0.0
Eolica,NSANT,Wind,2045,1887.1605860770565,0.0,0.0
Eolica,SANT-ARA,Wind,2020,653.4483411942883,0.0,0.0
Eolica,SANT-ARA,Wind,2025,884.6065247236189,0.0,0.0
Eolica,SANT-ARA,Wind,2030,1306.8966823885771,0.0,0.0
Eolica,SANT-ARA,Wind,2035,1474.3442078726982,0.0,0.0
Eolica,SANT-ARA,Wind,2040,1829.6553553440108,0.0,0.0
Eolica,SANT-ARA,Wind,2045,1887.1605860770565,0.0,0.0
Eolica,VALLE,Wind,2020,653.4483411942883,0.0,0.0
Eolica,VALLE,Wind,2025,884.6065247236189,0.0,0.0
Eolica,VALLE,Wind,2030,1306.8966823885773,0.0,0.0
Eolica,VALLE,Wind,2035,1474.344207872698,0.0,0.0
Eolica,VALLE,Wind,2040,1829.6553553440117,0.0,0.0
Eolica,VALLE,Wind,2045,1887.1605860770562,0.0,0.0
Hidro,ANT-CHO,Water,2020,24020.20234515688,0.0,0.0
Hidro,ANT-CHO,Water,2025,24564.692301725303,0.0,0.0
Hidro,ANT-CHO,Water,2030,24671.5384261823,0.0,0.0
Hidro,ANT-CHO,Water,2035,24694.096878489552,0.0,0.0
Hidro,ANT-CHO,Water,2040,24808.77614084107,0.0,0.0
Hidro,ANT-CHO,Water,2045,24937.028109400115,0.0,0.0
Hidro,ATLANTICO,Water,2020,0.0,0.0,0.0
Hidro,ATLANTICO,Water,2025,0.0,0.0,0.0
Hidro,ATLANTICO,Water,2030,0.0,0.0,0.0
Hidro,ATLANTICO,Water,2035,0.0,0.0,0.0
Hidro,ATLANTICO,Water,2040,0.0,0.0,0.0
Hidro,ATLANTICO,Water,2045,0.0,0.0,0.0
Hidro,BOG-CUN,Water,2020,16975.591600000058,0.0,0.0
Hidro,BOG-CUN,Water,2025,16966.478440362884,0.0,0.0
Hidro,BOG-CUN,Water,2030,16948.32818062789,0.0,0.0
Hidro,BOG-CUN,Water,2035,16837.976168135316,0.0,0.0
