load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
SANT-ARA,20_Q1_0,322.125,0,57.9898,380.115
SANT-ARA,20_Q1_1,319.232,0,45.0453,364.277
SANT-ARA,20_Q1_2,318.049,0,34.9153,352.964
SANT-ARA,20_Q1_3,786.755,0,-411.165,375.59
SANT-ARA,20_Q1_4,785.107,0,-392.853,392.254
SANT-ARA,20_Q1_5,783.889,0,-376.745,407.144
SANT-ARA,20_Q1_6,802.359,0,-381.517,420.842
SANT-ARA,20_Q1_7,856.438,0,-392.132,464.305
SANT-ARA,20_Q1_8,901.561,0,-401.528,500.032
SANT-ARA,20_Q1_9,577.434,0,-69.0698,508.364
SANT-ARA,20_Q1_10,945.212,0,-420.474,524.738
SANT-ARA,20_Q1_11,479.208,0,37.7936,517.002
SANT-ARA,20_Q1_12,478.178,0,27.2058,505.384
SANT-ARA,20_Q1_13,470.348,0,40.6921,511.04
SANT-ARA,20_Q1_14,453.986,0,57.3594,511.345
SANT-ARA,20_Q1_15,611.395,0,-108.274,503.121
SANT-ARA,20_Q1_16,701.838,0,-190.492,511.345
SANT-ARA,20_Q1_17,650.109,0,-104.519,545.59
SANT-ARA,20_Q1_18,637.8,0,-47.5691,590.231
SANT-ARA,20_Q1_19,322.928,0,250.638,573.567
SANT-ARA,20_Q1_20,638.012,0,-115.659,522.353
SANT-ARA,20_Q1_21,638.3,0,-166.856,471.445
SANT-ARA,20_Q1_22,320.532,0,94.3477,414.88
SANT-ARA,20_Q1_23,317.455,0,69.1429,386.598
SANT-ARA,20_Q2_0,320.492,0,64.964,385.456
SANT-ARA,20_Q2_1,321.104,0,48.2917,369.395
SANT-ARA,20_Q2_2,319.836,0,38.0875,357.923
SANT-ARA,20_Q2_3,785.756,0,-404.889,380.867
SANT-ARA,20_Q2_4,318.477,0,79.2885,397.765
SANT-ARA,20_Q2_5,317.933,0,94.9319,412.865
