load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
NSANT,20_Q1_0,378.768,0,-183.717,195.051
NSANT,20_Q1_1,375.874,0,-188.95,186.924
NSANT,20_Q1_2,374.691,0,-193.572,181.119
NSANT,20_Q1_3,372.248,0,-179.519,192.729
NSANT,20_Q1_4,370.599,0,-169.32,201.28
NSANT,20_Q1_5,369.381,0,-160.461,208.92
NSANT,20_Q1_6,387.851,0,-171.902,215.949
NSANT,20_Q1_7,441.93,0,-203.678,238.252
NSANT,20_Q1_8,487.053,0,-230.468,256.585
NSANT,20_Q1_9,513.867,0,-253.007,260.86
NSANT,20_Q1_10,530.704,0,-261.442,269.262
NSANT,20_Q1_11,535.851,0,-270.558,265.292
NSANT,20_Q1_12,534.82,0,-275.489,259.331
NSANT,20_Q1_13,526.99,0,-264.757,262.233
NSANT,20_Q1_14,510.628,0,-248.239,262.39
NSANT,20_Q1_15,482.084,0,-223.915,258.17
NSANT,20_Q1_16,442.523,0,-180.133,262.39
NSANT,20_Q1_17,390.794,0,-110.832,279.962
NSANT,20_Q1_18,378.484,0,-75.6157,302.869
NSANT,20_Q1_19,379.571,0,-85.2528,294.318
NSANT,20_Q1_20,378.697,0,-110.658,268.038
NSANT,20_Q1_21,378.985,0,-137.07,241.915
NSANT,20_Q1_22,377.174,0,-164.285,212.89
NSANT,20_Q1_23,374.097,0,-175.72,198.377
NSANT,20_Q2_0,372.134,0,-172.33,199.804
NSANT,20_Q2_1,372.746,0,-181.267,191.479
NSANT,20_Q2_2,371.478,0,-185.946,185.532
NSANT,20_Q2_3,371.248,0,-173.823,197.425
NSANT,20_Q2_4,370.119,0,-163.934,206.185
NSANT,20_Q2_5,369.575,0,-155.563,214.012
NSANT,20_Q2_6,387.649,0,-166.437,221.212
NSANT,20_Q2_7,445.437,0,-201.38,244.058
NSANT,20_Q2_8,493.835,0,-230.997,262.837
NSANT,20_Q2_9,521.952,0,-254.735,267.217
NSANT,20_Q2_10,532.043,0,-256.219,275.823
NSANT,20_Q2_11,534.935,0,-263.178,271.757
NSANT,20_Q2_12,531.604,0,-265.954,265.65
NSANT,20_Q2_13,522.348,0,-253.724,268.623
NSANT,20_Q2_14,506.42,0,-237.636,268.784
NSANT,20_Q2_15,477.403,0,-212.942,264.461
NSANT,20_Q2_16,433.74,0,-164.956,268.784
NSANT,20_Q2_17,383.941,0,-97.1564,286.784
NSANT,20_Q2_18,369.458,0,-59.2085,310.249
NSANT,20_Q2_19,370.124,0,-68.6342,301.49
NSANT,20_Q2_20,367.899,0,-93.3286,274.57
NSANT,20_Q2_21,365.94,0,-118.129,247.81
NSANT,20_Q2_22,364.716,0,-146.638,218.078
NSANT,20_Q2_23,361.074,0,-157.862,203.211
NSANT,20_Q3_0,362.466,0,-163.474,198.993
NSANT,20_Q3_1,360.14,0,-169.439,190.701
NSANT,20_Q3_2,361.785,0,-177.006,184.779
NSANT,20_Q3_3,362.969,0,-166.345,196.624
NSANT,20_Q3_4,362.457,0,-157.11,205.347
NSANT,20_Q3_5,360.8,0,-147.657,213.142
NSANT,20_Q3_6,378.211,0,-157.897,220.313
NSANT,20_Q3_7,431.936,0,-188.869,243.067
NSANT,20_Q3_8,476.371,0,-214.601,261.77
NSANT,20_Q3_9,501.889,0,-235.757,266.132
NSANT,20_Q3_10,515.897,0,-241.193,274.703
NSANT,20_Q3_11,521.198,0,-250.544,270.654
NSANT,20_Q3_12,520.762,0,-256.191,264.571
NSANT,20_Q3_13,511.631,0,-244.098,267.533
NSANT,20_Q3_14,495.34,0,-227.647,267.693
NSANT,20_Q3_15,469.013,0,-205.626,263.387
NSANT,20_Q3_16,429.452,0,-161.76,267.693
NSANT,20_Q3_17,381.389,0,-95.7697,285.62
NSANT,20_Q3_18,371.527,0,-62.5373,308.989
NSANT,20_Q3_19,369.498,0,-69.2322,300.266
NSANT,20_Q3_20,370.19,0,-96.7346,273.455
NSANT,20_Q3_21,368.137,0,-121.333,246.804
NSANT,20_Q3_22,363.948,0,-146.756,217.192
NSANT,20_Q3_23,361.989,0,-159.603,202.386
NSANT,20_Q4_0,361.761,0,-167.319,194.442
NSANT,20_Q4_1,362.324,0,-175.984,186.34
NSANT,20_Q4_2,361.079,0,-180.526,180.553
NSANT,20_Q4_3,357.396,0,-165.269,192.127
NSANT,20_Q4_4,357.395,0,-156.743,200.651
NSANT,20_Q4_5,356.466,0,-148.198,208.268
NSANT,20_Q4_6,370.985,0,-155.71,215.275
NSANT,20_Q4_7,422.998,0,-185.49,237.508
NSANT,20_Q4_8,465.829,0,-210.045,255.784
NSANT,20_Q4_9,493.093,0,-233.047,260.046
NSANT,20_Q4_10,506.51,0,-238.089,268.421
NSANT,20_Q4_11,509.844,0,-245.38,264.464
NSANT,20_Q4_12,507.419,0,-248.898,258.521
NSANT,20_Q4_13,497.679,0,-236.264,261.414
NSANT,20_Q4_14,481.312,0,-219.742,261.571
NSANT,20_Q4_15,455.993,0,-198.63,257.364
NSANT,20_Q4_16,419.902,0,-158.332,261.571
NSANT,20_Q4_17,379.731,0,-100.643,279.088
NSANT,20_Q4_18,370.586,0,-68.6629,301.923
NSANT,20_Q4_19,368.303,0,-74.9039,293.399
NSANT,20_Q4_20,364.215,0,-97.0137,267.201
NSANT,20_Q4_21,363.193,0,-122.033,241.16
NSANT,20_Q4_22,357.36,0,-145.134,212.225
NSANT,20_Q4_23,351.974,0,-154.216,197.758
NSANT,25_Q1_0,404.951,0,-187.348,217.603
NSANT,25_Q1_1,405.36,0,-196.823,208.536
NSANT,25_Q1_2,405.896,0,-203.836,202.06
NSANT,25_Q1_3,401.343,0,-186.33,215.013
NSANT,25_Q1_4,401.923,0,-177.37,224.552
NSANT,25_Q1_5,403.292,0,-170.216,233.076
NSANT,25_Q1_6,419.676,0,-178.759,240.918
NSANT,25_Q1_7,482.526,0,-216.727,265.799
NSANT,25_Q1_8,541.461,0,-255.21,286.252
NSANT,25_Q1_9,573.261,0,-282.239,291.022
NSANT,25_Q1_10,585.199,0,-284.804,300.395
NSANT,25_Q1_11,593.082,0,-297.116,295.966
NSANT,25_Q1_12,595.254,0,-305.939,289.315
NSANT,25_Q1_13,589.229,0,-296.676,292.553
NSANT,25_Q1_14,574.921,0,-282.193,292.728
NSANT,25_Q1_15,548.662,0,-260.642,288.02
NSANT,25_Q1_16,508.055,0,-215.327,292.728
NSANT,25_Q1_17,454.219,0,-141.887,312.332
NSANT,25_Q1_18,440.551,0,-102.664,337.887
NSANT,25_Q1_19,439.578,0,-111.23,328.348
NSANT,25_Q1_20,434.679,0,-135.65,299.029
NSANT,25_Q1_21,430.585,0,-160.699,269.886
NSANT,25_Q1_22,429.147,0,-191.642,237.505
NSANT,25_Q1_23,426.866,0,-205.552,221.314
NSANT,25_Q2_0,422.683,0,-199.674,223.009
NSANT,25_Q2_1,418.448,0,-204.731,213.717
NSANT,25_Q2_2,411.631,0,-204.551,207.08
NSANT,25_Q2_3,409.114,0,-188.759,220.355
NSANT,25_Q2_4,403.834,0,-173.703,230.131
NSANT,25_Q2_5,407.882,0,-169.015,238.867
NSANT,25_Q2_6,433.582,0,-186.678,246.903
NSANT,25_Q2_7,500.807,0,-228.405,272.403
NSANT,25_Q2_8,558.166,0,-264.802,293.364
NSANT,25_Q2_9,588.473,0,-290.221,298.252
NSANT,25_Q2_10,600.937,0,-293.079,307.858
NSANT,25_Q2_11,606.985,0,-303.666,303.319
NSANT,25_Q2_12,607.402,0,-310.899,296.503
NSANT,25_Q2_13,600.452,0,-300.631,299.822
NSANT,25_Q2_14,583.272,0,-283.271,300.001
NSANT,25_Q2_15,554.794,0,-259.618,295.176
NSANT,25_Q2_16,515.741,0,-215.74,300.001
NSANT,25_Q2_17,458.577,0,-138.485,320.092
NSANT,25_Q2_18,444.742,0,-98.4601,346.282
NSANT,25_Q2_19,441.866,0,-105.361,336.505
NSANT,25_Q2_20,437.194,0,-130.735,306.459
NSANT,25_Q2_21,431.479,0,-154.888,276.591
NSANT,25_Q2_22,427.136,0,-183.731,243.406
NSANT,25_Q2_23,426.98,0,-200.167,226.813
NSANT,25_Q3_0,423.848,0,-202.345,221.503
NSANT,25_Q3_1,421.847,0,-209.574,212.273
NSANT,25_Q3_2,419.562,0,-213.881,205.681
NSANT,25_Q3_3,412.935,0,-194.07,218.866
NSANT,25_Q3_4,413.777,0,-185.201,228.576
NSANT,25_Q3_5,414.123,0,-176.87,237.253
NSANT,25_Q3_6,434.129,0,-188.894,245.235
NSANT,25_Q3_7,498.276,0,-227.714,270.562
NSANT,25_Q3_8,551.75,0,-260.368,291.382
NSANT,25_Q3_9,578.209,0,-281.972,296.237
NSANT,25_Q3_10,593.446,0,-287.668,305.778
NSANT,25_Q3_11,599.074,0,-297.804,301.27
NSANT,25_Q3_12,595.766,0,-301.266,294.5
NSANT,25_Q3_13,586.65,0,-288.854,297.796
NSANT,25_Q3_14,576.947,0,-278.973,297.974
NSANT,25_Q3_15,553.048,0,-259.867,293.181
NSANT,25_Q3_16,514.359,0,-216.385,297.974
NSANT,25_Q3_17,459.017,0,-141.088,317.929
NSANT,25_Q3_18,445.521,0,-101.578,343.942
NSANT,25_Q3_19,443.528,0,-109.296,334.232
NSANT,25_Q3_20,441.534,0,-137.146,304.388
NSANT,25_Q3_21,434.661,0,-159.938,274.723
NSANT,25_Q3_22,426.537,0,-184.776,241.761
NSANT,25_Q3_23,423.632,0,-198.352,225.28
NSANT,25_Q4_0,420.162,0,-203.077,217.085
NSANT,25_Q4_1,412.875,0,-204.836,208.04
NSANT,25_Q4_2,411.493,0,-209.914,201.579
NSANT,25_Q4_3,411.338,0,-196.837,214.501
NSANT,25_Q4_4,411.809,0,-187.792,224.017
NSANT,25_Q4_5,414.64,0,-182.119,232.521
NSANT,25_Q4_6,430.781,0,-190.437,240.344
NSANT,25_Q4_7,489.605,0,-224.439,265.166
NSANT,25_Q4_8,546.119,0,-260.549,285.57
NSANT,25_Q4_9,576.512,0,-286.183,290.329
