GENERATION_PROJECT;gen_tech;gen_load_zone;gen_connect_cost_per_mw;gen_capacity_limit_mw;gen_full_load_heat_rate;gen_variable_om;gen_max_age;gen_min_build_capacity;gen_scheduled_outage_rate;gen_forced_outage_rate;gen_is_variable;gen_is_baseload;gen_is_cogen;gen_energy_source;gen_unit_size;gen_ccs_capture_efficiency;gen_ccs_energy_load;gen_storage_efficiency;gen_store_to_release_ratio
BARRANQUILLA3;Thermal;ATLANTICO;0;.;9.6961;27.03;80;0;0.3289;0.1814;0;0;0;barranquilla_gas;.;.;.;.;.
BARRANQUILLA3_FO6;Thermal;ATLANTICO;0;.;11.4747;29.29;80;0;0.3289;0.1814;0;0;0;barranquilla_fo6;.;.;.;.;.
BARRANQUILLA4;Thermal;ATLANTICO;0;.;9.9695;27.03;80;0;0.3955;0.278;0;0;0;barranquilla_gas;.;.;.;.;.
BARRANQUILLA4_FO6;Thermal;ATLANTICO;0;.;11.0052;29.29;80;0;0.3955;0.278;0;0;0;barranquilla_fo6;.;.;.;.;.
CARTAGENA1;Thermal;BOLIVAR;0;.;11.8272;27.03;80;0;0.7371;0.6222;0;0;0;cartagena_gas;.;.;.;.;.
CARTAGENA1_FO6;Thermal;BOLIVAR;0;.;13.6013;29.29;80;0;0.7371;0.6222;0;0;0;cartagena_fo6;.;.;.;.;.
CARTAGENA2;Thermal;BOLIVAR;0;.;11.8239;27.03;80;0;0.5175;0.388;0;0;0;cartagena_gas;.;.;.;.;.
CARTAGENA2_FO6;Thermal;BOLIVAR;0;.;13.5975;29.29;80;0;0.5175;0.388;0;0;0;cartagena_fo6;.;.;.;.;.
CARTAGENA3;Thermal;BOLIVAR;0;.;12.1158;27.03;80;0;0.6934;0.384;0;0;0;cartagena_gas;.;.;.;.;.
CARTAGENA3_FO6;Thermal;BOLIVAR;0;.;13.9332;29.29;80;0;0.6934;0.384;0;0;0;cartagena_fo6;.;.;.;.;.
GUAJIRA1;Thermal;GCM;0;.;9.8;27.03;80;0;0.326;0.2496;0;0;0;guajira_gas;.;.;.;.;.
GUAJIRA1_CARBON;Thermal;GCM;0;.;9.6;31.55;80;0;0.326;0.2496;0;0;0;guajira_car;.;.;.;.;.
GUAJIRA2;Thermal;GCM;0;.;10.2;27.03;80;0;0.1564;0.1128;0;0;0;guajira_gas;.;.;.;.;.
GUAJIRA2_CARBON;Thermal;GCM;0;.;9.9;31.55;80;0;0.1564;0.1128;0;0;0;guajira_car;.;.;.;.;.
FLORES1;Thermal;ATLANTICO;0;.;7.3505;27.03;80;0;0.1462;0.0428;0;0;0;flores_gas;.;.;.;.;.
FLORES1_FO2;Thermal;ATLANTICO;0;.;8.8665;29.29;80;0;0.1462;0.0428;0;0;0;flores_fo2;.;.;.;.;.
PAIPA1;Thermal;BOY-CAS;0;.;11.9554;31.55;80;0;0.3358;0.2571;0;0;0;paipa_car;.;.;.;.;.
PAIPA2;Thermal;BOY-CAS;0;.;10.7918;31.55;80;0;0.2638;0.127;0;0;0;paipa_car;.;.;.;.;.
PAIPA3;Thermal;BOY-CAS;0;.;12.2715;31.55;80;0;0.1882;0.0755;0;0;0;paipa_car;.;.;.;.;.
TASAJERO1;Thermal;NSANT;0;.;9.1268;31.55;80;0;0.1493;0.064;0;0;0;tasajero_car;.;.;.;.;.
TASAJERO2;Thermal;NSANT;0;.;9.7214;31.55;80;0;0.1323;0.1323;0;0;0;tasajero_car;.;.;.;.;.
ZIPAEMG2;Thermal;BOG-CUN;0;.;11.72067;31.55;80;0;0.4927;0.273;0;0;0;zipa_car;.;.;.;.;.
ZIPAEMG3;Thermal;BOG-CUN;0;.;12.8203;31.55;80;0;0.3539;0.2174;0;0;0;zipa_car;.;.;.;.;.
ZIPAEMG4;Thermal;BOG-CUN;0;.;13.6509;31.55;80;0;0.3662;0.2389;0;0;0;zipa_car;.;.;.;.;.
ZIPAEMG5;Thermal;BOG-CUN;0;.;12.3226;31.55;80;0;0.2128;0.1426;0;0;0;zipa_car;.;.;.;.;.
TEBSAB;Thermal;ATLANTICO;0;.;7.2131;27.03;80;0;0.0711;0.0355;0;0;0;barranquilla_gas;.;.;.;.;.
TEBSAB_FO2;Thermal;ATLANTICO;0;.;9.0505;29.29;80;0;0.0711;0.0355;0;0;0;flores_fo2;.;.;.;.;.
TERMODORADA1;Thermal;CQR;0;.;10.5559;27.03;80;0;0.258;0.258;0;0;0;termodorada_gas;.;.;.;.;.
TERMODORADA1_FO2;Thermal;CQR;0;.;9.7755;29.29;80;0;0.258;0.258;0;0;0;termodorada_fo2;.;.;.;.;.
TERMOSIERRA;Thermal;ANT-CHO;0;.;7.1417;27.03;80;0;0.199;0.199;0;0;0;termosierra_gas;.;.;.;.;.
TERMOSIERRA_FO2;Thermal;ANT-CHO;0;.;7.5938;29.29;80;0;0.199;0.199;0;0;0;termosierra_fo2;.;.;.;.;.
MERILECTRICA;Thermal;SANT-ARA;0;.;9.7655;27.03;80;0;0.1097;0.0442;0;0;0;merielectrica_gas;.;.;.;.;.
COG_PROENCA ;Thermal;CAUCA;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
TPIEDRAS;Thermal;HTC;0;.;2.46;27.03;80;0;0.35;0.35;0;0;0;barranquilla_gas;.;.;.;.;.
TERMOVALLE2;Thermal;VALLE;0;.;6.8536;27.03;80;0;0.2943;0.0947;0;0;0;termovalle_gas;.;.;.;.;.
TERMOVALLE2_CPM2;Thermal;VALLE;0;.;7.8816;29.29;80;0;0.2943;0.0947;0;0;0;termovalle_cmp2;.;.;.;.;.
PAIPA4;Thermal;BOY-CAS;0;.;9.5355;31.55;80;0;0.088;0.0074;0;0;0;paipa_car;.;.;.;.;.
COG_INCAUCA;Thermal;CAUCA;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
PROELECTRIC1;Thermal;BOLIVAR;0;.;7.942;27.03;80;0;0.1188;0.0766;0;0;0;barranquilla_gas;.;.;.;.;.
PROELECTRIC1_FO2;Thermal;BOLIVAR;0;.;10.12;29.29;80;0;0.1188;0.0766;0;0;0;flores_fo2;.;.;.;.;.
PROELECTRIC2;Thermal;BOLIVAR;0;.;7.9418;27.03;80;0;0.1419;0.0788;0;0;0;barranquilla_gas;.;.;.;.;.
PROELECTRIC2_FO2;Thermal;BOLIVAR;0;.;10.12;29.29;80;0;0.1419;0.0788;0;0;0;flores_fo2;.;.;.;.;.
EMCALI;Thermal;VALLE;0;.;7.4639;27.03;80;0;0.035;0.035;0;0;0;termovalle_gas;.;.;.;.;.
EMCALI_FO2;Thermal;VALLE;0;.;8.019;29.29;80;0;0.035;0.035;0;0;0;termovalle_cmp2;.;.;.;.;.
TERMOCENTRO;Thermal;SANT-ARA;0;.;7.2683;27.03;80;0;0.1064;0.1064;0;0;0;termocentro_gas;.;.;.;.;.
TERMOCENTRO_JA1;Thermal;SANT-ARA;0;.;8.3824;29.29;80;0;0.1064;0.1064;0;0;0;termocentro_ja1;.;.;.;.;.
CANDELARIA1;Thermal;BOLIVAR;0;.;10.4868;27.03;80;0;0.0149;0.0149;0;0;0;cartagena_gas;.;.;.;.;.
CANDELARIA1_FO2;Thermal;BOLIVAR;0;.;10.5277;29.29;80;0;0.0149;0.0149;0;0;0;candelaria_fo2;.;.;.;.;.
CANDELARIA2;Thermal;BOLIVAR;0;.;10.4914;27.03;80;0;0.0296;0.0296;0;0;0;cartagena_gas;.;.;.;.;.
CANDELARIA2_FO2;Thermal;BOLIVAR;0;.;10.4763;29.29;80;0;0.0296;0.0296;0;0;0;candelaria_fo2;.;.;.;.;.
COG_PROVIDEN;Thermal;VALLE;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
COG_RISARALD;Thermal;CQR;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
