RESEVOIRS,res_min_vol,res_max_vol,initial_res_vol,final_res_vol
URRA,354.01,1567.38,783.69,783.69
GUATAPE,77.84,1120.02,560.01,560.01
JAGUAS,16.86,178.37,89.185,89.185
PLAYAS,19.93,69.09,34.545,34.545
SAN CARLOS,13.92,57.84,28.92,28.92
MIRAFLORES,5.32,142.44,71.22,71.22
TRONERAS,8.45,27.65,13.825,13.825
LA TASAJERA,47.93,186.71,93.355,93.355
GUAVIO,15.7,772.53,386.265,386.265
CHUZA,10.1,225.29,112.645,112.645
EL QUIMBO,464.82,2759.86,1379.93,1379.93
CHIVOR,20.71,603.63,301.815,301.815
PRADO,330.79,758.01,379.005,379.005
BETANIA,455.5,1191.85,595.925,595.925
ALTOANCHICAY,6.72,38.5,19.25,19.25
CALIMA,105.52,530.18,265.09,265.09
SALVAJINA,93.64,808.38,404.19,404.19
MUNA,0.08,12.41,6.205,6.205
MIEL I,46.28,473.81,236.905,236.905
PORCE II,38.79,124.67,62.335,62.335
PORCE III,29.47,160.77,80.385,80.385
SOGAMOSO,564.63,3258.86,1629.43,1629.43
ITUANGO,793.67,1758.27,879.135,879.135
