GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,type
AF_RIOCUCUA,1980,3083000,43.78,Hidro
AF_SNMARCOS,1980,3083000,43.78,Hidro
ALTOANCHICAY,1974,1245000,980,Hidro
AMOYA,2013,1247000,978,Hidro
BAJOANCHICAY,1957,1253000,972,Hidro
BARRANQUILL3,1980,1254000,971,Thermal
BARRANQUILL4,1980,1256000,969,Thermal
BETANIA,1987,1259000,966,Hidro
C_LLERAS_R,2015,1262000,963,Hidro
CALDERAS,1980,1263000,962,Hidro
CALIMA,1967,1264000,961,Hidro
CAMPOALEGRE,1980,3083000,43.78,Hidro
CANDELARIA1,2000,1267000,958,Thermal
CANDELARIA2,2000,1269000,956,Thermal
CARTAGENA1,1995,1271000,954,Thermal
CARTAGENA2,1980,1273000,952,Thermal
CARTAGENA3,1980,1275000,950,Thermal
CARTAGGAS1,1995,3076000,143.2,Thermal
CARTAGGAS2,1980,3076000,143.2,Thermal
CARTAGGAS3,1980,3076000,143.2,Thermal
CHARQUITO,1980,3083000,43.78,Hidro
CHINCHINA,1980,3083000,43.78,Hidro
CHIVOR,1977,1281000,944,Hidro
CHUZA,1980,3083000,43.78,Hidro
COMP. ESPINO,1980,3083000,43.78,Hidro
CUCUANA,2015,1292000,933,Hidro
DARIO VALENC,2014,1293000,932,Hidro
DESANFRAN,1980,3083000,43.78,Hidro
DESV RBLANCO,1980,3083000,43.78,Hidro
DOLORES,1980,3083000,43.78,Hidro
DS_SNMARCOS,1980,3083000,43.78,Hidro
E_Acacias2,1980,1718000,27.6,Eolica
E_Ahumado,1980,1718000,27.6,Eolica
E_Atlanti168,1980,1718000,27.6,Eolica
E_Camelia,1980,1718000,27.6,Eolica
E_Carreto,1980,1718000,27.6,Eolica
E_Chemesky,1980,1718000,27.6,Eolica
E_Culantral,1980,1718000,27.6,Eolica
E_GuajiraI,1980,1718000,27.6,Eolica
E_IpapureE02,1980,1718000,27.6,Eolica
E_Jepirachi,1980,1718000,27.6,Eolica
E_JK1,1980,1718000,27.6,Eolica
E_JK2,1980,1718000,27.6,Eolica
E_JK3,1980,1718000,27.6,Eolica
E_JK4,1980,1718000,27.6,Eolica
E_Magdalena,1980,1718000,27.6,Eolica
E_ParqueAlph,1980,1718000,27.6,Eolica
E_ParqueBeta,1980,1718000,27.6,Eolica
E_TumaWind,1980,1718000,27.6,Eolica
E_VtsAlisios,1980,1718000,27.6,Eolica
E_Wayuu,1980,1718000,27.6,Eolica
E_Windpeshi,1980,1718000,27.6,Eolica
EL QUIMBO,2015,1298000,927,Hidro
ELTESORITO,2022,3076000,143.2,Thermal
ESCUELAMINAS,2019,3083000,43.78,Hidro
ESMERALDA,1963,1304000,921,Hidro
ESTRELLA,1980,3083000,43.78,Hidro
FLORES 1,1993,1307000,918,Thermal
FLORES1GN,1993,3076000,143.2,Thermal
FLORES4,2010,3076000,143.2,Thermal
