GENERATION_PROJECT,build_year,build_gen_predetermined
S_BSLLanos7,1980,99.9
S_LigustroI,1980,99.9
S_LigustroII,1980,99.9
S_Tangara,1980,99.9
S_Charcos,1980,99.9
S_LasMarias,1980,99.5
S_Latam2,1980,9.9
T_ArgosYumbo,1980,9.9
T_Reficar,1980,9.9
T_ArgoCartag,1980,9.9
S_Colorados,1980,9.9
T_TerCapacho,1980,9.9
H_Guaviomeno,1980,9.9
S_DelphiHeli,1980,9.9
S_Paila,1980,9.9
S_Espinal,1980,9.9
S_Carmelo,1980,9.9
S_Colorados2,1980,9.9
S_Bugalagr,1980,9.9
S_Barranquit,1980,9.9
S_Malambo,1980,9.9
S_Levapan,1980,9.9
S_Tucanes,1980,9.9
S_ParqueOLDT,1980,9.9
S_ElTropezon,1980,9.9
S_Dinamarca,1980,9.9
S_Versalles,1980,9.9
H_Zeus,1980,9.9
S_PetaloMagd,1980,9.9
S_Roldanillo,1980,9.9
S_PiojoI,1980,9.9
S_PiojoII,1980,9.9
S_PiojoIII,1980,9.9
S_SFrancisco,1980,9.9
S_GrSFelipe,1980,9.9
S_Sachica,1980,9.9
S_JacobTolu,1980,9.9
S_LaMena,1980,9.9
H_RioVerde,1980,9.9
S_Sincerin,1980,9.9
S_Numbana,1980,9.9
S_Monteliban,1980,9.9
S_SandaloII,1980,9.9
S_Corocora,1980,9.9
S_BrisaSol3,1980,9.9
S_HondaSol1,1980,9.9
S_ApuloSol1,1980,9.9
S_Buenavista,1980,9.9
S_SoldeMarII,1980,9.9
S_CentroSola,1980,9.9
S_HondaSol2,1980,9.9
S_PSColima,1980,9.9
S_PSCondor,1980,9.9
S_Morichal,1980,9.9
S_Paloblanc1,1980,9.9
S_Paloblanc2,1980,9.9
S_Paloblanc3,1980,9.9
S_ArdobelaI,1980,9.9
S_PSJeques,1980,9.9
S_ArdobelaII,1980,9.9
S_AutMalambo,1980,9.9
S_Uraba1,1980,9.9
S_LaFortuna,1980,9.9
S_Hatogrande,1980,9.9
S_Sue1,1980,9.9
S_Guachal2,1980,9.9
S_Guachal3,1980,9.9
S_PSMinero,1980,9.9
S_ElLago2,1980,9.9
S_ElLago1,1980,9.9
S_ElJardin,1980,9.9
S_ApuloSolII,1980,9.9
S_PSRockra,1980,9.9
S_ElArbolito,1980,9.9
S_SolyCielo1,1980,9.9
S_Laguna,1980,9.9
S_Novillero,1980,9.9
S_LaMina,1980,9.9
S_LaTabla,1980,9.9
H_CHLaNoque,1980,9.9
S_LaMartina,1980,9.9
S_Yumbo,1980,9.8
S_Alma1,1980,9.8
S_Alma2,1980,9.8
S_ACSASolar,1980,9.8
T_TerBolivar,1980,9.7
H_Caruquia,1980,9.5
H_Guanaquita,1980,9.5
S_Girasoles,1980,9.5
T_CoColtejer,1980,9.4
S_JuanaMaria,1980,9.4
S_BadelI,1980,8.6
H_PiacoraII,1980,8.53
S_SolBolivar,1980,8.06
H_RioMulato2,1980,7.34
H_AguaFresca,1980,7.29
H_Nima,1980,6.7
T_AutArCairo,1980,6.5
H_Magallo,1980,5.7
H_IquiraII,1980,5.4
H_Nuevoliba,1980,5.1
H_PiacoraI,1980,5.1
H_ProvidencI,1980,4.9
H_Naveta,1980,4.8
H_Barrancas,1980,4.7
H_JuanGarcia,1980,4.52
H_Coconuco,1980,4.5
H_Cantayus,1980,4.32
H_IquiraI,1980,4.32
H_Puente_Gui,1980,4.2
T_Piedras,1980,3.75
H_Mirolindo,1980,3.75
T_AutTurgas,1980,3.5
H_Belmonte,1980,3.4
H_Sajandi,1980,3.2
H_LaFlorida,1980,3.2
S_PSRovira,1980,3.2
H_Manantiale,1980,3.15
H_Santiago,1980,2.8
H_Suba,1980,2.6
H_Caracoli,1980,2.6
H_Vequedo,1980,2.6
H_Rumor,1980,2.5
H_VentanaA,1980,2.5
