GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen
H_AguaFresca,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Alejandria,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Amaime,Menores,RunofRiver,VALLE,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
S_Awalara,pv_solar,Solar,.,80,1,1,.,0,.,.,.,.,.,.,.,0,0
H_Barroso,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
T_Bioenergy,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,.
T_BiogDJuana,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,.
H_Cantayus,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_Caruquia,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Cocuyo,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
T_CogCabanas,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoColtejer,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CogIncauca,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoIngscarl,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoMayagues,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CogProenca,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoProviden,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoRioPaila,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_CoRisarald,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,1
T_DonJuanaII,Thermal,Coal,.,80,.,0,.,.,.,.,.,.,.,.,.,.,.
H_ElEden,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_ElMolino,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_ElPopal,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Guachicono,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_Guanaquita,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_JuanGarcia,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_LasPalmas,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_LuzMaI,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_LuzMaII,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_Herradura,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
E_Jepirachi,Eolica,Wind,.,80,.,1,.,0,.,.,.,.,.,.,.,0,0
H_La_Vuelta,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_Puente_Gui,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
H_Montanitas,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_MorroAzul,Menores,RunofRiver,CQR,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Paloma,Menores,RunofRiver,ANT-CHO,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Dovio,Menores,RunofRiver,VALLE,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Flautas,Menores,RunofRiver,VALLE,80,0,1,.,0,0,0.0573,0.213,.,.,.,.,0,0
H_Magallo,Hidro,Water,.,80,0,0,.,0,.,.,.,.,.,.,.,0,0
