hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
ALTOANCHICAY,2020_Q1,85,167.205
AMOYA,2020_Q1,19,37.68
BAJOANCHICAY,2020_Q1,18,34.854
BETANIA,2020_Q1,130,254.34
C_LLERAS_R,2020_Q1,19,36.738
CALDERAS,2020_Q1,5,9.3729
CALIMA,2020_Q1,32,62.172
CHIVOR,2020_Q1,240,471
CUCUANA,2020_Q1,14,28.26
DARIO_VALENC,2020_Q1,36,70.65
EL_QUIMBO,2020_Q1,95,186.516
ESMERALDA,2020_Q1,7,14.13
EXP_HID_1,2020_Q1,84,165.68367
GUADALUPE_3,2020_Q1,65,127.17
GUADALUPE_4,2020_Q1,49,95.142
GUATAPE,2020_Q1,135,263.76
GUAVIO,2020_Q1,300,588.75
INSULA,2020_Q1,5,8.949
JAGUAS,2020_Q1,41,80.07
LA_GUACA,2020_Q1,78,152.604
LA_TASAJERA,2020_Q1,74,144.126
LAGUN-LIMON,2020_Q1,4,8.478
MIEL_I,2020_Q1,95,186.516
MIEL_II,2020_Q1,28,55.107
PAJARITO,2020_Q1,1,2.3079
PARAISO,2020_Q1,66,129.996
PESCADERO,2020_Q1,72,141.3
PLAYAS,2020_Q1,50,97.497
PORCE_II,2020_Q1,97,190.755
PORCE_III,2020_Q1,168,329.7
PRADO,2020_Q1,11,21.666
PRADO4,2020_Q1,1,2.355
RIOGRANDE_1,2020_Q1,5,8.949
SALTO_II,2020_Q1,8,16.485
SALVAJINA,2020_Q1,68,134.235
SAN_CARLOS,2020_Q1,298,584.04
SAN_FRANCISCO,2020_Q1,32,63.585
SNMIGUEL,2020_Q1,11,20.724
SOGAMOSO,2020_Q1,197,385.749
TRONERAS,2020_Q1,10,18.84
TUNJITA,2020_Q1,5,9.42
URRA,2020_Q1,81,159.198
ALTOANCHICAY,2020_Q2,85,167.56
AMOYA,2020_Q2,19,37.76
BAJOANCHICAY,2020_Q2,18,34.928
BETANIA,2020_Q2,130,254.88
C_LLERAS_R,2020_Q2,19,36.816
CALDERAS,2020_Q2,5,9.3928
CALIMA,2020_Q2,32,62.304
CHIVOR,2020_Q2,241,472
CUCUANA,2020_Q2,14,28.32
DARIO_VALENC,2020_Q2,36,70.8
EL_QUIMBO,2020_Q2,95,186.912
ESMERALDA,2020_Q2,7,14.16
EXP_HID_1,2020_Q2,85,166.03544
GUADALUPE_3,2020_Q2,65,127.44
GUADALUPE_4,2020_Q2,49,95.344
GUATAPE,2020_Q2,135,264.32
GUAVIO,2020_Q2,301,590
INSULA,2020_Q2,5,8.968
JAGUAS,2020_Q2,41,80.24
LA_GUACA,2020_Q2,78,152.928
LA_TASAJERA,2020_Q2,74,144.432
LAGUN-LIMON,2020_Q2,4,8.496
MIEL_I,2020_Q2,95,186.912
MIEL_II,2020_Q2,28,55.224
PAJARITO,2020_Q2,1,2.3128
PARAISO,2020_Q2,66,130.272
PESCADERO,2020_Q2,72,141.6
PLAYAS,2020_Q2,50,97.704
PORCE_II,2020_Q2,97,191.16
PORCE_III,2020_Q2,169,330.4
PRADO,2020_Q2,11,21.712
PRADO4,2020_Q2,1,2.36
RIOGRANDE_1,2020_Q2,5,8.968
SALTO_II,2020_Q2,8,16.52
SALVAJINA,2020_Q2,69,134.52
SAN_CARLOS,2020_Q2,298,585.28
SAN_FRANCISCO,2020_Q2,32,63.72
SNMIGUEL,2020_Q2,11,20.768
SOGAMOSO,2020_Q2,197,386.568
TRONERAS,2020_Q2,10,18.88
TUNJITA,2020_Q2,5,9.44
URRA,2020_Q2,81,159.536
ALTOANCHICAY,2020_Q3,88,172.2815
AMOYA,2020_Q3,20,38.824
BAJOANCHICAY,2020_Q3,18,35.9122
BETANIA,2020_Q3,134,262.062
C_LLERAS_R,2020_Q3,19,37.8534
CALDERAS,2020_Q3,5,9.65747
CALIMA,2020_Q3,33,64.0596
CHIVOR,2020_Q3,248,485.3
CUCUANA,2020_Q3,15,29.118
DARIO_VALENC,2020_Q3,37,72.795
EL_QUIMBO,2020_Q3,98,192.1788
ESMERALDA,2020_Q3,7,14.559
EXP_HID_1,2020_Q3,87,170.713981
GUADALUPE_3,2020_Q3,67,131.031
GUADALUPE_4,2020_Q3,50,98.0306
GUATAPE,2020_Q3,139,271.768
GUAVIO,2020_Q3,309,606.625
INSULA,2020_Q3,5,9.2207
JAGUAS,2020_Q3,42,82.501
LA_GUACA,2020_Q3,80,157.2372
LA_TASAJERA,2020_Q3,76,148.5018
LAGUN-LIMON,2020_Q3,4,8.7354
MIEL_I,2020_Q3,98,192.1788
MIEL_II,2020_Q3,29,56.7801
PAJARITO,2020_Q3,1,2.37797
PARAISO,2020_Q3,68,133.9428
PESCADERO,2020_Q3,74,145.59
PLAYAS,2020_Q3,51,100.4571
PORCE_II,2020_Q3,100,196.5465
PORCE_III,2020_Q3,173,339.71
PRADO,2020_Q3,11,22.3238
PRADO4,2020_Q3,1,2.4265
RIOGRANDE_1,2020_Q3,5,9.2207
SALTO_II,2020_Q3,9,16.9855
SALVAJINA,2020_Q3,71,138.3105
SAN_CARLOS,2020_Q3,307,601.772
SAN_FRANCISCO,2020_Q3,33,65.5155
SNMIGUEL,2020_Q3,11,21.3532
SOGAMOSO,2020_Q3,203,397.4607
TRONERAS,2020_Q3,10,19.412
TUNJITA,2020_Q3,5,9.706
URRA,2020_Q3,84,164.0314
ALTOANCHICAY,2020_Q4,63,123.1495
AMOYA,2020_Q4,14,27.752
BAJOANCHICAY,2020_Q4,13,25.6706
BETANIA,2020_Q4,96,187.326
C_LLERAS_R,2020_Q4,14,27.0582
CALDERAS,2020_Q4,4,6.90331
CALIMA,2020_Q4,23,45.7908
CHIVOR,2020_Q4,177,346.9
CUCUANA,2020_Q4,11,20.814
DARIO_VALENC,2020_Q4,27,52.035
EL_QUIMBO,2020_Q4,70,137.3724
ESMERALDA,2020_Q4,5,10.407
EXP_HID_1,2020_Q4,62,122.029013
GUADALUPE_3,2020_Q4,48,93.663
GUADALUPE_4,2020_Q4,36,70.0738
GUATAPE,2020_Q4,99,194.264
GUAVIO,2020_Q4,221,433.625
INSULA,2020_Q4,3,6.5911
JAGUAS,2020_Q4,30,58.973
LA_GUACA,2020_Q4,57,112.3956
LA_TASAJERA,2020_Q4,54,106.1514
LAGUN-LIMON,2020_Q4,3,6.2442
MIEL_I,2020_Q4,70,137.3724
MIEL_II,2020_Q4,21,40.5873
PAJARITO,2020_Q4,1,1.69981
PARAISO,2020_Q4,49,95.7444
PESCADERO,2020_Q4,53,104.07
PLAYAS,2020_Q4,37,71.8083
PORCE_II,2020_Q4,72,140.4945
PORCE_III,2020_Q4,124,242.83
PRADO,2020_Q4,8,15.9574
PRADO4,2020_Q4,1,1.7345
RIOGRANDE_1,2020_Q4,3,6.5911
SALTO_II,2020_Q4,6,12.1415
SALVAJINA,2020_Q4,50,98.8665
SAN_CARLOS,2020_Q4,219,430.156
SAN_FRANCISCO,2020_Q4,24,46.8315
SNMIGUEL,2020_Q4,8,15.2636
SOGAMOSO,2020_Q4,145,284.1111
TRONERAS,2020_Q4,7,13.876
TUNJITA,2020_Q4,4,6.938
URRA,2020_Q4,60,117.2522
ALTOANCHICAY,2025_Q1,85,167.205
AMOYA,2025_Q1,19,37.68
BAJOANCHICAY,2025_Q1,18,34.854
BETANIA,2025_Q1,130,254.34
C_LLERAS_R,2025_Q1,19,36.738
CALDERAS,2025_Q1,5,9.3729
CALIMA,2025_Q1,32,62.172
CHIVOR,2025_Q1,240,471
CUCUANA,2025_Q1,14,28.26
DARIO_VALENC,2025_Q1,36,70.65
EL_QUIMBO,2025_Q1,95,186.516
ESMERALDA,2025_Q1,7,14.13
EXP_HID_1,2025_Q1,84,165.68367
GUADALUPE_3,2025_Q1,65,127.17
GUADALUPE_4,2025_Q1,49,95.142
GUATAPE,2025_Q1,135,263.76
GUAVIO,2025_Q1,300,588.75
INSULA,2025_Q1,5,8.949
JAGUAS,2025_Q1,41,80.07
LA_GUACA,2025_Q1,78,152.604
LA_TASAJERA,2025_Q1,74,144.126
LAGUN-LIMON,2025_Q1,4,8.478
MIEL_I,2025_Q1,95,186.516
MIEL_II,2025_Q1,28,55.107
PAJARITO,2025_Q1,1,2.3079
PARAISO,2025_Q1,66,129.996
PESCADERO,2025_Q1,72,141.3
PLAYAS,2025_Q1,50,97.497
PORCE_II,2025_Q1,97,190.755
PORCE_III,2025_Q1,168,329.7
PRADO,2025_Q1,11,21.666
PRADO4,2025_Q1,1,2.355
RIOGRANDE_1,2025_Q1,5,8.949
SALTO_II,2025_Q1,8,16.485
SALVAJINA,2025_Q1,68,134.235
SAN_CARLOS,2025_Q1,298,584.04
SAN_FRANCISCO,2025_Q1,32,63.585
SNMIGUEL,2025_Q1,11,20.724
SOGAMOSO,2025_Q1,197,385.749
TRONERAS,2025_Q1,10,18.84
TUNJITA,2025_Q1,5,9.42
URRA,2025_Q1,81,159.198
ALTOANCHICAY,2025_Q2,85,167.56
AMOYA,2025_Q2,19,37.76
BAJOANCHICAY,2025_Q2,18,34.928
BETANIA,2025_Q2,130,254.88
C_LLERAS_R,2025_Q2,19,36.816
CALDERAS,2025_Q2,5,9.3928
CALIMA,2025_Q2,32,62.304
CHIVOR,2025_Q2,241,472
CUCUANA,2025_Q2,14,28.32
DARIO_VALENC,2025_Q2,36,70.8
EL_QUIMBO,2025_Q2,95,186.912
ESMERALDA,2025_Q2,7,14.16
EXP_HID_1,2025_Q2,85,166.03544
GUADALUPE_3,2025_Q2,65,127.44
GUADALUPE_4,2025_Q2,49,95.344
GUATAPE,2025_Q2,135,264.32
