TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2020_Q1,2020,1,24,76.09
2020_Q2,2020,1,24,76.09
2020_Q3,2020,1,24,76.09
2020_Q4,2020,1,24,76.09
2025_Q1,2025,1,24,76.09
2025_Q2,2025,1,24,76.09
2025_Q3,2025,1,24,76.09
2025_Q4,2025,1,24,76.09
2030_Q1,2030,1,24,76.09
2030_Q2,2030,1,24,76.09
2030_Q3,2030,1,24,76.09
2030_Q4,2030,1,24,76.09
2035_Q1,2035,1,24,76.09
2035_Q2,2035,1,24,76.09
2035_Q3,2035,1,24,76.09
2035_Q4,2035,1,24,76.09
2040_Q1,2040,1,24,76.09
2040_Q2,2040,1,24,76.09
2040_Q3,2040,1,24,76.09
2040_Q4,2040,1,24,76.09
2045_Q1,2045,1,24,76.09
2045_Q2,2045,1,24,76.09
2045_Q3,2045,1,24,76.09
2045_Q4,2045,1,24,76.09
