GENERATION_PROJECT,timepoint,gen_max_capacity_factor
PV-HTC,1,0
PV-HTC,2,0
PV-HTC,3,0
PV-HTC,4,0
PV-HTC,5,0
PV-HTC,6,0
PV-HTC,7,0.093534263
PV-HTC,8,0.395539275
PV-HTC,9,0.639580407
PV-HTC,10,0.781697396
PV-HTC,11,0.843126747
PV-HTC,12,0.867879757
PV-HTC,13,0.854001914
PV-HTC,14,0.811008419
PV-HTC,15,0.720842281
PV-HTC,16,0.563387899
PV-HTC,17,0.32900023
PV-HTC,18,0.054700512
PV-HTC,19,0
PV-HTC,20,0
PV-HTC,21,0
PV-HTC,22,0
PV-HTC,23,0
PV-HTC,24,0
PV-HTC,25,0
PV-HTC,26,0
PV-HTC,27,0
PV-HTC,28,0
PV-HTC,29,0
PV-HTC,30,0
PV-HTC,31,0.103780532
PV-HTC,32,0.426044864
PV-HTC,33,0.671382021
PV-HTC,34,0.809614864
PV-HTC,35,0.866469136
PV-HTC,36,0.880505434
PV-HTC,37,0.865142194
PV-HTC,38,0.816872291
PV-HTC,39,0.723441003
PV-HTC,40,0.563036698
PV-HTC,41,0.332557044
PV-HTC,42,0.054555993
PV-HTC,43,0
PV-HTC,44,0
PV-HTC,45,0
PV-HTC,46,0
PV-HTC,47,0
PV-HTC,48,0
PV-HTC,49,0
PV-HTC,50,0
PV-HTC,51,0
PV-HTC,52,0
PV-HTC,53,0
PV-HTC,54,0
PV-HTC,55,0.090150407
PV-HTC,56,0.389031064
PV-HTC,57,0.60822861
PV-HTC,58,0.745566456
PV-HTC,59,0.820192025
PV-HTC,60,0.840913598
PV-HTC,61,0.830439343
PV-HTC,62,0.78073867
PV-HTC,63,0.68931946
PV-HTC,64,0.535807518
PV-HTC,65,0.311500068
PV-HTC,66,0.048229595
PV-HTC,67,0
PV-HTC,68,0
PV-HTC,69,0
PV-HTC,70,0
PV-HTC,71,0
PV-HTC,72,0
PV-HTC,73,0
PV-HTC,74,0
PV-HTC,75,0
PV-HTC,76,0
PV-HTC,77,0
PV-HTC,78,0
PV-HTC,79,0.080833942
PV-HTC,80,0.367014814
PV-HTC,81,0.592704452
PV-HTC,82,0.734693027
