WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
ESCUELAMINAS_GUATAPE,ESCUELAMINAS,GUATAPE,9999
GUATAPE_PLAYAS,GUATAPE,PLAYAS,9999
JAGUAS_PLAYAS,JAGUAS,PLAYAS,9999
PLAYAS_SAN CARLOS,PLAYAS,SAN CARLOS,9999
CALDERAS_SAN CARLOS,CALDERAS,SAN CARLOS,9999
NECHI_PAJARITO,NECHI,PAJARITO,9999
PAJARITO_DOLORES,PAJARITO,DOLORES,9999
DOLORES_TENCHE,DOLORES,TENCHE,9999
MIRAFLORES_TENCHE,MIRAFLORES,TENCHE,9999
TENCHE_TRONERAS,TENCHE,TRONERAS,9999
TRONERAS_GUADALUPE 3,TRONERAS,GUADALUPE 3,9999
GUADALUPE 3_GUADALUPE 4,GUADALUPE 3,GUADALUPE 4,9999
GUADALUPE 4_PORCE III,GUADALUPE 4,PORCE III,9999
LA TASAJERA_C_LLERAS_R,LA TASAJERA,C_LLERAS_R,9999
QUEBRADONA_RIOGRANDE 1,QUEBRADONA,RIOGRANDE 1,9999
RIOGRANDE 1_PORCE II,RIOGRANDE 1,PORCE II,9999
CHINCHINA_INSULA,CHINCHINA,INSULA,9999
CAMPOALEGRE_INSULA,CAMPOALEGRE,INSULA,9999
INSULA_ESMERALDA,INSULA,ESMERALDA,9999
ESTRELLA_ESMERALDA,ESTRELLA,ESMERALDA,9999
ESMERALDA_SANFRANCISCO,ESMERALDA,SANFRANCISCO,9999
DESANFRAN_SANFRANCISCO,DESANFRAN,SANFRANCISCO,9999
NIQUIA_C_LLERAS_R,NIQUIA,C_LLERAS_R,9999
SISGA_RB ACHURY,SISGA,RB ACHURY,9999
RB ACHURY_RB ACHU-ESPI,RB ACHURY,RB ACHU-ESPI,9999
TOMINE_RB ACHURY,TOMINE,RB ACHURY,9999
NEUSA_RB ACHU-ESPI,NEUSA,RB ACHU-ESPI,9999
RB ACHU-ESPI_COMP. ESPINO,RB ACHU-ESPI,COMP. ESPINO,9999
S ACUEDU-BOG_RB ESPI-ALIC,S ACUEDU-BOG,RB ESPI-ALIC,9999
CHUZA_TUNEL CHUZA,CHUZA,TUNEL CHUZA,9999
DESV RBLANCO_TUNEL CHUZA,DESV RBLANCO,TUNEL CHUZA,9999
TUNEL CHUZA_S ACUEDU-BOG,TUNEL CHUZA,S ACUEDU-BOG,9999
RB ESPI-ALIC_MUNA,RB ESPI-ALIC,MUNA,9999
CHARQUITO_SALTO II,CHARQUITO,SALTO II,9999
SALTO II_LAGUN-LIMON,SALTO II,LAGUN-LIMON,9999
TEQUEND1-4_LAGUN-LIMON,TEQUEND1-4,LAGUN-LIMON,9999
LAGUN-LIMON_DARIO VALENC,LAGUN-LIMON,DARIO VALENC,9999
PARAISO_LA GUACA,PARAISO,LA GUACA,9999
NEGRORUCIO_CHIVOR,NEGRORUCIO,CHIVOR,9999
EL QUIMBO_BETANIA,EL QUIMBO,BETANIA,9999
RUCIO_NEGRORUCIO,RUCIO,NEGRORUCIO,9999
NEGRO_NEGRORUCIO,NEGRO,NEGRORUCIO,9999
TUNJITA_CHIVOR,TUNJITA,CHIVOR,9999
ALTOANCHICAY_BAJOANCHICAY,ALTOANCHICAY,BAJOANCHICAY,9999
SALVAJINA_ITUANGO,SALVAJINA,ITUANGO,9999
GUARINO_MIEL I,GUARINO,MIEL I,9999
MANSO_MIEL I,MANSO,MIEL I,9999
COMP. ESPINO_S ACUEDU-BOG,COMP. ESPINO,S ACUEDU-BOG,9999
MUNA_PARAISO,MUNA,PARAISO,9999
PORCE II_PORCE III,PORCE II,PORCE III,9999
AF_RIOCUCUA_CUCUANA,AF_RIOCUCUA,CUCUANA,9999
AF_SNMARCOS_DS_SNMARCOS,AF_SNMARCOS,DS_SNMARCOS,9999
DS_SNMARCOS_CUCUANA,DS_SNMARCOS,CUCUANA,9999
C_LLERAS_R_PORCE II,C_LLERAS_R,PORCE II,9999
