WATER_NODES,wn_is_sink,wnode_constant_consumption,wnode_constant_inflow
URRA,1,.,.
ESCUELAMINAS,0,.,.
GUATAPE,0,.,.
JAGUAS,0,.,.
PLAYAS,0,.,.
SAN CARLOS,1,.,.
CALDERAS,0,.,.
NECHI,0,.,.
PAJARITO,0,.,.
DOLORES,0,.,.
MIRAFLORES,0,.,.
TENCHE,0,.,.
TRONERAS,0,.,.
GUADALUPE 3,0,.,.
GUADALUPE 4,0,.,.
LA TASAJERA,0,.,.
QUEBRADONA,0,.,.
RIOGRANDE 1,0,.,.
CHINCHINA,0,.,.
CAMPOALEGRE,0,.,.
INSULA,0,.,.
ESTRELLA,0,.,.
ESMERALDA,0,.,.
DESANFRAN,0,.,.
SANFRANCISCO,1,.,.
NIQUIA,0,.,.
GUAVIO,1,.,.
SISGA,0,.,.
RB ACHURY,0,.,.
TOMINE,0,.,.
NEUSA,0,.,.
RB ACHU-ESPI,0,.,.
S ACUEDU-BOG,0,.,.
CHUZA,0,.,.
DESV RBLANCO,0,.,.
TUNEL CHUZA,0,.,.
RB ESPI-ALIC,0,.,.
CHARQUITO,0,.,.
SALTO II,0,.,.
TEQUEND1-4,0,.,.
DARIO VALENC,1,.,.
LAGUN-LIMON,0,.,.
PARAISO,0,.,.
LA GUACA,1,.,.
NEGRORUCIO,0,.,.
EL QUIMBO,0,.,.
RUCIO,0,.,.
NEGRO,0,.,.
TUNJITA,0,.,.
CHIVOR,1,.,.
PRADO,1,.,.
PRADO4,1,.,.
BETANIA,1,.,.
ALTOANCHICAY,0,.,.
BAJOANCHICAY,1,.,.
CALIMA,1,.,.
SALVAJINA,0,.,.
AMOYA,1,.,.
GUARINO,0,.,.
MANSO,0,.,.
COMP. ESPINO,0,.,.
MUNA,0,.,.
MIEL I,1,.,.
PORCE II,0,.,.
PORCE III,1,.,.
SOGAMOSO,1,.,.
ITUANGO,1,.,.
AF_RIOCUCUA,0,.,.
CUCUANA,1,.,.
AF_SNMARCOS,0,.,.
DS_SNMARCOS,0,.,.
SNMIGUEL,1,.,.
C_LLERAS_R,0,.,.
