GENERATION_PROJECT,build_year,build_gen_predetermined
BARRANQUILL3,1980,63
BARRANQUILL4,1980,64
TEBSAB,1998,791
TEBSAGIM,1998,791
FLORES 1,1993,160
FLORES1GN,1993,160
FLORES4,2010,450
FLORES4GIM,2010,450
CARTAGENA1,1995,62
CARTAGGAS1,1995,62
CARTAGENA2,1980,56
CARTAGGAS2,1980,56
CARTAGENA3,1980,66
CARTAGGAS3,1980,66
PROELECTRIC1,1993,50
PROELECTRIC2,1993,50
CANDELARIA1,2000,162
CANDELARIA2,2000,162
TERMONORTE,2018,93
GUAJIRA1,1983,145
GUAJ1GAS,1983,145
GUAJIRA2,1987,145
GUAJ2GAS,1987,145
TC_GECELCA32,2018,273
TC_GECELCA3,2015,164
PAIPA 1,1963,39
PAIPA 2,1975,72
PAIPA 3,1982,74
PAIPA 4,1999,165
TASAJERO 1,1985,163
TASAJERO 2,2015,170
ZIPAEMG2,1964,38
ZIPAEMG3,1976,66
ZIPAEMG4,1981,66
ZIPAEMG5,1985,66
MERILECTRICA,1998,167
TERMOSIERRA,1998,460
TSIERRAGAS,1998,460
TERMOCENTRO,2000,272
TERMODORADA1,1997,50
TERMODORAGAS,1997,50
TERMOVALLE,2011,241
TERMOVAGAS,2011,241
TERMOEMCALI,1999,240
TERMOEMCGAS,1999,240
TERMO YOPAL2,2004,.
ELTESORITO,2022,200
TERMOYOPALG3,2020,50
TERMOYOPALG4,2020,50
TERMOYOPALG5,2021,50
