GENERATION_PROJECT,power_start_mw,power_end_mw,incremental_heat_rate_mbtu_per_mwhr,fuel_use_rate_mmbtu_per_h
BARRANQUILLA3,12.8,.,.,341.30272
BARRANQUILLA3,12.8,64,5.332855,.
BARRANQUILLA4,12.6,.,.,345.443175
BARRANQUILLA4,12.6,63,5.483225,.
CANDELARIA1,31.4,.,.,905.53518
CANDELARIA1,31.4,157,5.76774,.
CANDELARIA2,12,.,.,346.2162
CANDELARIA2,12,60,5.77027,.
CARTAGENA1,12.2,.,.,396.80256
CARTAGENA1,12.2,61,6.50496,.
CARTAGENA2,12,.,.,390.1887
CARTAGENA2,12,60,6.503145,.
CARTAGENA3,13.2,.,.,439.80354
CARTAGENA3,13.2,66,6.66369,.
CC_FLORES4,90,.,.,1915.52625
CC_FLORES4,90,450,4.256725,.
CIMARRON,3.98,.,.,147.7575
CIMARRON,3.98,19.9,7.425,.
ELMORRO1,3.98,.,.,147.7575
ELMORRO1,3.98,19.9,7.425,.
ELMORRO2,3.98,.,.,151.4788
ELMORRO2,3.98,19.9,7.612,.
EMCALI,45.8,.,.,940.078205
EMCALI,45.8,229,4.105145,.
FLORES1,32,.,.,646.844
FLORES1,32,160,4.042775,.
GUAJIRA1,30.2,.,.,813.89
GUAJIRA1,30.2,151,5.39,.
GUAJIRA1_CARBON,30.2,.,.,797.28
GUAJIRA1_CARBON,30.2,151,5.28,.
GUAJIRA2,29,.,.,813.45
GUAJIRA2,29,145,5.61,.
GUAJIRA2_CARBON,29,.,.,789.525
GUAJIRA2_CARBON,29,145,5.445,.
jaguey,3.88,.,.,116.4097
jaguey,3.88,19.4,6.0005,.
MERILECTRICA,33.2,.,.,891.59015
MERILECTRICA,33.2,166,5.371025,.
PAIPA1,6.2,.,.,203.83957
PAIPA1,6.2,31,6.57547,.
PAIPA2,14.4,.,.,427.35528
PAIPA2,14.4,72,5.93549,.
PAIPA3,14,.,.,472.45275
PAIPA3,14,70,6.749325,.
PAIPA4,30.8,.,.,807.65685
PAIPA4,30.8,154,5.244525,.
PROELECTRIC1,9,.,.,196.5645
PROELECTRIC1,9,45,4.3681,.
PROELECTRIC2,9,.,.,196.55955
PROELECTRIC2,9,45,4.36799,.
Purificacion,1.6,.,.,49.0512
Purificacion,1.6,8,6.1314,.
pwcon3,30,.,.,900.075
pwcon3,30,150,6.0005,.
rubiales,3.88,.,.,116.4097
rubiales,3.88,19.4,6.0005,.
TASAJERO1,32.6,.,.,818.21762
TASAJERO1,32.6,163,5.01974,.
TASAJERO2,33,.,.,882.21705
TASAJERO2,33,165,5.34677,.
TC_GECELCA3,32.8,.,.,1172.6
TC_GECELCA3,32.8,164,7.15,.
TC_GECELCA32,50,.,.,1512.5
TC_GECELCA32,50,250,6.05,.
TEBSAB,158.2,.,.,3138.059155
TEBSAB,158.2,791,3.967205,.
TERMO_YOPAL1,3.98,.,.,139.0638865
TERMO_YOPAL1,3.98,19.9,6.988135,.
TERMO_YOPAL2,6,.,.,198.3861
TERMO_YOPAL2,6,30,6.61287,.
TERMOBOLIVAR,1.94,.,.,50.6825
TERMOBOLIVAR,1.94,9.7,5.225,.
TermoCaribe1,30,.,.,900.075
TermoCaribe1,30,150,6.0005,.
TermoCaribe2,8.4,.,.,252.021
TermoCaribe2,8.4,42,6.0005,.
TERMOCENTRO,52.8,.,.,1055.35716
TERMOCENTRO,52.8,264,3.997565,.
TERMODORADA1,10.2,.,.,296.092995
TERMODORADA1,10.2,51,5.805745,.
TERMONORTE,17.66,.,.,425.0165975
TERMONORTE,17.66,88.3,4.813325,.
TERMOSIERRA,89,.,.,1747.931075
TERMOSIERRA,89,445,3.927935,.
TermoSolo1,29.6,.,.,888.074
TermoSolo1,29.6,148,6.0005,.
TermoSolo2,16,.,.,480.04
TermoSolo2,16,80,6.0005,.
TERMOVALLE2,41,.,.,772.7434
TERMOVALLE2,41,205,3.76948,.
ZIPAEMG2,6.8,.,.,219.176529
ZIPAEMG2,6.8,34,6.4463685,.
ZIPAEMG3,12.6,.,.,444.223395
ZIPAEMG3,12.6,63,7.051165,.
ZIPAEMG4,12.8,.,.,480.51168
ZIPAEMG4,12.8,64,7.507995,.
ZIPAEMG5,12.6,.,.,426.97809
ZIPAEMG5,12.6,63,6.77743,.
