,GENERATION_PROJECT,gen_tech,gen_energy_source
0,H_AguaFresca,Hidro,Water
1,H_Alejandria,Hidro,Water
2,H_Amaime,Hidro,Water
3,S_Awalara,pv_solar,Solar
4,H_Barroso,Hidro,Water
5,T_Bioenergy,Thermal,Coal
6,T_BiogDJuana,Thermal,Coal
7,H_Cantayus,Hidro,Water
8,H_Caruquia,Hidro,Water
9,H_Cocuyo,Hidro,Water
10,T_CogCabanas,Thermal,Coal
11,T_CoColtejer,Thermal,Coal
12,T_CogIncauca,Thermal,Coal
13,T_CoIngscarl,Thermal,Coal
14,T_CoMayagues,Thermal,Coal
15,T_CogProenca,Thermal,Coal
16,T_CoProviden,Thermal,Coal
17,T_CoRioPaila,Thermal,Coal
18,T_CoRisarald,Thermal,Coal
19,T_DonJuanaII,Thermal,Coal
20,H_ElEden,Hidro,Water
21,H_ElMolino,Hidro,Water
22,H_ElPopal,Hidro,Water
23,H_Guachicono,Hidro,Water
24,H_Guanaquita,Hidro,Water
25,H_JuanGarcia,Hidro,Water
26,H_LasPalmas,Hidro,Water
27,H_LuzMaI,Hidro,Water
28,H_LuzMaII,Hidro,Water
29,H_Herradura,Hidro,Water
30,E_Jepirachi,Eolica,Wind
31,H_La_Vuelta,Hidro,Water
32,H_Puente_Gui,Hidro,Water
33,H_Montanitas,Hidro,Water
34,H_MorroAzul,Hidro,Water
35,H_Paloma,Hidro,Water
36,H_Dovio,Hidro,Water
37,H_Flautas,Hidro,Water
38,H_Magallo,Hidro,Water
39,H_RioGrande,Hidro,Water
40,H_Cauya,Hidro,Water
41,H_Naveta,Hidro,Water
42,H_TZII,Hidro,Water
43,H_Coello,Hidro,Water
44,H_ProvidencI,Hidro,Water
45,H_RioMultat1,Hidro,Water
46,H_RioBravoCa,Hidro,Water
47,H_SanAndres2,Hidro,Water
48,H_SanMatias,Hidro,Water
49,H_Sirgua,Hidro,Water
50,T_Tequendama,Thermal,Coal
51,T_TermYopal1,Thermal,Coal
52,T_TerBolivar,Thermal,Coal
53,T_Mechero4,Thermal,Coal
54,T_Mechero5,Thermal,Coal
55,T_Mechero6,Thermal,Coal
56,T_Piedras,Thermal,Coal
57,H_TuluaAlto,Hidro,Water
58,H_TuluaBajo,Hidro,Water
59,H_Tunjita,Hidro,Water
60,E_GuajiraI,Eolica,Wind
61,E_Windpeshi,Eolica,Wind
62,E_JK3,Eolica,Wind
63,E_JK4,Eolica,Wind
64,E_Acacias2,Eolica,Wind
65,E_JK1,Eolica,Wind
66,E_ParqueBeta,Eolica,Wind
67,E_Chemesky,Eolica,Wind
68,E_TumaWind,Eolica,Wind
69,S_PoloNuevo1,pv_solar,Solar
