GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_min_load_fraction,gen_startup_fuel,gen_startup_om,gen_min_downtime,gen_can_provide_spinning_reserves
AUT_ARGOCGNA,Auto-Cog,BOLIVAR,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
AUT_ARGOYUMB,Auto-Cog,VALLE,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
AUT_REFICAR,Auto-Cog,BOLIVAR,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
AUT_UNIBOL,Auto-Cog,ATLANTICO,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
AUT_YAGUARIT,Auto-Cog,MET-GUAV,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
BIOG_DJUANA,Auto-Cog,BOG-CUN,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
BIOG-TEQUENDAMA,Auto-Cog,GCM,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_COLTEJER,Auto-Cog,ANT-CHO,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_INCAUCA,Auto-Cog,CAUCA,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_MANUELIT,Auto-Cog,VALLE,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_MAYAGUEZ,Auto-Cog,VALLE,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_PROENCA,Auto-Cog,CAUCA,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_PROVIDEN,Auto-Cog,VALLE,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
COG_RISARALD,Auto-Cog,CQR,0,.,4.6,0,80,0,0.0314,0.35,0,0,1,NONE,.,.,.,.,.,0,0,0,0,2,0
MEN_EPM_JEPI,Eolica,GCM,0,.,.,0,80,0,0.0314,0.35,0,1,0,Wind,.,.,.,.,.,0,0,.,.,2,0
ALTOANCHICAY,Hidro,VALLE,0,.,.,0,80,0,0.1946,0.1735,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
AMOYA,Hidro,HTC,0,.,.,0,80,0,0.0574,0.0117,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
BAJOANCHICAY,Hidro,VALLE,0,.,.,0,80,0,0.0314,0.018,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
BETANIA,Hidro,HTC,0,.,.,0,80,0,0.1069,0.0234,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
C_LLERAS_R,Hidro,ANT-CHO,0,.,.,0,80,0,0.1,0.1,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
CALDERAS,Hidro,ANT-CHO,0,.,.,0,80,0,0.1069,0.0234,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
CALIMA,Hidro,VALLE,0,.,.,0,80,0,0.3327,0.0792,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
CHIVOR,Hidro,BOG-CUN,0,.,.,0,80,0,0.2232,0.0093,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
CUCUANA,Hidro,HTC,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
DARIO_VALENC,Hidro,BOG-CUN,0,.,.,0,80,0,0.0532,0.0532,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
EL_QUIMBO,Hidro,HTC,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
ESMERALDA,Hidro,CQR,0,.,.,0,80,0,0.1243,0.0218,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
EXP_HID_1,Hidro,ANT-CHO,0,.,.,0,80,0,0.15,0.15,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
GUADALUPE_3,Hidro,ANT-CHO,0,.,.,0,80,0,0.0934,0.0175,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
GUADALUPE_4,Hidro,ANT-CHO,0,.,.,0,80,0,0.214,0.0968,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
GUATAPE,Hidro,ANT-CHO,0,.,.,0,80,0,0.0516,0.0113,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
GUAVIO,Hidro,BOG-CUN,0,.,.,0,80,0,0.0639,0.0049,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
INSULA,Hidro,CQR,0,.,.,0,80,0,0.38,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
JAGUAS,Hidro,ANT-CHO,0,.,.,0,80,0,0.1601,0.006,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
